Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
aavenir,Saas,Ahmedabad,16.6,Seed,Accel,2020,April,Enterprise / Saas,Ahmedabad,Gujarat,India,4,23,2020-04-23,1,2020,10.79,Ahmedabad | Enterprise / Saas,85.49,5.0,3.73,85.49,5.0,3.73,0,0,0,0,0,0
aavishkaarintellecap,Investment,Mumbai,257.3,Other,Teachers Insurance And Annuity Association (Tiaa),2018,November,Fintech,Mumbai,Maharashtra,India,11,21,2018-11-21,3,2018,16.6,Mumbai | Fintech,5678.04,9.0,132.38,10649.08,19.0,136.95,0,0,0,0,0,0
abi health,Technology,Bangalore,12.45,Private Equity,Norwest Venture Partners,2017,June,Enterprise / Saas,Bangalore,Karnataka,India,6,21,2017-06-21,1,2017,257.3,Bangalore | Enterprise / Saas,510.43,22.0,13.49,1534.6,47.0,8.3,0,0,0,0,0,0
abl workspaces,Hospitality,Delhi,4.98,Pre-Series A,Wurk,2021,February,Healthtech,Delhi,Delhi,India,2,19,2021-02-19,4,2020,12.45,Delhi | Healthtech,302.16,6.0,8.73,387.11,12.0,8.3,0,0,0,0,0,0
able jobs,Hr,Bangalore,16.6,Unknown,"First Cheque., Neeraj Arora, Saif Partners, Titan Capital, Y Combiunknowntor",2020,August,Hrtech,Bangalore,Karnataka,India,8,28,2020-08-28,2,2020,4.98,Bangalore | Hrtech,162.38,5.0,6.67,162.38,5.0,6.67,0,0,0,0,0,0
abound,Fintech,Us,116.2,Seed,Near Foundation,2025,March,Fintech,Nan,Nan,Usa,3,25,2025-03-25,4,2024,16.6,Us | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
absentia,Virtual Reality Headset Creator,Bangalore,1.49,Seed,"50K Ventures, Astarc Ventures, Others",2015,November,Enterprise / Saas,Bangalore,Karnataka,India,11,12,2015-11-12,3,2015,116.2,Bangalore | Enterprise / Saas,313.78,11.0,8.3,313.78,11.0,8.3,0,0,0,0,0,0
absentia vr,Technology,Bangalore,10.38,Private Equity,Exfinity Venture Partners,2017,April,Enterprise / Saas,Bangalore,Karnataka,India,4,18,2017-04-18,1,2017,1.49,Bangalore | Enterprise / Saas,697.66,21.0,13.49,1398.13,40.0,9.34,0,0,0,0,0,0
acadru,Edtech,Gurgaon,4.15,Pre-Series A,"Aig Direct Llc, Others",2024,August,Enterprise / Saas,Gurgaon,Haryana,India,8,3,2024-08-03,2,2024,10.38,Gurgaon | Enterprise / Saas,7669.75,9.0,29.88,10944.18,24.0,40.25,0,0,0,0,0,0
accel,Fintech,Palo Alto,577.6,Unknown,Multiples,2022,April,Fintech,Palo Alto,California,Usa,4,24,2022-04-24,1,2022,4.15,Palo Alto | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
