Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
open financial,Fintech,Bangalore,747.0,Series C,"Google, Sbi Investment, Temasek",2021,October,Fintech,Bangalore,Karnataka,India,10,15,2021-10-15,3,2021,3.73,Bangalore | Fintech,9920.16,35.0,99.6,15672.89,59.0,99.6,0,0,0,0,0,0
open secret,Food,Mumbai,0.12,Series B,Gautam Kumra And Sixth Sense Ventures,2022,June,Foodtech,Mumbai,Maharashtra,India,6,6,2022-06-06,1,2022,747.0,Mumbai | Foodtech,2441.36,9.0,56.02,3814.58,17.0,42.76,0,0,0,0,0,0
openapp,Technology,Bangalore,29.88,Private Equity,"Axilor Ventures, Kumar Vembu",2017,November,Enterprise / Saas,Bangalore,Karnataka,India,11,8,2017-11-08,3,2017,0.12,Bangalore | Enterprise / Saas,1168.14,22.0,44.82,1732.52,45.0,25.32,0,0,0,0,0,0
openapp,Iot,Bangalore,4.15,Unknown,Unicorn India Ventures,2020,July,Others,Bangalore,Karnataka,India,7,25,2020-07-25,2,2020,29.88,Bangalore | Others,1310.25,16.0,35.28,1711.3,27.0,21.27,0,0,0,0,0,0
openfx,Fx Infrastructure,Us,190.9,Seed,Accel,2025,May,Others,Nan,Nan,Usa,5,11,2025-05-11,1,2025,34.03,Us | Others,24.9,1.0,24.9,24.9,1.0,24.9,0,0,0,0,0,0
opentap,Fintech,Chennai,3.73,Other,Unknown High Netunknownworth Individuals,2018,May,Fintech,Chennai,Tamil Nadu,India,5,17,2018-05-17,1,2018,190.9,Chennai | Fintech,1113.86,8.0,85.08,1113.86,8.0,85.08,0,0,0,0,0,0
opinio,Hyperlocal Food & Grocery Store,Bangalore,10.79,Seed,"Accel, Others, Traxcn Labs",2015,July,Foodtech,Bangalore,Karnataka,India,7,25,2015-07-25,2,2015,3.73,Bangalore | Foodtech,296.73,5.0,66.4,296.73,5.0,66.4,0,0,0,0,0,0
opinio,Last Mile Delivery,Bangalore,58.1,Private Equity,"Delhivery, Sands Capital And Accel Partners",2015,October,Logistics / Supply Chain,Bangalore,Karnataka,India,10,4,2015-10-04,3,2015,10.79,Bangalore | Logistics / Supply Chain,153.88,4.0,30.3,153.88,4.0,30.3,0,0,0,0,0,0
optacredit,Fintech,Chennai,33.2,Private Equity,Dmi Fiunknownnce,2018,January,Fintech,Chennai,Tamil Nadu,India,1,2,2018-01-02,4,2017,68.89,Chennai | Fintech,885.61,6.0,56.02,885.61,6.0,56.02,0,0,0,0,0,0
optimized electrotech,Aeorspace,Ahmedabad,14.94,Pre-Series A,Gvfl,2021,April,Spacetech,Ahmedabad,Gujarat,India,4,11,2021-04-11,1,2021,33.2,Ahmedabad | Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
optimized electrotech,Deeptech,Ahmedabad,49.8,Series A,Blume Ventures And Mela Ventures,2025,April,Enterprise / Saas,Ahmedabad,Gujarat,India,4,22,2025-04-22,1,2025,14.94,Ahmedabad | Enterprise / Saas,1098.92,7.0,6.22,1347.92,13.0,12.45,0,0,0,0,0,0
orahi,Consumer Internet,Gurgaon,4.32,Seed,Indian Angel Network,2016,January,Consumer Internet,Gurgaon,Haryana,India,1,20,2016-01-20,4,2015,64.74,Gurgaon | Consumer Internet,729.25,8.0,4.15,729.25,8.0,4.15,0,0,0,0,0,0
orai,It,Bangalore,3.32,Pre-Series A,Inflection Point Ventures,2021,April,Enterprise / Saas,Bangalore,Karnataka,India,4,23,2021-04-23,1,2021,4.32,Bangalore | Enterprise / Saas,9512.47,39.0,20.75,12093.35,60.0,18.16,0,0,0,0,0,0
orai robotics,Information Technology &,Bangalore,6.64,Pre-Series A,Inflection Point Ventures,2022,January,Enterprise / Saas,Bangalore,Karnataka,India,1,26,2022-01-26,4,2021,3.32,Bangalore | Enterprise / Saas,17729.09,77.0,24.9,31447.54,118.0,24.9,0,0,0,0,0,0
orange health,Healthcare,Bangalore,289.67,Series B,Y Combiunknowntor And Accel,2022,June,Healthtech,Bangalore,Karnataka,India,6,9,2022-06-09,1,2022,6.64,Bangalore | Healthtech,15081.18,12.0,872.54,21119.68,35.0,159.78,0,0,0,0,0,0
orange health,Diagnostics And Healthcare,Bangalore,99.6,Unknown,Amazon Smbhav Venture Fund,2024,December,Healthtech,Bangalore,Karnataka,India,12,28,2024-12-28,3,2024,289.67,Bangalore | Healthtech,998.96,15.0,41.87,16331.63,26.0,225.76,0,0,0,0,0,0
orange health labs,Diagnostics & Healthcare,Bangalore,99.6,Unspecified Round,"Accel, Amazon Smbhav Venture Fund, Bertelsmann India Investments, General Catalyst, Y Combiunknowntor",2024,December,Healthtech,Bangalore,Karnataka,India,12,3,2024-12-03,3,2024,389.27,Bangalore | Healthtech,998.96,15.0,41.87,16331.63,26.0,225.76,0,0,0,0,0,0
orangetwig,Consumer Internet,Delhi,8.3,Seed,Unknown Investor,2016,October,Consumer Internet,Delhi,Delhi,India,10,6,2016-10-06,3,2016,99.6,Delhi | Consumer Internet,3208.78,28.0,6.17,3493.54,45.0,3.99,0,0,0,0,0,0
orbitaid,Spacetech,Bangalore,12.45,Pre-Seed,"Tansim (Tamil Nadu Government), Unicorn India Ventures",2025,January,Enterprise / Saas,Bangalore,Karnataka,India,1,14,2025-01-14,4,2024,8.3,Bangalore | Enterprise / Saas,2991.8,25.0,77.72,9234.22,47.0,61.0,0,0,0,0,0,0
orbitt space,Spacetech,Ahmedabad,8.3,Pre-Seed,"Iima Ventures, Pi Ventures",2025,May,Enterprise / Saas,Ahmedabad,Gujarat,India,5,3,2025-05-03,1,2025,12.45,Ahmedabad | Enterprise / Saas,1186.07,8.0,22.83,1437.14,14.0,19.09,0,0,0,0,0,0
oriano solar,Technology,Mumbai,24.9,Private Equity,Samridhi Fund,2017,March,Enterprise / Saas,Mumbai,Maharashtra,India,3,21,2017-03-21,4,2016,8.3,Mumbai | Enterprise / Saas,720.07,14.0,18.47,2119.18,29.0,13.28,0,0,0,0,0,0
origa,Fintech,Andheri,16.6,Debt,"500 Startups, Ah! Ventures",2020,January,Fintech,Mumbai,Maharashtra,India,1,4,2020-01-04,4,2019,24.9,Andheri | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
origa leasing,Asset Financing,Mumbai,9.13,Seed,"500 Startups, Ah! Ventures, Other Hnis",2015,October,Fintech,Mumbai,Maharashtra,India,10,20,2015-10-20,3,2015,16.6,Mumbai | Fintech,465.63,7.0,62.25,465.63,7.0,62.25,0,0,0,0,0,0
origamis ai,Ai,Bangalore,4.15,Seed,"Naveen Agarwal, Vikas Gautam",2025,February,Artificial Intelligence,Bangalore,Karnataka,India,2,27,2025-02-27,4,2024,9.13,Bangalore | Artificial Intelligence,1447.93,8.0,76.15,2417.04,17.0,76.15,0,0,0,0,0,0
oright,Legaltech,Nan,8.3,Seed,Aeravti Ventures,2024,September,Enterprise / Saas,Nan,Nan,Nan,9,14,2024-09-14,2,2024,4.15,Nan | Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
origin fresh,Fresh Produce D2C,Bangalore,8.3,Pre-Seed,"Aeravti Ventures, Ultra Hnis",2025,January,Ecommerce / Retail,Bangalore,Karnataka,India,1,4,2025-01-04,4,2024,8.3,Bangalore | Ecommerce / Retail,695.15,10.0,66.4,16158.2,25.0,70.55,0,0,0,0,0,0
origo,Agritech,Gurgaon,56.44,Unknown,"Caspian Sme Impact Fund Iv, Oikocredit, Triodos Investment Maunknowngement",2020,January,Agritech,Gurgaon,Haryana,India,1,25,2020-01-25,4,2019,8.3,Gurgaon | Agritech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
origo,Agritech,Gurgaon,33.2,Debt,Northern Arc Capital,2020,October,Agritech,Gurgaon,Haryana,India,10,3,2020-10-03,3,2020,56.44,Gurgaon | Agritech,209.16,4.0,48.97,209.16,4.0,48.97,0,0,0,0,0,0
origo,Agritech,Gurgaon,83.0,Debt,Yes Bank,2021,February,Agritech,Gurgaon,Haryana,India,2,3,2021-02-03,4,2020,89.64,Gurgaon | Agritech,246.51,6.0,33.2,246.51,6.0,33.2,0,0,0,0,0,0
origo commodities,Logistics,Hyderabad,91.3,Other,"Caspian And Hivosunknowntriodos Fund, Cooperative Oikocredit",2018,October,Logistics / Supply Chain,Hyderabad,Telangana,India,10,6,2018-10-06,3,2018,172.64,Hyderabad | Logistics / Supply Chain,9.75,2.0,4.88,9.75,2.0,4.88,0,0,0,0,0,0
orobind,Other,Unknown,1.66,Seed,"Harpreet Singh Grover, Lalit Mangal, Zishaan Hayath",2015,March,Others,Nan,Nan,Nan,3,5,2015-03-05,4,2014,91.3,Unknown | Others,6336.12,79.0,9.24,6336.12,79.0,9.24,0,0,0,0,0,0
oslash,Software Development,Bangalore,41.5,Seed,"Christian Oestlien, Kuunknownl Shah",2022,March,Enterprise / Saas,Bangalore,Karnataka,India,3,8,2022-03-08,4,2021,1.66,Bangalore | Enterprise / Saas,22014.43,80.0,33.2,39535.44,142.0,24.9,0,0,0,0,0,0
otipy,Agritech/Commerce,Unknown,8.3,Pre-Series A,Inflection Point Ventures,2020,August,Agritech,Nan,Nan,Nan,8,9,2020-08-09,2,2020,41.5,Unknown | Agritech,37.35,2.0,18.68,37.35,2.0,18.68,0,0,0,0,0,0
otipy,Food,Gurgaon,84.66,Series A,"Innoven Capital, Omidyar Network India",2021,July,Foodtech,Gurgaon,Haryana,India,7,16,2021-07-16,2,2021,8.3,Gurgaon | Foodtech,6031.61,7.0,36.11,8351.42,18.0,36.11,0,0,0,0,0,0
otipy,Agritech,Haryana,3.2,Series B,Westbridge Capital,2022,March,Agritech,Nan,Haryana,India,3,21,2022-03-21,4,2021,92.96,Haryana | Agritech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
otipy,Agritech,Gurgaon,16.6,Venture Debt,Nuvama,2025,March,Agritech,Gurgaon,Haryana,India,3,11,2025-03-11,4,2024,96.16,Gurgaon | Agritech,857.39,6.0,113.3,1103.9,12.0,83.0,0,0,0,0,0,0
oto capital,Fintech,Mumbai,49.8,Unknown,Matrix Partners,2021,August,Fintech,Mumbai,Maharashtra,India,8,6,2021-08-06,2,2021,112.76,Mumbai | Fintech,1830.52,21.0,31.12,2433.41,33.0,32.94,0,0,0,0,0,0
our food,Food,Hyderabad,49.8,Unknown,"3Lines Venture Capital, C4D Asia Fund",2022,January,Foodtech,Hyderabad,Telangana,India,1,21,2022-01-21,4,2021,49.8,Hyderabad | Foodtech,13.53,2.0,6.76,13.53,2.0,6.76,0,0,0,0,0,0
ourbetterplanet,Ecommerce,Bangalore,2.49,Seed,Vans Group,2021,July,Ecommerce / Retail,Bangalore,Karnataka,India,7,26,2021-07-26,2,2021,49.8,Bangalore | Ecommerce / Retail,7176.18,12.0,336.15,9417.67,27.0,69.32,0,0,0,0,0,0
oureyeai,Virtual Auditing,Bangalore,1.0,Unknown,"100X Vc, Amara Ventures",2020,December,Enterprise / Saas,Bangalore,Karnataka,India,12,1,2020-12-01,3,2020,2.49,Bangalore | Enterprise / Saas,4303.96,28.0,18.16,23469.38,58.0,28.01,0,0,0,0,0,0
outscal,Information Technology,Delhi,12.45,Seed,Kalaari Capital.,2022,September,Enterprise / Saas,Delhi,Delhi,India,9,15,2022-09-15,2,2022,1.0,Delhi | Enterprise / Saas,4399.29,14.0,214.14,5091.93,33.0,44.82,0,0,0,0,0,0
outzidr,D2C Apparel,Bangalore,30.0,Seed,Stellaris Venture Partners,2025,April,Ecommerce / Retail,Bangalore,Karnataka,India,4,25,2025-04-25,1,2025,12.45,Bangalore | Ecommerce / Retail,6417.6,18.0,66.4,16192.66,29.0,66.4,0,0,0,0,0,0
outzidr,Ecommerce,Bangalore,24.9,Pre-Series A,Rtp Global,2025,August,Ecommerce / Retail,Bangalore,Karnataka,India,8,1,2025-08-01,2,2025,30.0,Bangalore | Ecommerce / Retail,5025.86,17.0,162.25,9877.91,31.0,66.4,0,0,0,0,0,0
ouwt,Nightlife Discovery Mobile,Mumbai,1.25,Seed,Unknown Investors,2015,November,Others,Mumbai,Maharashtra,India,11,20,2015-11-20,3,2015,54.9,Mumbai | Others,314.12,18.0,9.13,314.12,18.0,9.13,0,0,0,0,0,0
overcartcom,Ecommerce,Gurgaon,24.9,Private Equity,"Jsw Ventures, Omidyar Network, Sattva Capital, Venture Works",2016,July,Ecommerce / Retail,Gurgaon,Haryana,India,7,22,2016-07-22,2,2016,1.25,Gurgaon | Ecommerce / Retail,1238.64,9.0,36.11,1985.64,11.0,41.5,0,0,0,0,0,0
owo,Ecommerce,Gurgaon,1.66,Unknown,Ah! Ventures,2021,February,Ecommerce / Retail,Gurgaon,Haryana,India,2,26,2021-02-26,4,2020,24.9,Gurgaon | Ecommerce / Retail,1704.53,10.0,61.8,2399.8,20.0,39.39,0,0,0,0,0,0
owo,Food,Gurgaon,24.9,Seed,Unknown,2021,December,Foodtech,Gurgaon,Haryana,India,12,5,2021-12-05,3,2021,1.66,Gurgaon | Foodtech,6190.97,7.0,112.88,7945.32,13.0,36.11,0,0,0,0,0,0
oxyzo,Fintech,Gurgaon,1660.0,Series A,"Alpha Wave, Tiger Global",2022,March,Fintech,Gurgaon,Haryana,India,3,22,2022-03-22,4,2021,26.56,Gurgaon | Fintech,4146.27,14.0,26.98,6796.04,29.0,58.72,0,0,0,0,0,0
oxyzo,Fintech,Gurgaon,100.0,Debt,Ak Capital Fiunknownnce,2025,February,Fintech,Gurgaon,Haryana,India,2,3,2025-02-03,4,2024,1660.0,Gurgaon | Fintech,1011.65,13.0,57.13,6402.26,25.0,57.13,0,0,0,0,0,0
oye rickshaw,Emobility,Unknown,83.0,Series A,Chiratae Ventures,2020,February,Enterprise / Saas,Nan,Nan,Nan,2,17,2020-02-17,4,2019,1760.0,Unknown | Enterprise / Saas,6567.6,11.0,87.98,6567.6,11.0,87.98,0,0,0,0,0,0
oye rickshaw,Transportation,Gurgaon,24.9,Unknown,"Alteria Capital, Chiratae Ventures",2021,April,Logistics / Supply Chain,Gurgaon,Haryana,India,4,4,2021-04-04,1,2021,83.0,Gurgaon | Logistics / Supply Chain,743.68,8.0,62.25,2572.25,16.0,103.75,0,0,0,0,0,0
oyo,Other,Unknown,207.5,Private Equity,"Greenoaks Capital, Lightspeed Ventures, Sequoia Capital",2015,March,Others,Nan,Nan,Nan,3,19,2015-03-19,4,2014,107.9,Unknown | Others,6336.12,79.0,9.24,6336.12,79.0,9.24,0,0,0,0,0,0
oyo,Budget Hotel Accommodation,Gurgaon,830.0,Private Equity,"Sequoia Capital, Softbank",2015,July,Travel / Hospitality,Gurgaon,Haryana,India,7,9,2015-07-09,2,2015,207.5,Gurgaon | Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
oyo,Consumer Internet,Delhi,830.0,Private Equity,"Dsg Consumer Partners And Venture Nursery, Greenoaks Capital, Lightspeed, Sequoia Capital, Softbank",2016,April,Consumer Internet,Delhi,Delhi,India,4,14,2016-04-14,1,2016,1037.5,Delhi | Consumer Internet,284.76,17.0,2.88,701.84,22.0,6.94,0,0,0,0,0,0
oyo,Consumer Internet,Gurgaon,2075.0,Private Equity,"Greenoaks Capital Partners, Lightspeed, Sequoia Capital India Advisors, Softbank",2017,April,Consumer Internet,Gurgaon,Haryana,India,4,22,2017-04-22,1,2017,1867.5,Gurgaon | Consumer Internet,760.67,22.0,10.9,1651.89,38.0,8.3,0,0,0,0,0,0
oyo,Consumer Internet,Gurgaon,2075.0,Private Equity,"Greenoaks Capital, Hero Enterprise, Lightspeed, Sequoia Capital, Softbank",2017,September,Consumer Internet,Gurgaon,Haryana,India,9,20,2017-09-20,2,2017,3942.5,Gurgaon | Consumer Internet,3206.7,20.0,44.2,3945.13,39.0,22.2,0,0,0,0,0,0
oyo,Consumer Internet,Gurgaon,83.0,Private Equity,Chiunknown Lodging Group,2017,September,Consumer Internet,Gurgaon,Haryana,India,9,20,2017-09-20,2,2017,6017.5,Gurgaon | Consumer Internet,3206.7,20.0,44.2,3945.13,39.0,22.2,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,5751.9,Unknown,"Avendus Fiunknownnce, Mypreferred Transformation, Softbank",2020,January,Healthtech,Gurgaon,Haryana,India,1,13,2020-01-13,4,2019,6100.5,Gurgaon | Healthtech,996.71,8.0,20.75,1101.71,15.0,7.26,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,58.1,Series F,Hindustan Media Venture,2021,January,Healthtech,Gurgaon,Haryana,India,1,3,2021-01-03,4,2020,11852.4,Gurgaon | Healthtech,6053.73,12.0,10.38,7050.44,20.0,10.38,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,1660.0,Unknown,Hindustan Media Venture,2021,March,Healthtech,Gurgaon,Haryana,India,3,20,2021-03-20,4,2020,11910.5,Gurgaon | Healthtech,218.58,10.0,10.38,7125.14,21.0,22.83,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,5478.0,Unknown,"Hindustan Media Venture, Softbank",2021,July,Healthtech,Gurgaon,Haryana,India,7,14,2021-07-14,2,2021,13570.5,Gurgaon | Healthtech,2296.9,11.0,39.42,8416.62,21.0,39.42,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,41.5,Series F,Microsoft,2021,August,Healthtech,Gurgaon,Haryana,India,8,15,2021-08-15,2,2021,19048.5,Gurgaon | Healthtech,8241.9,10.0,228.25,14390.96,23.0,46.66,0,0,0,0,0,0
oyo,Travel Arrangements,Gurgaon,4565.0,Unknown,Multiples,2022,April,Travel / Hospitality,Gurgaon,Haryana,India,4,22,2022-04-22,1,2022,19090.0,Gurgaon | Travel / Hospitality,1281.52,3.0,422.88,1281.52,3.0,422.88,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,1457.0,Series G,"A Partners, Ask Fiunknownncial, Incred Wealth, J, Mankind Pharma Promoters' Family Office, Patient Capital",2024,August,Healthtech,Gurgaon,Haryana,India,8,14,2024-08-14,2,2024,23655.0,Gurgaon | Healthtech,1702.09,8.0,43.99,8358.69,20.0,39.84,0,0,0,0,0,0
oyo,Hospitality,Gurgaon,550.0,Unspecified Round,Redsprig Innovation Partners (Ritesh Agarwal’S Affiliated Entity),2025,January,Healthtech,Gurgaon,Haryana,India,1,10,2025-01-10,4,2024,25112.0,Gurgaon | Healthtech,2814.38,8.0,21.16,4542.2,17.0,31.54,0,0,0,0,0,0
oyorooms,Budget Hotel Accommodation,Delhi,830.0,Private Equity,"Greenoaks Capital, Sequoia Capital, Softbank, \\Xc2\\Xa0 Lightspeed India",2015,August,Travel / Hospitality,Delhi,Delhi,India,8,3,2015-08-03,2,2015,25662.0,Delhi | Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
oyorooms,Consumer Internet,Delhi,514.6,Private Equity,Softbank,2016,August,Consumer Internet,Delhi,Delhi,India,8,18,2016-08-18,2,2016,830.0,Delhi | Consumer Internet,1219.39,29.0,3.99,1840.15,39.0,6.17,0,0,0,0,0,0
oyorooms,Hospitality,Gurgaon,830.0,Other,Didi Chuxing,2018,February,Healthtech,Gurgaon,Haryana,India,2,16,2018-02-16,4,2017,1344.6,Gurgaon | Healthtech,63.5,7.0,5.7,113.3,8.0,6.22,0,0,0,0,0,0
ozi,Retail > Mom & Baby Care,Haryana,27.39,Seed,Blume Venture,2025,October,Ecommerce / Retail,Nan,Haryana,India,10,7,2025-10-07,3,2025,2174.6,Haryana | Ecommerce / Retail,2025.61,3.0,362.71,2025.61,3.0,362.71,0,0,0,0,0,0
oziva,Nutrition,Unknown,41.5,Series A,Matrix Partners,2020,June,Foodtech,Nan,Nan,Nan,6,10,2020-06-10,1,2020,27.39,Unknown | Foodtech,1853.67,4.0,215.11,1853.67,4.0,215.11,0,0,0,0,0,0
oziva,Heathcare,Mumbai,99.6,Series B,"Eight Roads Ventures India, Funknownprime Capital",2021,March,Others,Mumbai,Maharashtra,India,3,21,2021-03-21,4,2020,41.5,Mumbai | Others,190.49,10.0,11.0,1906.74,28.0,11.0,0,0,0,0,0,0
ozonetel,Telecommunications,Hyderabad,41.5,Series A,Stakeboat Capital,2021,October,Ecommerce / Retail,Hyderabad,Telangana,India,10,22,2021-10-22,3,2021,141.1,Hyderabad | Ecommerce / Retail,170.56,6.0,22.2,175.96,8.0,11.2,0,0,0,0,0,0
paar autonomy,Advanced Hardware & Technology,Bangalore,4.15,Seed,Venture Catalysts,2025,September,Enterprise / Saas,Bangalore,Karnataka,India,9,2,2025-09-02,2,2025,41.5,Bangalore | Enterprise / Saas,5881.32,36.0,32.99,9513.97,66.0,50.28,0,0,0,0,0,0
pagarbook,Software,Bangalore,124.5,Series A,"India Quotient, Sequoia Capital",2020,December,Enterprise / Saas,Bangalore,Karnataka,India,12,12,2020-12-12,3,2020,4.15,Bangalore | Enterprise / Saas,4303.96,28.0,18.16,23469.38,58.0,28.01,0,0,0,0,0,0
paisadukan,Consumer Internet,Mumbai,1.87,Other,Unknown,2018,May,Consumer Internet,Mumbai,Maharashtra,India,5,23,2018-05-23,1,2018,124.5,Mumbai | Consumer Internet,1011.44,18.0,25.94,2889.13,56.0,21.16,0,0,0,0,0,0
pakka,Compostable Packaging,Kanpur,244.7,Unspecified Round,Unknown,2024,August,Others,Kanpur,Uttar Pradesh,India,8,14,2024-08-14,2,2024,1.87,Kanpur | Others,32.97,2.0,16.48,32.97,2.0,16.48,0,0,0,0,0,0
palmonas,Ecommerce,Pune,51.46,Series A,"India, Vertex Ventures Southeast Asia",2025,August,Ecommerce / Retail,Pune,Maharashtra,India,8,2,2025-08-02,2,2025,244.7,Pune | Ecommerce / Retail,8829.55,7.0,726.25,11517.18,13.0,83.0,0,0,0,0,0,0
pando,Logitech,Chennai,74.7,Series A,Chiratae Ventures,2020,January,Enterprise / Saas,Chennai,Tamil Nadu,India,1,7,2020-01-07,4,2019,51.46,Chennai | Enterprise / Saas,358.06,8.0,18.76,561.36,18.0,18.76,0,0,0,0,0,0
pandorum,Deeptech,Bangalore,42.0,Unknown,"021 Capital, Karunknowntaka Information Technology Venture Capital Fund",2020,January,Enterprise / Saas,Bangalore,Karnataka,India,1,28,2020-01-28,4,2019,74.7,Bangalore | Enterprise / Saas,6372.8,7.0,118.28,8922.9,24.0,29.05,0,0,0,0,0,0
pankhuri,Social Community,Bangalore,26.56,Unknown,Sequoia’S Surge,2021,July,Enterprise / Saas,Bangalore,Karnataka,India,7,20,2021-07-20,2,2021,42.0,Bangalore | Enterprise / Saas,13718.45,41.0,31.12,18489.42,75.0,20.23,0,0,0,0,0,0
pantherun,Enterprise Infrastructure > Enterprise Networking,Karnataka,99.6,Series A,Info Edge Ventures,2025,October,Enterprise / Saas,Nan,Karnataka,India,10,23,2025-10-23,3,2025,26.56,Karnataka | Enterprise / Saas,12.45,1.0,12.45,12.45,1.0,12.45,0,0,0,0,0,0
papa pawsome,Industry,Thane,166.0,Seed,Mandar Joshi And Iti Growth Opportunities Fund,2022,September,Others,Mumbai,Maharashtra,India,9,7,2022-09-07,2,2022,99.6,Thane | Others,53.95,2.0,26.98,53.95,2.0,26.98,0,0,0,0,0,0
paper boat,Ethnic Beverages Manufacturer,Gurgaon,249.0,Private Equity,"Hillhouse Capital, Sofiunknown",2015,July,Foodtech,Gurgaon,Haryana,India,7,25,2015-07-25,2,2015,166.0,Gurgaon | Foodtech,1037.5,2.0,518.75,1037.5,2.0,518.75,0,0,0,0,0,0
paper boat,Food,Bangalore,33.61,Unknown,"A91 Emerging Fund, Advent Maunknowngement, Trifecta Venture",2020,March,Foodtech,Bangalore,Karnataka,India,3,28,2020-03-28,4,2019,249.0,Bangalore | Foodtech,1678.5,10.0,77.15,2748.79,16.0,68.85,0,0,0,0,0,0
paper boat,Food,Gurgaon,30.71,Unknown,"A91 Emerging Fund, Catamarann Ventures, Sci Growth Investment Ii, Sofiunknown Ventures",2020,July,Foodtech,Gurgaon,Haryana,India,7,13,2020-07-13,2,2020,282.61,Gurgaon | Foodtech,1754.35,6.0,20.75,3507.79,19.0,33.2,0,0,0,0,0,0
paperflite,Technology,Chennai,3.32,Other,The Chenunknowni Angels,2018,January,Enterprise / Saas,Chennai,Tamil Nadu,India,1,3,2018-01-03,4,2017,313.32,Chennai | Enterprise / Saas,198.56,8.0,20.84,431.97,16.0,12.45,0,0,0,0,0,0
paperfly,Ecommerce,Bangalore,91.3,Unknown,Ecom Express,2021,January,Ecommerce / Retail,Bangalore,Karnataka,India,1,19,2021-01-19,4,2020,3.32,Bangalore | Ecommerce / Retail,2659.4,14.0,69.32,5118.27,25.0,91.3,0,0,0,0,0,0
parablu,Technology,Bangalore,4.15,Seed,Kalaari Capital,2016,June,Enterprise / Saas,Bangalore,Karnataka,India,6,9,2016-06-09,1,2016,91.3,Bangalore | Enterprise / Saas,502.0,18.0,9.13,798.23,26.0,9.96,0,0,0,0,0,0
parallel dots,Technology,Gurgaon,11.62,Private Equity,Multipoint Capital,2017,October,Enterprise / Saas,Gurgaon,Haryana,India,10,3,2017-10-03,3,2017,4.15,Gurgaon | Enterprise / Saas,655.97,7.0,6.15,1039.03,16.0,6.15,0,0,0,0,0,0
parcelled,Online Logistics,Bangalore,41.5,Private Equity,Delhivery,2015,October,Consumer Internet,Bangalore,Karnataka,India,10,27,2015-10-27,3,2015,11.62,Bangalore | Consumer Internet,7006.86,12.0,76.78,7006.86,12.0,76.78,0,0,0,0,0,0
pariksha,Edtech,Pune,14.94,Unknown,"9Unicorns Accelerator Fund, Venture Catalysts",2021,January,Enterprise / Saas,Pune,Maharashtra,India,1,27,2021-01-27,4,2020,41.5,Pune | Enterprise / Saas,3041.24,12.0,49.8,4125.22,19.0,48.14,0,0,0,0,0,0
pariksha,Edtech,Pune,16.6,Pre-Series A,"9Unicorns Accelerator Fund, Venture Catalysts",2021,February,Enterprise / Saas,Pune,Maharashtra,India,2,21,2021-02-21,4,2020,14.94,Pune | Enterprise / Saas,1285.43,7.0,49.8,3418.06,18.0,39.84,0,0,0,0,0,0
park,Techonology,Unknown,91.3,Unknown,"Matrix Partners, Sequoia Capital",2020,January,Enterprise / Saas,Nan,Nan,Nan,1,9,2020-01-09,4,2019,31.54,Unknown | Enterprise / Saas,124.5,1.0,124.5,124.5,1.0,124.5,0,0,0,0,0,0
park,Technology,Delhi,207.5,Series B,"Matrix Partners, Sequoia Capital",2021,November,Enterprise / Saas,Delhi,Delhi,India,11,21,2021-11-21,3,2021,91.3,Delhi | Enterprise / Saas,692.64,19.0,10.38,1566.49,30.0,14.24,0,0,0,0,0,0
park easy,Consumer Internet,Kolkata,0.98,Seed,Rockstart Accelerator,2017,October,Consumer Internet,Kolkata,West Bengal,India,10,16,2017-10-16,3,2017,298.8,Kolkata | Consumer Internet,2.08,2.0,1.04,2.08,2.0,1.04,0,0,0,0,0,0
parkmate,Road Transport,Uttar Pradesh,9.96,Pre-Series A,Cactus Partners (Cpl),2024,November,Logistics / Supply Chain,Nan,Uttar Pradesh,India,11,20,2024-11-20,3,2024,0.98,Uttar Pradesh | Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
