Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
nightstay,Hotel Booking,Noida,4.15,Seed,"Bedrock Ventures, Rajesh Sawhney, Shailesh Singh",2015,August,Travel / Hospitality,Noida,Uttar Pradesh,India
sunday realty,For Property Brokers,Mumbai,6.52,Seed,"Ramesh Jogani, Shailesh Viswaunknownthan, Jay Srinivasan",2015,August,Real Estate / PropTech,Mumbai,Maharashtra,India
appvigil,Securityxc2Xa0 Testing,Mumbai,4.15,Seed,"Ravi Gururaj, Gaurav Sharma, Viswaunknownth Ramachandran, Ripplewave",2015,August,Enterprise / SaaS,Mumbai,Maharashtra,India
practo,Doctor Appointment Booking,Bangalore,747.0,Private Equity,"Sofiunknown, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",2015,August,Others,Bangalore,Karnataka,India
ketto,Crowd Funding,Mumbai,5.81,Seed,"Chenunknowni Angels, Calcutta Angels, Ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, Letsventure",2015,August,Venture Capital,Mumbai,Maharashtra,India
ezetap,Mobile Based Pos Solution,Bangalore,207.5,Private Equity,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",2015,August,Others,Bangalore,Karnataka,India
carlxe2x80x99s jr,Fast Food Franchisee,Gurgaon,5.23,Seed,Youwecan Ventures,2015,August,FoodTech,Gurgaon,Haryana,India
easyrewardz,Loyalty Programs & Reward Points,Mumbai,4.15,Private Equity,"Wealth First, Ashneer Grover, Atul Phadnis",2015,August,Marketing / AdTech,Mumbai,Maharashtra,India
mytaxiindia,Taxi Rental,Gurgaon,4.15,Private Equity,Nihon Kotsu,2015,August,Mobility / Automotive / EV,Gurgaon,Haryana,India
esadar,Ecommerce,Delhi,0.66,Seed,"Neha Vats, Gaurav Vats",2015,August,Ecommerce / Retail,Delhi,Delhi,India
mypoolin,Mobile Social,Delhi,2.08,Seed,Qprize From Qualcomm Ventures,2015,August,Others,Delhi,Delhi,India
nearbuy previouslyxc2xa0 groupon,Hyperlocal Ecommerce,Delhi,132.8,Private Equity,Sequoia Capital,2015,August,Ecommerce / Retail,Delhi,Delhi,India
inkmonk,Online Printing,Chennai,2.08,Seed,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others From Letsventure",2015,August,Consumer Internet,Chennai,Tamil Nadu,India
tonetag,Mobile Payment Software,Bangalore,8.3,Private Equity,Reliance Capital Venture,2015,August,Enterprise / SaaS,Bangalore,Karnataka,India
grey orange,Automated Storage & Warehousing Solution,Gurgaon,249.0,Private Equity,Tiger Global Maunknowngement,2015,August,Mobility / Automotive / EV,Gurgaon,Haryana,India
livspace,Home Design & Dxc3Xa9Cor,Bangalore,66.4,Private Equity,"Helion Ventures, Jungle Ventures, Bessemer Venture Partners",2015,August,Others,Bangalore,Karnataka,India
wow momo,Quick Restaurant,Kolkata,13.28,Seed,Indian Angel Network,2015,August,FoodTech,Kolkata,West Bengal,India
raincan,Subscription Based Online Grocery,Pune,0.83,Seed,"Ajeet Khuraunknown, Others",2015,August,Consumer Internet,Pune,Maharashtra,India
allygrow,Engineering,Mumbai,166.0,Private Equity,Zodius Technology Fund,2015,August,Others,Mumbai,Maharashtra,India
infogain,Business And It Consulting,Delhi,522.9,Private Equity,Chryscapital,2015,August,Enterprise / SaaS,Delhi,Delhi,India
oneassist,Credit Card Fraud Protection,Mumbai,62.25,Private Equity,"Sequoia Capital, Lightspeed Ventures",2015,August,FinTech,Mumbai,Maharashtra,India
bigbasket,Online & Mobile Grocery Store,Bangalore,415.0,Private Equity,Bessemer Venture Partners,2015,August,Consumer Internet,Bangalore,Karnataka,India
sheroes,Career Community For Women,Noida,6.39,Seed,"Quintillion Media, 500 Startups",2015,August,Enterprise / SaaS,Noida,Uttar Pradesh,India
scripbox,Mutual Fund Investing,Bangalore,20.75,Private Equity,"Accel, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",2015,August,Venture Capital,Bangalore,Karnataka,India
etaout,Ecommerce,Noida,4.15,Seed,"Amit Ranjan, Vijay Shekhar Sharma, Kuunknownl Bahl, Girish Mathrubootham, \\Xc2\\Xa0 Group Of Other Angel Investors",2015,August,Ecommerce / Retail,Noida,Uttar Pradesh,India
ifmr,Financial Inclusion,Chennai,207.5,Private Equity,"Accion, Leapfrog Investments, Lok Capital",2015,August,FinTech,Chennai,Tamil Nadu,India
agrostar,Mobile Commerce For Farmers,Pune,33.2,Private Equity,Idg Ventures,2015,August,AgriTech,Pune,Maharashtra,India
voxweb,Picture Based Social,Mumbai,0.83,Seed,"Jitendra Gupta, Others",2015,August,Others,Mumbai,Maharashtra,India
trukky,Logistics,Ahmedabad,2.03,Seed,"Gujarat Based Angel Investors, Mmy Counknownfounder",2015,August,Logistics / Supply Chain,Ahmedabad,Gujarat,India
edu4share,Exam Preparation,Delhi,1.83,Seed,"Nalin Jain, Other Angel Investors",2015,August,Others,Delhi,Delhi,India
sampurnearth,Waste Management,Mumbai,1.33,Seed,"Intellecap Impact Investment Network, Family Office Fund",2015,August,Others,Mumbai,Maharashtra,India
shadowfax,Ondemand Delivery,Gurgaon,2.57,Seed,"Kuunknownl Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",2015,August,Logistics / Supply Chain,Gurgaon,Haryana,India
roposo,Fashion Discovery,Gurgaon,124.5,Private Equity,Tiger Global,2015,August,Consumer Goods / D2C,Gurgaon,Haryana,India
intelligencenode,Data Analytics,Mumbai,34.86,Private Equity,"New Enterprise Associates, Orios Venture Partners",2015,August,Analytics / Big Data,Mumbai,Maharashtra,India
hyperverge,Deep Learning Cloud Algorithms,Chennai,8.3,Seed,"Nea, Milliways Ventures, Naya Ventures",2015,August,EdTech,Chennai,Tamil Nadu,India
zoojoobe,Corporate Wellness,Bangalore,8.3,Private Equity,Roundglass Partners,2015,August,Others,Bangalore,Karnataka,India
timesaverz,Hyperlocal Maintenance Repair & Cleaning,Mumbai,19.92,Private Equity,Unilazer Ventures,2015,August,Artificial Intelligence,Mumbai,Maharashtra,India
mebelkart,Online Furniture,Bangalore,166.0,Private Equity,Askme,2015,August,Consumer Internet,Bangalore,Karnataka,India
labsadvisor,Online Diagnostic Tests,Delhi,1.29,Seed,Group Of Angel Investors,2015,August,HealthTech,Delhi,Delhi,India
flatpebble,Online For Photographers,Hyderabad,4.98,Seed,Indian Angel Network,2015,August,Consumer Internet,Hyderabad,Telangana,India
bluegapecom,Visual Blogging,Delhi,4.98,Seed,"Ah! Ventures, Times Internet, Rudy Gopalakrishunknownn",2015,August,Others,Delhi,Delhi,India
epoise,Job Search,Bangalore,4.15,Seed,"Orios Venture Partners, Amit Ranjan, Others",2015,August,HRTech,Bangalore,Karnataka,India
jolly food fellow,Food Customer Analytics,Ahmedabad,2.49,Seed,The 1947,2015,August,FoodTech,Ahmedabad,Gujarat,India
bookmein,Professional Appointment Booking,Mumbai,3.32,Seed,Ajmera Group Of Companies,2015,August,Others,Mumbai,Maharashtra,India
qyk app,Ondemand Based Professional,Bangalore,8.3,Private Equity,"Growx Ventures, Tracxn Labs, Powai Lake Ventures, And Sahil Barua",2015,August,Others,Bangalore,Karnataka,India
eazydiner,Restaurant Reservation,Gurgaon,24.9,Private Equity,"Dsg Consumer Partners, Saama Capital",2015,August,FoodTech,Gurgaon,Haryana,India
revx,Crosschannel Crm,Mumbai,33.2,Private Equity,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",2015,August,Others,Mumbai,Maharashtra,India
icustommadeit,Professional Custom Creators,Pune,2.08,Seed,Group Of Angel Investors,2015,August,Others,Pune,Maharashtra,India
pickmylaundry,Ondemand Washing & Drycleaning,Delhi,0.83,Seed,Ghv Accelerator,2015,August,Climate / CleanTech / Energy,Delhi,Delhi,India
belita,Ondemand Beauty,Mumbai,3.32,Seed,"India Quotient, Letsventure Investors, Lead Angels",2015,August,Consumer Goods / D2C,Mumbai,Maharashtra,India
foodtalkindia,Online Food Community,Gurgaon,4.15,Seed,Unknown Investor,2015,August,FoodTech,Gurgaon,Haryana,India
vyomo,Beauty & Lifestyle Mobile,Bangalore,16.6,Private Equity,Rocket Internet,2015,August,Consumer Goods / D2C,Bangalore,Karnataka,India
rollmafia,Qsr Restaurant,Pune,1.33,Seed,Equentia Natural Resources,2015,August,FoodTech,Pune,Maharashtra,India
dropkaffe,Online Coffee Delivery,Bangalore,2.49,Seed,"Manish Singhal, P39 Capital, Others",2015,August,Consumer Internet,Bangalore,Karnataka,India
reverie,Language Localization Cloud,Bangalore,33.2,Private Equity,"Aspada Investment Advisors, Qualcomm Ventures",2015,August,Others,Bangalore,Karnataka,India
cloudcherry analytics,Crm / Analytics,Chennai,8.3,Seed,"The Chenunknowni Angels, Idg Ventures India",2015,July,Analytics / Big Data,Chennai,Tamil Nadu,India
nxtgen,It Infrastructure & Data Center,Bangalore,112.05,Private Equity,"Ifc, Axon Partners, Intel Capital",2015,July,Enterprise / SaaS,Bangalore,Karnataka,India
bankbazaar,Online Financial,Chennai,498.0,Private Equity,"Amazon, Fidelity Growth Partners, Mousse Partners",2015,July,FinTech,Chennai,Tamil Nadu,India
gozoomo,Used Car,Bangalore,41.5,Private Equity,Saif Partners,2015,July,Others,Bangalore,Karnataka,India
zenatix,Internet Of Things,Gurgaon,1.34,Seed,"Rajan Aunknownndan, Kuunknownl Bahl, Rohit Bansal, Rahul Khanunknown",2015,July,Consumer Internet,Gurgaon,Haryana,India
culturealley,Language Learning,Jaipur,53.95,Private Equity,Tiger Global,2015,July,EdTech,Jaipur,Rajasthan,India
gingercrush,Custom Merchandize,Ahmedabad,8.3,Seed,"Gokul Jaykrishunknown, Brand Capital",2015,July,Others,Ahmedabad,Gujarat,India
stitchwood,Custom Furniture,Mumbai,3.28,Seed,"Powai Lake Ventures, Ajeet Khuraunknown, Others",2015,July,Enterprise / SaaS,Mumbai,Maharashtra,India
paper boat,Ethnic Beverages Manufacturer,Gurgaon,249.0,Private Equity,"Sofiunknown, Hillhouse Capital",2015,July,FoodTech,Gurgaon,Haryana,India
wudstay,Budget Accommodation Aggregator,Gurgaon,24.9,Private Equity,"Mangroves Capital Partners, Vikas Saxeunknown",2015,July,Others,Gurgaon,Haryana,India
liases foras,Real Estate Rating & Analysis,Delhi,41.5,Private Equity,Dmg Information Asia Pacific,2015,July,Real Estate / PropTech,Delhi,Delhi,India
saavn,Music Streaming,Mumbai,830.0,Private Equity,"Tiger Global Maunknowngement, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",2015,July,Media / Entertainment / Gaming,Mumbai,Maharashtra,India
flytxt,Big Data & Analytics,Mumbai,91.3,Private Equity,"Sunrise Capital Gmbh, Big Data Investments B.V",2015,July,Analytics / Big Data,Mumbai,Maharashtra,India
axtria,Big Data & Analytics,India,249.0,Private Equity,"Helion Venture Partners, Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",2015,July,Analytics / Big Data,,,India
33coupons,Coupon Aggregator,Kanpur,0.17,Seed,Not Disclosed,2015,July,Others,Kanpur,Uttar Pradesh,India
hopping chef,Online Foodtech,Mumbai,3.9,Seed,Mirah Hospitality,2015,July,FoodTech,Mumbai,Maharashtra,India
collectabillia,Celebrity Fashion,Bangalore,62.25,Private Equity,Accel,2015,July,Enterprise / SaaS,Bangalore,Karnataka,India
lendingkart,Online Finance Lending,Ahmedabad,83.0,Private Equity,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",2015,July,FinTech,Ahmedabad,Gujarat,India
lybrate,Healthcare,Delhi,84.66,Private Equity,"Tiger Global Maunknowngement, Ratan Tata, Nexus Venture Partners",2015,July,HealthTech,Delhi,Delhi,India
zoomcar,Selfdriven Vehicle Rental,Bangalore,91.3,Private Equity,"Sequoia Capital, Empire Angels, Ngp",2015,July,Mobility / Automotive / EV,Bangalore,Karnataka,India
mysmartprice,Online Comparison Engine,Hyderabad,83.0,Private Equity,"Accel, Helion Venture Partners",2015,July,Consumer Internet,Hyderabad,Telangana,India
boxmyspace,Physical Storage Warehouses,Mumbai,2.49,Seed,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners",2015,July,Logistics / Supply Chain,Mumbai,Maharashtra,India
hackerrank,Recruitment,Bangalore,62.25,Private Equity,Hr Technology Fund,2015,July,Enterprise / SaaS,Bangalore,Karnataka,India
wickedride,Bike Rental,Bangalore,6.56,Seed,Unknown,2015,July,Mobility / Automotive / EV,Bangalore,Karnataka,India
wowexpress,Enabled Logistics,Mumbai,4.15,Seed,Tamarind Family Private Trust,2015,July,Logistics / Supply Chain,Mumbai,Maharashtra,India
oyo,Budget Hotel Accommodation,Gurgaon,830.0,Private Equity,"SoftBank, Sequoia Capital",2015,July,Travel / Hospitality,Gurgaon,Haryana,India
mobikon,Restaurant Customer Engagement,Pune,19.09,Private Equity,Jungle Ventures,2015,July,FoodTech,Pune,Maharashtra,India
roadrunnr,Hyper Local Logistics,Bangalore,91.3,Private Equity,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",2015,July,Logistics / Supply Chain,Bangalore,Karnataka,India
ketto,Crowd Funding,Mumbai,5.81,Seed,"Pradyumunknown Dalmia, Sudhir Rao, Others",2015,July,Venture Capital,Mumbai,Maharashtra,India
quikwallet,F&B Sector Mobile Payment,Mumbai,13.28,Private Equity,Snow Leopard Technology Ventures,2015,July,Others,Mumbai,Maharashtra,India
omnikart,Industrial Supplies B2B Ecommerce,Mumbai,0.83,Seed,"Sumit Gandhi, Manish Gandhi",2015,July,Ecommerce / Retail,Mumbai,Maharashtra,India
zo rooms,Online Budget Hotel,Delhi,124.5,Private Equity,"Tiger Global, Orios Venture Partners.",2015,July,Consumer Internet,Delhi,Delhi,India
innoviti,Payment,Bangalore,40.26,Private Equity,"Catamaran Ventures, New India Investment Corporation",2015,July,Others,Bangalore,Karnataka,India
joy by nature,Organic Food Ecommerce,Delhi,8.3,Private Equity,"Mumbai Angels, Vriddhi Fund, Others",2015,July,FoodTech,Delhi,Delhi,India
iqlect,Big Data & Analytics,Bangalore,16.6,Private Equity,Exfinity Venture Partners,2015,July,Analytics / Big Data,Bangalore,Karnataka,India
degustibus,Fine Dining Restaurant,Mumbai,249.0,Private Equity,India Value Fund Advisors,2015,July,FinTech,Mumbai,Maharashtra,India
nestaway,Luxury Rental Homes,Bangalore,105.83,Private Equity,"Flipkart, Tiger Global",2015,July,Mobility / Automotive / EV,Bangalore,Karnataka,India
mswipe,Mobile Point Of Sale Payment Solution,Unknown,207.5,Private Equity,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, Dsg Consumer Partners, Axis Bank",2015,July,Others,,,
myonsto,Online Grocers,Ahmedabad,2.66,Seed,Jayant Bokadia,2015,July,Consumer Internet,Ahmedabad,Gujarat,India
medgenome,Clinical Genomics,Bangalore,166.0,Private Equity,Sequoia Capital,2015,July,HealthTech,Bangalore,Karnataka,India
holidayiq,Travel Information Portal,Bangalore,124.5,Private Equity,Makemytrip,2015,July,Travel / Hospitality,Bangalore,Karnataka,India
fitternity,Fitness,Mumbai,8.3,Private Equity,Exfinity Venture Partners,2015,July,Enterprise / SaaS,Mumbai,Maharashtra,India
quikr,Online & Mobile Classified Listings,Mumbai,498.0,Private Equity,"Ab Kinnevik, Falcon Edge Capital, Coatue Maunknowngement",2015,July,Consumer Internet,Mumbai,Maharashtra,India
broex,Real Estate Broker,Gurgaon,8.3,Private Equity,Lightspeed India,2015,July,Real Estate / PropTech,Gurgaon,Haryana,India
credr,Used Bikes,Mumbai,124.5,Private Equity,Fidelity Growth Partners,2015,July,Mobility / Automotive / EV,Mumbai,Maharashtra,India
managemyspa,Spa & Salon Management Software,Hyderabad,49.8,Private Equity,Accel,2015,July,Enterprise / SaaS,Hyderabad,Telangana,India
pepperfry,Online Home Dxc3Xa9Cor,Mumbai,830.0,Private Equity,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",2015,July,Consumer Internet,Mumbai,Maharashtra,India
flipkartcom,Online,Bangalore,5810.0,Private Equity,Steadview Capital And Existing Investors,2015,July,Consumer Internet,Bangalore,Karnataka,India
opinio,Hyperlocal Food & Grocery Store,Bangalore,10.79,Seed,"Accel, Traxcn Labs, Others",2015,July,FoodTech,Bangalore,Karnataka,India
zoctr,Healthcare,Mumbai,8.3,Seed,"Sandeep Parwal, Krishan Gupta, Others",2015,July,HealthTech,Mumbai,Maharashtra,India
zimmber,Hyperlocal Handyman,Mumbai,16.6,Private Equity,"Idg Ventures India, Omidyar Network, Sherpalo Ventures, \\Xc2\\Xa0 Mohandas Pai",2015,July,Others,Mumbai,Maharashtra,India
truehb,Medical Instruments,Delhi,19.92,Seed,"Sachin And Binny Bansal, Malvinder And Shivinder Singh, Gurpreet Singh, Others",2015,July,HealthTech,Delhi,Delhi,India
zovicom little app,Hyperlocal Deals,Bangalore,415.0,Private Equity,"Paytm, Saif Partners, \\Xc2\\Xa0 Tiger Global Maunknowngement, Others",2015,July,Others,Bangalore,Karnataka,India
swajal,Innovative Water,Gurgaon,9.96,Private Equity,Abhishek Gupta,2015,July,Others,Gurgaon,Haryana,India
pipa bella,Online Jewelry Store,Mumbai,4.98,Private Equity,Lionrock Capital,2015,July,Consumer Internet,Mumbai,Maharashtra,India
pragmatix,Business Intelligence & Analytics,Mumbai,19.92,Private Equity,Sidbi Venture Capital Ltd,2015,July,Analytics / Big Data,Mumbai,Maharashtra,India
droomin,Used Vehicle,Delhi,132.8,Private Equity,"Lightbox Ventures, Beenos",2015,July,Mobility / Automotive / EV,Delhi,Delhi,India
madrat games,Educational Board Games,Bangalore,1.39,Seed,"Kuunknownl Bahl, Rohit Bansal",2015,July,EdTech,Bangalore,Karnataka,India
noodle play,Chinese Food Delivery,Mumbai,1.39,Seed,"Elliot Stechman, Gautam Sinha, Ambarish Ray",2015,July,FoodTech,Mumbai,Maharashtra,India
lazylad,Hyperlocal Grocery,Gurgaon,4.15,Private Equity,"Jai Choi, Kiyohiro Sugashita, Hirokazu",2015,July,Others,Gurgaon,Haryana,India
prothom,Hasbro Toy Manufacturer,Pune,16.6,Private Equity,Oliphabs Capital,2015,July,Others,Pune,Maharashtra,India
bona vita,Travel,Gurgaon,41.5,Private Equity,Makemytrip,2015,July,Travel / Hospitality,Gurgaon,Haryana,India
veeba foods,Healthy Food Manufacturer,Delhi,49.8,Private Equity,"Dsg Consumer Partners, Saama Capital.",2015,June,HealthTech,Delhi,Delhi,India
truebil,Used Car,Mumbai,4.15,Seed,"Kae Capital, Anupam Mittal",2015,June,Others,Mumbai,Maharashtra,India
meritnation,Online Learning,Delhi,33.2,Private Equity,Infoedge,2015,June,EdTech,Delhi,Delhi,India
eattreatonline,Healthy Food Online Community,Delhi,2.9,Seed,Group Of 15 Angel Investors,2015,June,HealthTech,Delhi,Delhi,India
glamrs,Online Fashion Video Portal,Mumbai,8.3,Private Equity,"Ventureworks India, Blume Ventures, Batlivala, Karani Securities, Nikunj Jhaveri",2015,June,Consumer Internet,Mumbai,Maharashtra,India
proviera,Probiotic Technology Products Manufacturer,Chennai,4.57,Private Equity,Infuse Ventures,2015,June,Enterprise / SaaS,Chennai,Tamil Nadu,India
arth designbuild,Architectural Design & Consulting,Hyderabad,4.15,Seed,Srinivas Tirupati,2015,June,Enterprise / SaaS,Hyderabad,Telangana,India
saama,Big Data & Analytics,Pune,290.5,Private Equity,Carrick Capital Partners,2015,June,Analytics / Big Data,Pune,Maharashtra,India
allizhealth,Preventive Healthcare,Pune,2.9,Seed,"Mumbai Angels, Other Angel Investors",2015,June,HealthTech,Pune,Maharashtra,India
propstack,Real Estate Intelligence,Mumbai,24.9,Private Equity,Dmg Information,2015,June,Real Estate / PropTech,Mumbai,Maharashtra,India
mytaxiindia,Online Car Rental Affiliates,Delhi,0.83,Seed,Green House Ventures,2015,June,Consumer Internet,Delhi,Delhi,India
arkin net,Data Center Software,Pune,124.5,Private Equity,Nexus Venture Partners,2015,June,Enterprise / SaaS,Pune,Maharashtra,India
little black book delhi,Online City & Lifestyle Guide,Delhi,1.25,Seed,"Rajan Aunknownndan, Niraj Singh, Sachin Bhatia, Singapore Angel Network, Aseem Vadehra",2015,June,Consumer Internet,Delhi,Delhi,India
icustomadeit,Bespoke Merchandize,Pune,2.08,Seed,"Virendra Shahney, Dr Paresh Doshi",2015,June,Others,Pune,Maharashtra,India
ecom express,Logistics,Delhi,1137.1,Private Equity,Warburg Pincus,2015,June,Logistics / Supply Chain,Delhi,Delhi,India
vidooly,Video Intelligence,Noida,8.3,Private Equity,Bessemer Venture Partners,2015,June,Media / Entertainment / Gaming,Noida,Uttar Pradesh,India
zopper,Hyperlocal Shopping,Mumbai,166.0,Private Equity,"Tiger Global, \\Xc2\\Xa0 Nirvaunknown Ventures Advisors",2015,June,Ecommerce / Retail,Mumbai,Maharashtra,India
flipkart,Ecommerce,Bangalore,415.0,Private Equity,Morgan Stanley,2015,June,Ecommerce / Retail,Bangalore,Karnataka,India
kwatt,Renewable Energy,Mumbai,4.15,Seed,Unknown,2015,June,Climate / CleanTech / Energy,Mumbai,Maharashtra,India
medwell ventures,Healthcarenservice,Bangalore,83.0,Private Equity,"Fidelity Growth Partners, Fidelity Biosciences",2015,June,HealthTech,Bangalore,Karnataka,India
jugnoo,Auto Rickshaw Based,Chandigarh,41.5,Private Equity,"Snow Leopard, Paytm",2015,June,Mobility / Automotive / EV,Chandigarh,Chandigarh,India
applied solar,Offgrid Solar Power,Mumbai,332.0,Private Equity,"Future Fund, Bessemer Venture, Capricorn Investment And Ifc",2015,June,Climate / CleanTech / Energy,Mumbai,Maharashtra,India
clovia,Private Label Lingerie Ecommerce,Delhi,41.5,Private Equity,Ivycap Ventures,2015,June,Ecommerce / Retail,Delhi,Delhi,India
swiggy,Online Food Ordering,Bangalore,136.95,Private Equity,"Norwest Venture Partners, Saif Partners, Accel",2015,June,FoodTech,Bangalore,Karnataka,India
paymango,Mobile Commerce,Gurgaon,1.94,Seed,Group Of Angel Investors,2015,June,Ecommerce / Retail,Gurgaon,Haryana,India
teritree,Digital Marketing,Bangalore,1.16,Seed,Kcl,2015,June,Enterprise / SaaS,Bangalore,Karnataka,India
voonik,Fashion Ecommerce Store,Bangalore,41.5,Private Equity,"Sequoia Capital, Seedfund",2015,June,Ecommerce / Retail,Bangalore,Karnataka,India
adstringo,Mobile Compression Software,Mumbai,2.9,Seed,"Arihant Patni, Vishal Khare, \\Xc2\\Xa0 Viswaunknownth Ramachandran",2015,June,Enterprise / SaaS,Mumbai,Maharashtra,India
faircentcom,Peer To Peer Lending,Gurgaon,2.08,Seed,"M, S Partners Pte. Ltd",2015,June,FinTech,Gurgaon,Haryana,India
la renon,Global Healthcare Products,Ahmedabad,132.8,Private Equity,Sequoia Capital,2015,June,HealthTech,Ahmedabad,Gujarat,India
homelane,Home Furnishing,Bangalore,415.0,Private Equity,Sequoia Capital,2015,June,Others,Bangalore,Karnataka,India
shippr,Intracity Logistics,Bangalore,4.15,Seed,I2India Pvt Ltd,2015,June,Enterprise / SaaS,Bangalore,Karnataka,India
couponraja,Online Coupon & Comparison,Mumbai,4.15,Seed,"Mahesh Pratapneni, Pallab Chatterjee, Others",2015,June,Consumer Internet,Mumbai,Maharashtra,India
mydentist,Dental Clinic,Mumbai,68.06,Private Equity,"Lgt Group, Asian Healthcare Fund, Seedfund",2015,June,HealthTech,Mumbai,Maharashtra,India
fracktal works,3D Printer Manufacturer,Bangalore,24.9,Private Equity,Neoteric Infomatique Limited,2015,June,DeepTech / Hardware,Bangalore,Karnataka,India
hansa customer equity,It / Customer Engagement Consulting,Mumbai,41.5,Private Equity,Ask Pravi,2015,June,Enterprise / SaaS,Mumbai,Maharashtra,India
housejoy,Home,Bangalore,33.2,Private Equity,Matrix Partners,2015,June,Others,Bangalore,Karnataka,India
fundsindiacom,Fintech,Chennai,91.3,Private Equity,"Faering Capital, Foundation Capital, Inventus Capital Partners",2015,June,FinTech,Chennai,Tamil Nadu,India
cupick,Social For Artists,Bangalore,1.0,Seed,Group Of Angel Investors From Us/India,2015,June,Others,Bangalore,Karnataka,India
tracxn,Funding,Bangalore,83.0,Private Equity,"Sachin Bansal, Bunny Bansal, Other Investors",2015,June,Venture Capital,Bangalore,Karnataka,India
holachef,Food,Mumbai,25.73,Private Equity,"Kalaari Capital, India Quotient",2015,June,FoodTech,Mumbai,Maharashtra,India
elong,Data Driven Recruitment Recommendation,Bangalore,41.5,Private Equity,"Kuunknownl Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",2015,June,Ecommerce / Retail,Bangalore,Karnataka,India
vidgyor,Video Advertisement,Bangalore,4.15,Seed,Angelprime,2015,June,Media / Entertainment / Gaming,Bangalore,Karnataka,India
goodservice,Mobile Chat Based Concierge,Delhi,13.28,Private Equity,Sequoia Capital,2015,June,Others,Delhi,Delhi,India
treebo,Online Budget Hotel Booking,Bangalore,49.8,Private Equity,"Matrix Partners, Saif Partners",2015,June,Consumer Internet,Bangalore,Karnataka,India
edukart,Edtech,Delhi,8.3,Private Equity,"Holostik Group, Youwecan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",2015,June,Enterprise / SaaS,Delhi,Delhi,India
indix,Saas Product Intelligence,Unknown,124.5,Private Equity,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",2015,June,Enterprise / SaaS,,,
the porter,Logistics,Mumbai,45.65,Private Equity,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",2015,June,Logistics / Supply Chain,Mumbai,Maharashtra,India
retentionai,Analytics,Bangalore,4.15,Seed,"Mercury Fund, Anshu Sharma, Pratyush Prasanunknown, Robert Winters, Others",2015,June,Analytics / Big Data,Bangalore,Karnataka,India
fusion microfinance,Micro Finance,Delhi,71.38,Private Equity,"Development Fiunknownnce Institution Belgian Investment Company, Oikocredit",2015,June,FinTech,Delhi,Delhi,India
zinka,Freight Logistics,Bangalore,49.8,Private Equity,"Accel, Flipkart",2015,June,Logistics / Supply Chain,Bangalore,Karnataka,India
creditmantri,Credit Management,Chennai,20.75,Private Equity,"Idg Ventures India, Elevar Equity, Accion Venture Lab",2015,June,FinTech,Chennai,Tamil Nadu,India
getmypeon,Hyperlocal Handyman,Mumbai,2.08,Seed,Unknown Investors,2015,June,Others,Mumbai,Maharashtra,India
urbanclap,Hyperlocal,Delhi,83.0,Private Equity,"Saif Partners, \\Xc2\\Xa0 Accel Partners",2015,June,Others,Delhi,Delhi,India
adwyze,Marketing / Advertising Automation,Bangalore,8.3,Seed,Mape Advisory,2015,June,Mobility / Automotive / EV,Bangalore,Karnataka,India
zimmber,Hyperlocal Handyman,Mumbai,3.32,Seed,"Naveen Tiwari, Mohit Saxeunknown, Amit Gupta, Piyush Shah, Manish Dugar",2015,June,Others,Mumbai,Maharashtra,India
flatchat,Flat Rental Mobile,Bangalore,20.75,Private Equity,Commonfloor,2015,June,Mobility / Automotive / EV,Bangalore,Karnataka,India
mycfo,Wealth Management,Mumbai,12.45,Private Equity,Sameer Koticha,2015,June,FinTech,Mumbai,Maharashtra,India
foodpanda,Online Food Delivery,Gurgaon,830.0,Private Equity,"Goldman Sachs, Rocket Internet",2015,May,FoodTech,Gurgaon,Haryana,India
termsheet,Fund Raising,Chennai,0.83,Seed,"Aunknownnd Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",2015,May,Artificial Intelligence,Chennai,Tamil Nadu,India
