Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
nutrabay,D2C Retail,Delhi,41.5,Series A,"Rpsg Capital Ventures, Kotak Alterunknownte Asset Maunknowngers",2024,September,Ecommerce / Retail,Delhi,Delhi,India
the hosteller,Backpacker Hostel,Mumbai,32.0,Series A,"V Cube Ventures, Letsventure Angel Fund, Angelist, Others",2024,September,Travel / Hospitality,Mumbai,Maharashtra,India
recommercex,Chemical Recycling,Noida,29.88,Seed,"Accel, Kae Capital",2024,September,Others,Noida,Uttar Pradesh,India
invest4edu,Edtech,Mumbai,24.9,Seed,Family Offices,2024,September,Enterprise / SaaS,Mumbai,Maharashtra,India
global care,Medical Tourism,Gurgaon,24.9,Series A,35North India Discovery Fund Unknown Ii,2024,September,HealthTech,Gurgaon,Haryana,India
bigendian semiconductors,Semiconductors,Bangalore,24.9,Unspecified Round,"Vertex Ventures Sea, India",2024,September,DeepTech / Hardware,Bangalore,Karnataka,India
trunativ,Nutrition,Mumbai,25.0,Unspecified Round,Rainmatter Capital,2024,September,FoodTech,Mumbai,Maharashtra,India
theater,Fashion,Chandigarh,12.45,Pre-Series A,"Prath Ventures, Existing Angel Investors",2024,September,Consumer Goods / D2C,Chandigarh,Chandigarh,India
spolto,Sportstech,Pune,8.3,Seed,"Andrew Johnston, Others",2024,September,Enterprise / SaaS,Pune,Maharashtra,India
valyx,B2B Financial Management,Bangalore,6.64,Pre-Seed,"Huddle Ventures, Waveform Ventures, Bharat Founders Fund, Propell Fund",2024,September,FinTech,Bangalore,Karnataka,India
boson whitewater,Water Recycling,Bangalore,10.0,Equity,Rainmatter,2024,September,Others,Bangalore,Karnataka,India
mytek innovations,Manufacturing,Mumbai,6.0,Debt,Unknown,2024,September,Others,Mumbai,Maharashtra,India
liaplus ai,Customer Support,Delhi,2.0,Seed,"Inflection Point Ventures, Chandigarh Angel Network, Growth91",2024,September,Others,Delhi,Delhi,India
recircle,Cleantech,Mumbai,2.0,Bridge,"Venture Catalysts, Mumbai Angels, Hnis",2024,September,Enterprise / SaaS,Mumbai,Maharashtra,India
sunsure energy,Renewable Energy,Haryana,226.0,Debt,Tata Capital,2024,September,Climate / CleanTech / Energy,,Haryana,India
plan b,D2C Kids Innerwear,Mumbai,226.0,Unspecified Round,Jito Incubation And Innovation Foundation,2024,September,Ecommerce / Retail,Mumbai,Maharashtra,India
zepto,Quick Commerce,Mumbai,2822.0,Other,"General Catalyst, Dragon Fund, Epiq Capital",2024,August,Ecommerce / Retail,Mumbai,Maharashtra,India
servify,Postsales,Mumbai,84.0,Series D,"Bajaj Holdings, Trifecta, Innoven Capital",2024,August,Others,Mumbai,Maharashtra,India
pilgrim,Beauty And Personal Care,Mumbai,75.0,Series B,"Fireside, Vertex Ventures",2024,August,Consumer Goods / D2C,Mumbai,Maharashtra,India
aroa venture partners,Investment Fund,Gurgaon,40.0,Other,"Sidbi, Up Government'S Fund",2024,August,FinTech,Gurgaon,Haryana,India
legends league cricket,Sports,Delhi,39.0,Equity,Brickwork,2024,August,Media / Entertainment / Gaming,Delhi,Delhi,India
houseeazy,Real Estate,Noida,33.5,Series A,"Chiratae Ventures, Veeunknown Jindal, Antler, Ia",2024,August,Real Estate / PropTech,Noida,Uttar Pradesh,India
loankuber,Fintech,Delhi,29.05,Other,"Trtl Vc, Inflection Point Ventures, And Others",2024,August,FinTech,Delhi,Delhi,India
ben gaws,Manufacturing,Delhi,24.9,Pre-Series A,"Physis Capital, Icmg, Inflection Point Ventures",2024,August,Others,Delhi,Delhi,India
miko,Robotics,Mumbai,20.5,Unspecified Round,Angel Investors,2024,August,DeepTech / Hardware,Mumbai,Maharashtra,India
cambrian bioworks,Biotechnology,Bangalore,12.04,Seed,"Irani Family Office, Vaibhav Hegde",2024,August,Enterprise / SaaS,Bangalore,Karnataka,India
profintech,Fintech,Hyderabad,11.62,Seed,"Family Offices, Hnis",2024,August,FinTech,Hyderabad,Telangana,India
sunfox,Healthcare,Dehradun,15.0,Pre-Series A,"Venture Catalysts, Others",2024,August,HealthTech,Dehradun,Uttarakhand,India
laiqa wellness,Femtech,Gurgaon,15.0,Seed,Ivycap Ventures,2024,August,HealthTech,Gurgaon,Haryana,India
the hive hostels,Hospitality,Mumbai,11.5,IPO,"Angel Investor, Sixth Sense Ventures, Others",2024,August,HealthTech,Mumbai,Maharashtra,India
serigen mediproducts,Biomedical Products,Pune,10.0,Unspecified Round,"Ian Alpha Fund, Colossa Ventures, Angels",2024,August,HealthTech,Pune,Maharashtra,India
acadru,Edtech,Gurgaon,4.15,Pre-Series A,"Aig Direct Llc, Others",2024,August,Enterprise / SaaS,Gurgaon,Haryana,India
oda class,Edtech,Bangalore,4.15,Series B,"Skywalker, Daituzi, Matrix Partners Chiunknown",2024,August,Enterprise / SaaS,Bangalore,Karnataka,India
medront,Technology,Mumbai,1.06,Pre-Seed,Inflection Point Ventures,2024,August,Enterprise / SaaS,Mumbai,Maharashtra,India
yubi,Fintech,Chennai,249.0,Equity,Gaurav Kumar,2024,August,FinTech,Chennai,Tamil Nadu,India
convin,AI,Bangalore,53.95,Unspecified Round,India Quotient,2024,August,Artificial Intelligence,Bangalore,Karnataka,India
