Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
ourbetterplanet,Ecommerce,Bangalore,2.49,Seed,Vans Group,2021,July
murfai,SaaS,Bangalore,12.45,Seed,Elevation Capital,2021,July
jetsynthesys,Media,Pune,16.6,Unknown,Sachin Tendulkar,2021,July
myfitness,Fitness,Silvassa,8.3,Seed,9Unicorns,2021,July
i am love,Healthcare,Mumbai,33.2,Seed,Xentel Investments,2021,July
myglamm,D2C,Mumbai,332.0,Unknown,Accel,2021,July
gumlet,It,Bangalore,13.28,Unknown,Sequoia’S Surge,2021,July
eloelo,Gaming,Bangalore,16.6,Pre-Series A,"Waterbridge, Lumikai",2021,July
edukemy,Edtech,Noida,16.6,Pre-Series A,"Auxano, Falcon5",2021,July
zingbus,Mobility,Gurgaon,41.5,Pre-Series A,Infoedge Ventures,2021,July
newsreach,Media,Ahmedabad,2.49,Seed,Jito Angel Network,2021,July
pencilton,Fintech,Hyderabad,2.74,Pre-Seed,Jupiter,2021,July
bandhoo,It,Gurgaon,8.3,Unknown,Unitus Ventures,2021,July
ixigo,It,Gurgaon,439.9,Unknown,"Gic, Infoedge",2021,July
the whole truth,Food,Mumbai,49.8,Series A,Sequoia Capital,2021,July
insane ai,Fitness,Bangalore,6.64,Seed,Pi Ventures,2021,July
droom,Automobile,Gurgaon,1660.0,Unknown,Unknown,2021,July
skymet,Environmental,Noida,8.3,Unknown,"Northern Arc, Caspian Impact Investments",2021,July
go swift,Consumer,Bangalore,16.6,Pre-Series A,Kalaari Capital,2021,July
mamaearth,Healthcare,Gurgaon,415.0,Unknown,Sofiunknown Ventures Sa,2021,July
goat,D2C,Bangalore,298.8,Series A,"Tiger Global, Flipkart Ventures",2021,July
redesyn,Merchandise,Mumbai,2.49,Pre-Series A,Anthill Ventures,2021,July
inspacco,Facilities,Pune,1.66,Unknown,Unknown,2021,July
knorish,Edtech,Gurgaon,8.3,Pre-Series A,"Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures Syndicate",2021,July
dozee,Healthcare,Bangalore,41.5,Series A,Prime Vp,2021,July
black buck,Logistics,Bangalore,556.1,Series E,"Tribe Capital, Ifc Emerging Asia Fund, Vef",2021,July
mailmodo,Marketing & Advertising,Bangalore,16.6,Seed,"Sequoia’S Surge, Y Combiunknowntor",2021,July
nirogstreet,Healthcare,Delhi,20.75,Series A,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2021,July
even,Healthcare,Bangalore,41.5,Seed,Khosla Ventures,2021,July
captain fresh,Logistics,Bangalore,99.6,Series A,"Accel, Matrix India",2021,July
otipy,Food,Gurgaon,84.66,Series A,"Omidyar Network India, Innoven Capital",2021,July
lenskart,Eyewear,Faridabad,1826.0,Unknown,"Temasek, Falcon Edge",2021,July
ekacare,Healthcare,Bangalore,37.35,Unknown,"Deep Kalra, Ashish Kashyap, Rajesh Magow",2021,July
braingroom,Edtech,Chennai,1.66,Unknown,"Ian, Social Alpha, Startup Oasis",2021,July
edvizo,Consumer,Bangalore,8.3,Pre-Series A,Inflection Point Ventures,2021,July
credenc,Fintech,Delhi,207.5,Unknown,Capital India,2021,July
globalbees,D2C Business,Delhi,1245.0,Series A,"Firstcry, Lightspeed",2021,July
spinny,Automotive,Gurgaon,896.4,Series D,Tiger Global,2021,July
mynvax,Biotechnology,Bangalore,33.2,Series A,"Accel, Letsventure, 1Crowd",2021,July
risebird,Human Resources,Pune,4.15,Unknown,Sab Holdings,2021,July
uvi health,Healthcare,Bangalore,2.74,Pre-Seed,Titan Capital,2021,July
vegrow,Farming,Bangalore,107.9,Unknown,"Lightspeed, Elevation Capital",2021,July
automovill,Automotive,Bangalore,4.15,Unknown,Mumbai Angels Network,2021,July
healthifyme,Healthcare,Bangalore,622.5,Series C,"Leapfrog, Khosla Ventures",2021,July
galaxycard,Fintech,Gurgaon,3.73,Unknown,Jito Angel Network,2021,July
bella vita organic,Healthcare,Gurgaon,83.0,Unknown,Aunknownnta Capital,2021,July
smartcoin,Fintech,Bangalore,83.0,Unknown,"Northern Arc, Vivriti Capital",2021,July
mysun,Solar,Delhi,16.6,Unknown,Tata Cleantech Capital,2021,July
sea6 energy,Biotechnology,Bangalore,74.7,Series B,Aquaunknownspark,2021,July
beco,Consumer Goods,Mumbai,4.15,Seed,Climate Angels Fund,2021,July
onecode,Internet,Bangalore,41.5,Unknown,"Sequoia’S Surge, Nexus Venture Partners",2021,July
medpay,Information Technology,Bangalore,9.96,Seed,"Entrepreneur First (Ef), Growx Ventures",2021,July
inshorts,Internet,Noida,498.0,Unknown,Vy Capital,2021,July
digantara,Spacetech,Bangalore,20.75,Seed,Kalaari Capital,2021,July
aqgromalin,Agritech,Chennai,5.81,Seed,Zephyr Peacock,2021,July
square yards,Real Estate,Gurgaon,207.5,Unknown,Adm Capital,2021,July
oyo,Hospitality,Gurgaon,5478.0,Unknown,"SoftBank, Hindustan Media Venture",2021,July
ola,Automotive,Bangalore,830.0,Debt,Bank Of Baroda,2021,July
bikry app,Consumer Software,Noida,10.79,Unknown,Ycombiunknowntor,2021,July
oliveboard,Edtech,Bangalore,24.9,Unknown,Ian Fund,2021,July
trell,Social Commerce,Bangalore,373.5,Series B,"Mirae Asset, H, M",2021,July
kredent,Edtech,Kolkata,8.3,Unknown,Kotak Securities,2021,July
easyaspataal,Healthcare,Mumbai,4.15,Seed,Venture Catalysts,2021,July
pankhuri,Social Community,Bangalore,26.56,Unknown,Sequoia’S Surge,2021,July
arcana,Information Technology,Bangalore,3.07,Seed,Balaji Srinivasan,2021,July
aquaconnect,Fishery,Chennai,33.2,Pre-Series A,"Rebright Partners, Flourish Ventures",2021,July
vah vah,Edtech,Bangalore,14.94,Unknown,Sequoia Surge,2021,July
letsdressup,Apparel & Fashion,Gurgaon,2.49,Pre-Series A,"Titan Capital, Sequoia Capital",2021,July
sapio analytics,Computer Software,Mumbai,1.25,Unknown,Parthiv Group,2021,July
pratilipi,Online Storytelling,Bangalore,398.4,Unknown,"Krafton Inc, Omidyar",2021,July
ati motors,Automotive,Bangalore,290.5,Pre-Series A,"Blume Ventures, Exfinity Venture Partners",2021,July
pear,Deeptech,Mumbai,2.49,Pre-Series A,Inflection Point Ventures,2021,July
gourmet garden,Farming,Bangalore,24.9,Unknown,"Beyond Next Ventures, M Venture Partners",2021,July
the sleep,Consumer Goods,Mumbai,8.3,Pre-Series A,Fireside Ventures,2021,July
ion energy,Automotive,Mumbai,29.88,Pre-Series A,Unknown,2021,July
digit insurance,Fintech,Bangalore,1660.0,Unknown,"Faering Capital, Sequoia Capital, Iifl Alterunknownte Asset Maunknowngers",2021,July
fraazo,Food,Mumbai,91.3,Series A,"Sixth Sense Ventures, Nabventures",2021,July
licious,Food,Bangalore,1593.6,Series F,"Temasek, Multiples Pe",2021,July
winzo,Gaming,Delhi,539.5,Series C,Griffin Gaming Partners,2021,July
furlenco,Consumer Goods,Bangalore,830.0,Unknown,Zinnia Global,2021,July
skylark drones,Aviation,Bangalore,24.9,Pre-Series A,"Infoedge Ventures, Ian Fund",2021,July
twid,Fintech,Bangalore,20.75,Unknown,"Beenext, Sequoia’S Surge",2021,July
mymobiforce,Internet,Noida,11.62,Pre-Series A,Bharat Inclusion,2021,July
pine labs,Information Technology,Noida,4.98,Unknown,"Fidelity, Blackrock",2021,July
genworks health,Healthcare,Bangalore,16.6,Unknown,Blacksoil,2021,July
neverinstall,Information Technology,Bangalore,3.07,Seed,Speciale Invest,2021,July
beato,Healthcare,Delhi,41.5,Other,W Health Ventures,2021,July
earth rhythm,Cosmetics,Gurgaon,9.96,Seed,Anicut Angel Fund,2021,July
fountain9,Computer Software,Mumbai,15.77,Seed,"021 Capital, Y Combiunknowntor",2021,July
rockclimber,Food,Bangalore,8.3,Unknown,Aunknownnd Prakash Sharma,2021,July
spedhome,Edtech,Mumbai,2.49,Unknown,Unknown,2021,July
green soul,Consumer Goods,Ambernath,1.66,Unknown,Velocity.In,2021,July
shiprocket,Logistics,Delhi,340.3,Series D,"March Capital, Tribe Capital",2021,July
dealshare,Retail,Bangalore,1195.2,Unknown,Tiger Global,2021,July
teachmint,Edtech,Bangalore,166.0,Other,Learn Capital,2021,July
vahak,Transportation,Bangalore,41.5,Pre-Series A,Rtp Global,2021,July
gostops,Hospitality,Delhi,8.3,Pre-Series A,"Ian, Yuj Ventures",2021,July
powerplay,Construction,Bangalore,43.16,Unknown,"Sequoia’S Surge, Accel",2021,July
delhivery,Logistics,Gurgaon,2241.0,Series H,"Fidelity, Gic",2021,June
avishkaar,Edtech,Delhi,4.98,Pre-Series A,Auxano,2021,June
jobsgaar,Job Discovery,Delhi,1.16,Seed,Sucseed Indovation Fund,2021,June
breathe wellbeing,Healthcare,Delhi,8.3,Pre-Series A,"Stanford Angels And Entrepreneurs India, Anjali Bansal",2021,June
good health clinic,Healthcare,Hyderabad,41.5,Unknown,Khosla Ventures,2021,June
urban,Home,Delhi,2075.0,Series F,"Vy Capital, Wellington Maunknowngement",2021,June
mybyk,Rental,Ahmedabad,8.3,Pre-Series A,Avon Cycles,2021,June
locus,Logistics,Bangalore,415.0,Series C,"Blume Ventures, Exfinity Venture Partners",2021,June
crejofun,Edtech,Bangalore,24.9,Seed,"Matrix Partners, 021 Capital",2021,June
bambinos,Edtech,Bangalore,4.15,Seed,"Hnis, Angels",2021,June
kreditbee,Fintech,Bangalore,66.4,Unknown,"Newquest Capital Partners, Motilal Oswal Private Equity",2021,June
spardha,Edtech,Pune,3.32,Pre-Series A,Inflection Point Ventures,2021,June
holisol,Logistics,Delhi,24.9,Unknown,"Blacksoil, Clsa Capital Partners",2021,June
nowme,Healthcare,Delhi,8.3,Unknown,"Saama, Whiteboard Capital",2021,June
fyllo,Agritech,Bangalore,3.32,Seed,"Indian Angel Network, Titan Capital, Lead Angels",2021,June
blaer motors,Mobility,Chennai,2.49,Unknown,The Chenunknowni Angels,2021,June
swiflearn,Edtech,Gurgaon,24.9,Pre-Series A,"Venture Highway, Stellaris Venture Partners",2021,June
quicksell,Ecommerce,Mumbai,16.6,Pre-Series A,"Sanjay Baldwa, Ajay Jain",2021,June
truemeds,Heathcare,Mumbai,41.5,Series A,Infoedge,2021,June
candes,Ecommerce,Delhi,24.9,Unknown,"Nitin Passi, Ruchirans Jaipuria",2021,June
medibuddy,Heathcare,Bangalore,24.9,Unknown,"Stride Ventures, Innoven Capital",2021,June
f5,Food,Delhi,2.49,Pre-Series A,"Venture Catalysts, Jeevak Gupta",2021,June
capital float,Fintech,Bangalore,49.8,Unknown,"Triodos Investment Maunknowngement, Saif Partners",2021,June
intellewings,It,Panchkula,0.83,Seed,Unknown,2021,June
shyplite,Logistics,Delhi,8.3,Unknown,N+1 Capital,2021,June
refyne,Fintech,Bangalore,166.0,Series A,"Dst Global, Rtp Global",2021,June
greenjoules,Renewable Energy,Pune,37.35,Series A,Blue Ashva Capital,2021,June
mentorkart,Consulting,Delhi,1.25,Seed,"Amit Singal, Manish Aggarwal",2021,June
leverage edu,Edtech,Delhi,16.6,Debt,"Trifecta Capital Advisors, Blume Ventures",2021,June
kale logistics,Logistics,Thane,41.5,Series A,Inflexor Ventures,2021,June
customerglu,Crm,Bangalore,2.66,Unknown,"Kumar Aakash, Amit Singhal",2021,June
cell propulsion,Ev,Bangalore,16.6,Unknown,Growx Ventures,2021,June
pee safe,Healthcare,Gurgaon,24.9,Other,"Shaival Desai, Alkemi Venture Partners",2021,June
chqbook,Fintech,Delhi,8.3,Unknown,"Aavishkaar Venture Capital, Ywc Venture Capital",2021,June
simplicontract,Software,Bangalore,14.94,Seed,Kalaari Capital,2021,June
dropshop,Logistics,Bangalore,8.3,Pre-Series A,Inflection Point Ventures,2021,June
jumbotail,Ecommerce,Bangalore,33.2,Debt,Alteria Capital,2021,June
byjus,Edtech,Bangalore,2905.0,Unknown,"Tiga Investments, Baron Capital",2021,June
power gummies,Nutrition,Delhi,8.3,Unknown,"Venture Catalysts, 9Unicorns",2021,June
convosight,SaaS,Delhi,74.7,Series A,Qualgro,2021,June
junio,Fintech,Delhi,4.98,Seed,"Amit Lakhotia, Pravin Jadhav",2021,June
flexmoney,Fintech,Mumbai,39.84,Series A,Pravega Ventures,2021,June
fampay,Fintech,Bangalore,315.4,Series A,"Greenoaks Capital, Elevation Capital",2021,June
apna,Human Resources,Bangalore,581.0,Series B,"Sequoia Capital, Rocketship.Vc",2021,June
xyxx apparels,Fashion,Surat,33.2,Series A,Unknown,2021,June
browserstack,SaaS,Mumbai,1660.0,Series B,Accel,2021,June
vital,Fintech,Delhi,24.9,Pre-Series A,Blinc Invest,2021,June
samaaro,SaaS,Bangalore,1.04,Unknown,"Chaitanya Kalipatunknownpu, Kedar Gavane",2021,June
imagimake,Innovation Management,Mumbai,4.15,Pre-Series A,"Roha Investment Maunknowngers, Angel Investor Saumil Shah",2021,June
msmex,Edtech,Andheri,8.3,Pre-Series A,"Tnf Ventures, Razorpay",2021,June
renewbuy,Fintech,Gurgaon,373.5,Series C,"Lok Capital, Iifl Asset Maunknowngement",2021,June
kutumb,Community,Bangalore,215.8,Series A,"Tiger Global Maunknowngement, Dst Global",2021,June
superplum,Agritech,Noida,31.54,Pre-Series A,Marquee Investors,2021,June
upside ai,Fintech,Mumbai,9.96,Seed,Endiya Partners,2021,June
skillmatics,Edtech,Mumbai,49.8,Series A,Sequoia Capital,2021,June
bimaplan,Fintech,Bangalore,20.75,Pre-Series A,"Roshan Abbas, Ritesh Malik",2021,June
bueno finance,Fintech,Gurgaon,24.9,Seed,"Goat Capital, Jam Fund",2021,June
citymall,Ecommerce,Gurgaon,182.6,Series B,"General Catalyst, Jungle Ventures",2021,June
byjus,Edtech,Bangalore,415.0,Unknown,"Blackstone Group, Adq",2021,June
quotient,Venture Capitalist,Mumbai,531.2,Unknown,Unknown,2021,June
anvidha,Technology,Haryana,12.45,Seed,Unknown,2021,June
coffeemugai,Networking,Delhi,5.15,Pre-Seed,"Paradigm Shift Capital, Angellist India",2021,June
bigleap,Recruitment,Hyderabad,4.98,Unknown,Anup Kumar Yama,2021,June
kazam,Ev,Bangalore,7.47,Seed,Inflection Point Ventures,2021,June
bimape,Fintech,Mumbai,4.15,Pre-Seed,"Iseed, Titan Capital",2021,June
synapsica,Healthcare,Delhi,33.2,Series A,"Ivycap Ventures, Endiya Partners",2021,June
plutomen,Ar,Ahmedabad,2.49,Unknown,"Gusec Seed Fund, Devx Venture Fund",2021,June
gomechanic,Automotive,Gurgaon,348.6,Series C,"Tiger Global, Sequoia Capital",2021,June
grinntech,Automotive,Chennai,16.6,Unknown,Unknown,2021,June
nobel hygiene,Healthcare,Mumbai,498.0,Unknown,Quadria Capital,2021,June
classplus,Edtech,Noida,539.5,Series C,Tiger Global,2021,June
windo,Ecommerce,Hyderabad,4.15,Seed,Unicorn India Ventures,2021,June
gobolt,Logistics,Gurgaon,166.0,Series B,"Paragon Partners, Aavishkaar Capital",2021,June
loco,Gaming,Bangalore,74.7,Seed,"Krafton, Lumikai",2021,June
auric,Healthcare,Delhi,16.6,Pre-Series A,Venture Catalysts,2021,June
edmingle,Edtech,Bangalore,2.49,Unknown,"Indovation Fund, Mumbai Angels",2021,June
slice,Fintech,Bangalore,166.0,Unknown,"Gunosy, Blume Ventures",2021,June
airblack,It,Gurgaon,43.16,Series A,"Edge Ventures, Elevation Capital",2021,June
nestroots,Fashion,Gurgaon,0.83,Seed,We Founder Circle,2021,June
detect,Automation,Chennai,99.6,Unknown,"Accel, Elevation Capital",2021,June
credr,Automotive,Bangalore,53.95,Unknown,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",2021,June
fourth partner energy,Solar,Hyderabad,1037.5,Unknown,"Norfund, The Rise Fund",2021,June
tablt,Healthcare,Kolkata,24.9,Other,Siti Cable,2021,June
hesa,It,Hyderabad,16.6,Seed,"Venture Catalysts, 9Unicorns",2021,June
nalanda learning,Edtech,Kolkata,41.5,Unknown,Aavishkaar Capital,2021,June
knackit,It,Bangalore,0.83,Unknown,Jyoti Bansal,2021,June
treebo hotels,Hospitality,Bangalore,132.8,Series D,Accor,2021,June
raptee energy,Automotive,Chennai,5.81,Unknown,Unknown,2021,June
meddo,Healthcare,Gurgaon,49.8,Unknown,"Sri Capital, Picus Capital, Alkemi Capital",2021,June
supertails,Pet Care,Bangalore,21.58,Pre-Series A,"Saama Capital, Dsg Consumer Partners",2021,June
lenskart,Fashion,Faridabad,788.5,Unknown,"Kohlberg Kravis Roberts, Temasek Holdings",2021,May
virohan,Edtech,Gurgaon,24.9,Series A,"Rebright Partners, Wadhwani Foundation",2021,May
banksathi,Fintech,Delhi,1.66,Seed,"Dinesh Godara, Aditya Talwar",2021,May
blissclub,Fashion,Bangalore,16.6,Seed,Elevation Capital,2021,May
bricspaces,Real Estate,Bangalore,2.9,Pre-Seed,Angel Investors,2021,May
ansr,Consulting,Bangalore,124.5,Series B,"Sistema Asia Capital, Evolvence India Fund",2021,May
reccy adventures,Sports,Gurgaon,3.32,Seed,"Kallol Banerjee, Jaydeep Barman",2021,May
magenta ev,Renewable Energy,Mumbai,124.5,Series A,"Jito Angel Network, Letsventure",2021,May
karbon card,Fintech,Bangalore,8.3,Pre-Series A,"Myasia Vc, Orios Venture Partners",2021,May
wysa,AI,Bangalore,41.5,Series A,"W Health Ventures, Pi Ventures",2021,May
agnikul,Spacetech,Chennai,91.3,Series A,"Artha India Ventures, Sriram Krishunknownn",2021,May
glamplus,SaaS,Bangalore,1.66,Pre-Series A,Inflection Point Ventures,2021,May
tekie,Edtech,Gurgaon,12.45,Seed,"Gsv, Multiply Ventures",2021,May
asirvad microfinance,Fintech,Chennai,124.5,Unknown,"Worldbusiness Capital, Northern Arc",2021,May
betterhalfai,Matrimony,Bangalore,24.9,Pre-Series A,"Y Combiunknowntor, Rehan A Khan",2021,May
koo,Social Media,Bangalore,249.0,Series B,"Balaji Srinivasan, Naval Ravikant",2021,May
mentoria,Edtech,Mumbai,1.66,Pre-Series A,"Pradeep K Jaisingh, Jayant Mehrotra",2021,May
cuvette tech,Human Resources,Bangalore,14.94,Seed,"Varun Alagh, Harish Daiya",2021,May
clensta,Biotechnology,Delhi,4.98,Unknown,"Ian Fund, World Startup Factory",2021,May
farmart,Agritech,Gurgaon,199.2,Pre-Series A,"Omidyar Network India, Avaaunknown Capital",2021,May
kodo card,Fintech,Mumbai,66.4,Seed,"Brex, Yunknowncombiunknowntor",2021,May
get my parking,Mobility,Delhi,49.8,Unknown,"Ivycap Ventures, Ian Fund",2021,May
cellestial,Electronics,Hyderabad,4.15,Pre-Series A,"Gurj Aujla, Ashik K",2021,May
fancode,Sports,Mumbai,415.0,Unknown,Dream Sports,2021,May
jai kisan,Fintech,Mumbai,249.0,Series A,"The Chatterjee Group, Prophetic Ventures",2021,May
plum,Healthcare,Bangalore,124.5,Series A,"Harsh Jain, Lalit Keshre",2021,May
thatmate,Healthcare,Satara,1.16,Unknown,"Supriya Kumari, Premanshu Singh",2021,May
klassroom,Edtech,Mumbai,1.66,Pre-Series A,Ah! Ventures,2021,May
convin,SaaS,Bangalore,2.49,Pre-Seed,"9Unicorns Accelerator Fund, Sunder Nookala",2021,May
mensa brands,Clothing,Bangalore,415.0,Series A,"Accel, Falcon Edge Capital, Norwest Venture Partners",2021,May
disruptium,Consulting,Ahmedabad,1.66,Unknown,Pravesh Mehta,2021,May
medtel healthcare,Healthcare,Orissia,41.5,Pre-Series A,Unknown,2021,May
pickright,Fintech,Bangalore,1.66,Unknown,"Gaurav Gupta, Vivek Srivatsav",2021,May
bharat pe,Fintech,Delhi,49.8,Debt,"Amplo, Insight Partners",2021,May
rulezero,Technology,Bangalore,8.3,Seed,"Induslaw, Reddy Futures",2021,May
rubix data sciences,It,Mumbai,6.64,Seed,Unknown,2021,May
locobuzz,Analytics,Mumbai,33.2,Series A,Yuj Ventures,2021,May
we founder circle,Fintech,Mumbai,16.6,Pre-Seed,Geekster,2021,May
haqdarshak,Fintech,Jaipur,6.64,Pre-Series A,"Manish Subramaniam, Upaya Social Ventures",2021,May
enthuai,AI,Chandigarh,1.66,Unknown,Appit Simple Infotek,2021,May
myelin foundry,AI,Bangalore,8.3,Pre-Series A,Beyond Next Ventures,2021,May
superopsai,AI,Chennai,24.9,Seed,"Ramakant Sharma, Elevation Capital",2021,May
6degree,Retail,Mumbai,8.3,Unknown,"Keiretsu Forum, Sucseed Venture Partners",2021,May
teachmint,Edtech,Bangalore,136.95,Series A,"Lightspeed, Cm Ventures",2021,May
sarathi,Healthcare,Jodhpur,0.83,Seed,Unknown,2021,May
jidoka,Software,Chennai,2.82,Seed,Unknown,2021,May
rapido,Transportation,Bangalore,356.9,Series C,"Skycatcher, Nexus Venture Partners",2021,May
byjus,Edtech,Bangalore,1245.0,Unknown,"Tiga Investments, Baron Capital",2021,May
elasticrun,Ecommerce,Pune,622.5,Series D,"Avataar Venture Partners, Kalaari Capital",2021,May
avail finance,Fintech,Bangalore,24.9,Debt,"Alteria Capital, Matrix Partners",2021,May
nivesh,Fintech,Noida,13.28,Pre-Series A,"Raghav Kapur, Indian Angel Network",2021,May
thingsup,Iot,Pune,8.3,Unknown,Gsf Accelerator,2021,May
arthya wealth and investments,Fintech,Mumbai,8.3,Pre-Series A,"Rishi Kumar Bagla, Krishen Lal Khanunknown",2021,May
unbox robotics,AI,Bangalore,9.96,Pre-Series A,"Beenext, Entrepreneur First",2021,April
upgrad,Edtech,Mumbai,996.0,Unknown,"Unilazer Ventures, Iifl Asset Maunknowngement",2021,April
lead school,Edtech,Mumbai,249.0,Series D,"Gsv Ventures, Westbridge Capital",2021,April
bizongo,B2B Ecommerce,Mumbai,423.3,Series C,"Cdc Group, Idg Capital",2021,April
fypmoney,Fintech,Gurgaon,16.6,Seed,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2021,April
urban,Home,Delhi,1560.4,Unknown,Vy Capital,2021,April
comofi medtech,Healthcare,Bangalore,1.66,Unknown,"Ciie.Co, Kiitunknowntbi",2021,April
taikee,Ecommerce,Mumbai,8.3,Unknown,Unknown,2021,April
fitterfly,Healthcare,Mumbai,24.9,Pre-Series A,"9Unicorns Accelerator Fund, Metaform Ventures",2021,April
freestand,B2B,Delhi,0.83,Unknown,"Sucseed Indovation, Iim Calcutta Innovation Park",2021,April
mydentalplan,Helathcare,Bangalore,5.81,Seed,Safe Planet Medicare,2021,April
freyr energy,Renewable Energy,Hyderabad,16.6,Unknown,"Impact Partners, C4D Partners",2021,April
dealshare,Ecommerce,Jaipur,74.7,Unknown,"Tiger Global Maunknowngement, Innoven Capital",2021,April
tessolve,Electronics,Bangalore,332.0,Unknown,Novo Tellus Capital,2021,April
smart joules,Renewable Energy,Delhi,406.7,Unknown,"Raintree Family Office, Adb Arm",2021,April
orai,It,Bangalore,3.32,Pre-Series A,Inflection Point Ventures,2021,April
ixambee,Edtech,Delhi,2.49,Seed,"Mumbai Angels, Narendra Shyamsukha",2021,April
coinswitch kuber,Fintech,Bangalore,207.5,Series B,"Paradigm, Kuunknownl Shah",2021,April
razorpay,Fintech,Bangalore,1328.0,Series E,"Matrix Partners, Gic",2021,April
zfw hospitality,Food,Delhi,1.25,Pre-Seed,"Mumbai Angels Network, Expert Dojo",2021,April
optimized electrotech,Aeorspace,Ahmedabad,14.94,Pre-Series A,Gvfl,2021,April
northern arc,Fintech,Chennai,41.5,Unknown,"Kotak Mahindra Bank, Fmo",2021,April
chara,Deep,Bangalore,7.05,Seed,Kalaari Capital,2021,April
sirona hygiene,Healthcare,Delhi,24.9,Series A,"Nb Ventures, Ian Fund",2021,April
pristyn care,Healthcare,Gurgaon,439.9,Series D,"Sequoia Capital, Hummingbird Ventures",2021,April
trulymadly,Dating,Delhi,16.6,Pre-Series A,"Gaurav Munjal, Snehil Khanor",2021,April
vidyakul,Edtech,Unknown,4.15,Seed,"Jito Angel Network, Sosv",2021,April
jambox games,Gaming,Bangalore,9.13,Seed,Unknown,2021,April
miko,Robotics,Mumbai,49.8,Unknown,"Chiratae Ventures, Yournest Venture Capital",2021,April
superk,Retail,Small Towns,6.64,Seed,Strive Vc,2021,April
tagz foods,Food,Bangalore,4.15,Pre-Series A,Venture Catalysts,2021,April
fuel buddy,Oil And Energy,Delhi,8.3,Unknown,Jaipuria Family Office,2021,April
m1xchange,Fintech,Gurgaon,83.0,Unknown,Amazon,2021,April
spintly,Technology,Goa,4.15,Unknown,Riso Capital,2021,April
ef polymer,Agritech,Rajsamand,1.66,Unknown,Mtg Ventures,2021,April
boat,Electronics,Delhi,49.8,Unknown,"Qualcomm Ventures, Warburg Pincus",2021,April
ibus,Telecommuncation,Bangalore,174.3,Unknown,Morgan Stanley,2021,April
puresh daily,Milk,Ranchi,0.83,Seed,"Alfa Ventures, Agility Venture Partners",2021,April
learnvern,Edtech,Ahmedabad,8.3,Unknown,Unknown,2021,April
limechat,Ai Chatbot,Faridabad,62.25,Seed,"Stellaris Venture Partners, Ramakant Sharma",2021,April
dybo,It,Bangalore,0.83,Seed,Spaunknownche,2021,April
moeving,Logistics,Gurgaon,8.3,Seed,Unknown,2021,April
wework,Hospitality,Bangalore,215.8,Unknown,Unknown,2021,April
solethreads,Fashion,Gurgaon,8.3,Series A,"Dsg Consumer Partners, Saama Capital",2021,April
beldara,Ecommerce,Mumbai,61.42,Unknown,Hindustan Media Ventures,2021,April
credflow,Fintech,Delhi,16.6,Seed,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2021,April
do your thng,Marketing,Gurgaon,12.45,Unknown,"Angelbay Holdings, Faad Network",2021,April
oye rickshaw,Transportation,Gurgaon,24.9,Unknown,"Alteria Capital, Chiratae Ventures",2021,April
legitquest,Legaltech,Delhi,4.98,Unknown,"Waterbridge Ventures, Info Edge",2021,April
swiggy,Food,Bangalore,6640.0,Unknown,"Carmigunknownc, Falcon Edge Capital",2021,April
playshifu,Edtech,Bangalore,141.1,Series B,"Chiratae Ventures, Bharat Innovation Fund",2021,April
pitstop,Automotive,Bangalore,29.05,Other,"Acko Technology, Services, Letsventure",2021,April
lendingkart,Fintech,Gujarat,124.5,Debt,"Bertelsmann India Investments, Fullerton Fiunknownncial Holdings",2021,April
cred,Fintech,Bangalore,1784.5,Series D,"Dragoneer Investment Group, Tiger Global Maunknowngement",2021,April
karnival,SaaS,Bangalore,20.75,Seed,Http://100X.Vc/,2021,April
pharmeasy,Healthcare,Mumbai,2905.0,Series E,"Tpg Growth, Caisse De Depot Et Placement Du Quebec",2021,April
wess,Renewable Energy,Mumbai,16.6,Seed,Centrum Fiunknownncial Services,2021,April
shopse,Fintech,Mumbai,45.65,Unknown,"Chiratae Ventures, Beenext",2021,April
fantasy akhada,Fantasy Sports,Gurgaon,4.98,Unknown,Harsha Bhogle,2021,April
groww,Fintech,Bangalore,688.9,Series D,"Tiger Global Maunknowngement, Y Combiunknowntor Continuity Fund",2021,April
avanti finance,Fintech,Bangalore,215.8,Series A,"Michael, Susan Dell Foundation",2021,April
ofbusiness,Fintech,Gurgaon,913.0,Unknown,"Falcon Edge India, Norwest Venture Partners",2021,April
superproai,Video Communication,Bangalore,24.9,Seed,"Sosv, Omphalos Ventures India",2021,April
sharechat,Social Media,Bangalore,4150.0,Unknown,"Twitter Ventures, Pawan Munjal",2021,April
witace,Skill Development,Gurgaon,8.3,Seed,Citiustech,2021,April
spinny,Retail,Gurgaon,539.5,Series C,"Areunknown Holdings, Think Investments",2021,April
alteria capital,Fintech,Mumbai,10.33,Debt,Unknown,2021,April
safexpay,Fintech,Thane,49.8,Unknown,"T Choithrams Bvi, Ardor",2021,April
pumpumpum,Rental,Gurgaon,5.81,Pre-Series A,"Kogta Fiunknownncial India Limited, Icici Bank",2021,April
