Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
ar bon vivants,Food,Jaipur,8.3,Other,"Rb Investments, Singapore",2018,November
black buck,Food,New York,8.3,Series A,Tiger Global,2018,November
milkbasket,Food,Delhi,10.79,Series B,Mayfield Fund,2018,November
driveu,Transport,Bangalore,8.3,Other,Stevens Creek Ventures,2018,November
cleansecar,Technology,Bangalore,4.15,Other,Venture Catalysts,2018,November
automation anywhere,Automation,Usa,2490.0,Series B,SoftBank,2018,November
healthifyme,Healthcare,Bangalore,49.8,Other,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital.",2018,November
genius corner,Edtech,Noida,2.31,Seed,Individual Investors,2018,November
aavishkaarintellecap,Investment,Mumbai,257.3,Other,Teachers Insurance And Annuity Association (Tiaa),2018,November
signzy,Fintech,Mumbai,28.22,Series A,"Stellaris Venture Partners And Kalaari Capital, Rajan Aunknownndan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",2018,November
engineerai,Software,India,244.85,Series A,"Lakestar And Jungle Ventures, Softbank\\Xe2\\X80\\X99S Deepcore.",2018,November
incred finance,Fintech,India,348.6,Private Equity,"Paragon Partners, Individual Investors",2018,November
roposo,Social Media,Delhi,14.11,Series B,Bertelsmann India Investments,2018,November
origo commodities,Logistics,Hyderabad,91.3,Other,"Cooperative Oikocredit, Caspian And Hivosunknowntriodos Fund",2018,October
grover zampa,Food,Mumbai,68.06,Private Equity,Ravi Viswaunknownthan,2018,October
droom,Automobile,Gurgaon,24.9,Series E,Zigexn,2018,October
innov8,Real Estate,Delhi,33.2,Pre-Series A,Credence Family Office,2018,October
black buck,Logistics,Bangalore,121.84,Other,Sequoia Capital,2018,October
letstransport,Logistics,Bangalore,99.6,Series C,Fosun Interunknowntiounknownl,2018,October
netmeds,Consumer Internet,Chennai,290.5,Private Equity,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",2018,September
udaan,B2B,Bangalore,1867.5,Private Equity,Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,2018,September
daily hunt,Consumer Internet,Bangalore,53.04,Private Equity,Falcon Edge,2018,September
3hcare,Healthcare,Delhi,8.3,Other,Unknown,2018,September
nykaa,Consumer Internet,Mumbai,1304.76,Private Equity,Lighthouse,2018,September
dream11,Consumer Internet,Mumbai,830.0,Private Equity,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alterunknownte Asset Maunknowngement",2018,September
mamaearth,Healthcare,Gurgaon,33.2,Private Equity,"Stellaris Ventures, Others",2018,September
autogrid,Technology,Bangalore,265.6,Private Equity,"Clp Holdings Group, Innogy, \\Xc3\\X98Rstead, And Teunknownska",2018,September
pharmeasy,Consumer Internet,Mumbai,45.65,Debt,Innoven Capital,2018,September
upwards,Fintech,Mumbai,41.5,Private Equity,"Shunwei Capital, Quotient, Mayfield, Others",2018,September
kissht,Fintech,Mumbai,249.0,Private Equity,"Vertex Ventures Southeast Asia (Sea) And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partners.\\N\\N",2018,September
dishq,Food,Bangalore,3.32,Other,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners",2018,August
samosa labs,Consumer Internet,Hyderabad,58.1,Private Equity,Xiaomi And Sequoia Capital India,2018,August
ziffyhomes,Consumer Internet,Gurgaon,1.0,Private Equity,Y Combiunknowntor,2018,August
