Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Eurazeo,333.0,2,2025-05-10,"Ev Leasing & Management, Cold Aggregator","Series A, Series B","Delhi, Mumbai",0.38,3.0,2025-05-10
Novo Tellus Capital,332.0,1,2021-04-15,Electronics,Unknown,Bangalore,1.0,1.0,2021-04-15
Sageone Flagship Growth Oe Fund,332.0,1,2025-03-14,Omnichannel Luxury Fashion,Series E,Mumbai,0.25,4.0,2025-03-14
Quadria Capital Advisors,332.0,1,2017-04-08,Healthcare,Private Equity,Noida,1.0,1.0,2017-04-08
Ontario Teachers’ Pension Plan,332.0,1,2025-08-15,Enterprise,Unknown,Hyderabad,1.0,1.0,2025-08-15
Idfc Private Equity,332.0,1,2021-02-16,Healthcare,Series B,Bangalore,0.5,2.0,2021-02-16
\\Xc2\\Xa0 Lok Capital,332.0,1,2015-09-14,Small Business Financing Nbfc,Private Equity,Bangalore,0.2,5.0,2015-09-14
Tomales Bay Capital,332.0,2,2024-11-16,"Datasharing & Identity Verification, Gaming","Series A, Unknown","Hyderabad, Gurgaon",0.42,2.5,2024-11-16
Net1 Ueps Technologies Inc,332.0,1,2016-08-18,Consumer Internet,Private Equity,Gurgaon,1.0,1.0,2016-08-18
Nithin Kamath’S Rainmatter,332.0,1,2024-12-12,Solar,Series B,Mumbai,0.17,6.0,2024-12-12
Lightrock,332.0,1,2024-12-12,Solar,Series B,Mumbai,0.17,6.0,2024-12-12
Chris Sacca’S Lowercarbon,332.0,1,2024-12-12,Solar,Series B,Mumbai,0.17,6.0,2024-12-12
Lightspeed And Alphawave,332.0,1,2024-10-06,Chemical Manufacturing,Series A,Houston,1.0,1.0,2024-10-06
Novo Holdings,332.0,1,2022-03-26,Medical Equipment Manufacturing,Unknown,Mumbai,0.5,2.0,2022-03-26
Ravi Modi Office,332.0,1,2025-06-17,D2C Menswear,Other,Nan,0.25,4.0,2025-06-17
Sequoia Capital India And Omidyar Network,332.0,1,2015-02-13,Other,Private Equity,Nan,0.33,3.0,2015-02-13
Umi,332.0,1,2025-03-21,Chemicals,Series B,Bangalore,0.25,4.0,2025-03-21
Omnivore And 3One4 Capital,332.0,1,2025-03-21,Chemicals,Series B,Bangalore,0.25,4.0,2025-03-21
Adar Poounknownwalla,332.0,1,2020-07-28,Digital,Unknown,Pune,0.5,2.0,2020-07-28
Peak Xv Partners And Elevation Capital,332.0,1,2024-09-26,"Visa Processing, Saas",Series B,Mumbai,1.0,1.0,2024-09-26
Ivycap,332.0,1,2025-06-17,D2C Menswear,Other,Nan,0.25,4.0,2025-06-17
Pidilite Industries,332.0,1,2020-02-19,Ecommerce,Series F,Mumbai,1.0,1.0,2020-02-19
Fullerton Carbon Action Fund And Shift4Good,332.0,1,2025-05-14,Transportasaservice,Series C,Bangalore,1.0,1.0,2025-05-14
And Minerva Ventures Fund,332.0,1,2025-03-14,Omnichannel Luxury Fashion,Series E,Mumbai,0.25,4.0,2025-03-14
Ignition Partners,332.0,1,2017-03-13,Technology,Private Equity,Pune,0.27,4.0,2017-03-13
Alchemy Long Term Ventures Fund,332.0,1,2025-03-14,Omnichannel Luxury Fashion,Series E,Mumbai,0.25,4.0,2025-03-14
Bessemer Venture,332.0,1,2015-06-11,Offgrid Solar Power,Private Equity,Mumbai,0.33,3.0,2015-06-11
Capricorn Investment And Ifc,332.0,1,2015-06-11,Offgrid Solar Power,Private Equity,Mumbai,0.33,3.0,2015-06-11
Future Fund,332.0,1,2015-06-11,Offgrid Solar Power,Private Equity,Mumbai,0.33,3.0,2015-06-11
Ia Ventures,332.0,1,2021-12-11,Consumer,Series B,Bangalore,0.5,2.0,2021-12-11
Kenro Capital,332.0,1,2024-12-14,Edtech,Other,Bangalore,1.0,1.0,2024-12-14
Avendus,332.0,1,2021-03-04,Fintech,Unknown,Mumbai,1.0,1.0,2021-03-04
Bajaj Holdings And Investment,332.0,1,2025-03-14,Omnichannel Luxury Fashion,Series E,Mumbai,0.25,4.0,2025-03-14
Adar C. Poounknownwalla,332.0,1,2020-01-24,Technology,Unknown,Mumbai,0.5,2.0,2020-01-24
Gaja Capital,330.34,4,2025-07-13,"Fintech, Lifestyle, Ecommerce","Unknown, Private Equity, Series C","Bangalore, Gurgaon, Mumbai",0.48,4.0,2025-07-13
Beenos,327.85,5,2017-04-06,"Consumer Internet, Online Product Comparison, Used Vehicle","Private Equity, Seed","Bangalore, Delhi",0.3,4.4,2017-04-06
Athera Venture Partners,325.6,4,2025-01-24,"Industrial Robotics, Deeptech Robotics, Ai","Series B, Series A, Seed","Bangalore, Dover",0.22,5.0,2025-01-24
Harsh Gupta And Amit Khanunknown,323.7,1,2022-05-18,Software,Series A,Nan,1.0,1.0,2022-05-18
. Veda Vc And Sujeet Kumar,323.7,1,2022-12-26,Electric Vehicle,Seed,Bangalore,1.0,1.0,2022-12-26
Sixth Sense Ventures And A91 Partners,321.21,1,2022-10-22,Healthcare,Unknown,Noida,1.0,1.0,2022-10-22
Coleman And Co. Ltd (Bccl),321.21,1,2017-02-07,Ecommerce,Private Equity,Bangalore,0.5,2.0,2017-02-07
Inventus Capital Partners,319.55,3,2017-09-02,"Other, Fintech, Ecommerce","Private Equity, Seed","Nan, Chennai, Gurgaon",0.34,3.33,2017-09-02
Manish Sinha And Indian Angel Network,319.55,1,2022-05-28,Edtech,Unknown,Delhi,1.0,1.0,2022-05-28
Arkam Ventures And Vertex Ventures,318.72,1,2022-09-19,Fintech,Series B,Hyderabad,1.0,1.0,2022-09-19
State Street Global Advisors,318.72,1,2018-03-18,Consumer Internet,Private Equity,Mumbai,1.0,1.0,2018-03-18
Pine Labs Pte Ltd,316.06,1,2019-08-04,Information Technology,Other,Noida,1.0,1.0,2019-08-04
Capricorn Investment Group,315.4,2,2015-08-23,"Mobile Based Pos Solution, Other",Private Equity,"Bangalore, Nan",0.27,4.0,2015-08-23
Responsability Investments Ag,315.4,2,2025-01-22,"Climatefocused Deeptech, Solar Solution","Debt, Unknown","Pune, Bangalore",0.62,2.5,2025-01-22
Beenext Capital,315.4,1,2024-10-25,Ai,Unspecified Round,Mumbai,0.33,3.0,2024-10-25
Claypond Capital,315.4,2,2025-06-01,"Wellness & Longevity, Home Financing","Seed, Other","Nan, Mumbai",0.42,2.5,2025-06-01
Iifl,314.6,2,2022-02-16,"Information Technology &, Logistics","Seed, Series B","Pune, Gurgaon",0.42,2.5,2022-02-16
