Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Karunknowntaka Information Technology Venture Capital Fund,42.0,1,2020-01-28,Deeptech,Unknown,Bangalore,0.5,2.0,2020-01-28
Mohandas Pai,41.92,3,2015-12-19,"Other, Online Rti Application, Restaurant Discount","Seed, Private Equity","Nan, Bangalore, Pune",0.42,2.67,2015-12-19
Atrium Angels,41.67,2,2025-01-16,"Finance Automation And Cash Flow Management, Medical Equipment Procurement","Other, Series A","Bangalore, Gurgaon",0.25,4.5,2025-01-16
Microsoft,41.6,2,2021-08-15,"Ecommerce, Hospitality","Private Equity, Series F","Bangalore, Gurgaon",0.67,2.0,2021-08-15
Rajan Aunknownndan,41.57,10,2018-06-24,"Consumer Internet, Mobile Growth Hackingnplatform, Video Streaming","Seed, Private Equity, Other","Delhi, Bangalore, Mumbai",0.24,4.7,2018-06-24
The Global Ventures,41.5,1,2025-03-15,Ayurvedic Skincare,Seed,Mumbai,0.33,3.0,2025-03-15
Mohit Srivastav,41.5,1,2017-06-02,Technology,Private Equity,Hyderabad,0.25,4.0,2017-06-02
Rajeev Menon,41.5,1,2017-06-02,Technology,Private Equity,Hyderabad,0.25,4.0,2017-06-02
Orange Orbit (As Part Of A $15M Series B Funding Round),41.5,1,2024-12-28,Enterprise Saas Fintech,Unspecified Round,Gurgaon,1.0,1.0,2024-12-28
Harshil Mathur,41.5,1,2021-02-08,Edtech,Series A,Bangalore,0.5,2.0,2021-02-08
Accel Partners And Saama Capital,41.5,1,2018-03-01,Technology,Private Equity,Noida,0.5,2.0,2018-03-01
German Development Fiunknownnce Institution Deg,41.5,1,2020-01-24,Fintech,Unknown,Delhi,1.0,1.0,2020-01-24
Bren Corporation,41.5,1,2015-12-10,Online Branded Furniture Etailer,Private Equity,Bangalore,1.0,1.0,2015-12-10
Paradigm Shift,41.5,1,2025-01-02,Property Title Search Engine,Other,Hyderabad,0.2,5.0,2025-01-02
Sequioa,41.5,1,2021-09-13,Computer Software,Seed,Pune,0.5,2.0,2021-09-13
10X Founders Fund,41.5,1,2025-01-02,Property Title Search Engine,Other,Hyderabad,0.2,5.0,2025-01-02
Knoll Ventures And Others,41.5,1,2015-09-05,Big Data Management,Private Equity,Bangalore,0.5,2.0,2015-09-05
Kantilal Patel,41.5,1,2018-07-11,Healthcare,Other,Hyderabad,1.0,1.0,2018-07-11
Recruit Holdings,41.5,1,2016-10-26,Consumer Internet,Private Equity,Bangalore,1.0,1.0,2016-10-26
Sogal Ventures,41.5,1,2025-03-15,Ayurvedic Skincare,Seed,Mumbai,0.33,3.0,2025-03-15
S7 Group,41.5,1,2018-02-06,Technology,Private Equity,Mumbai,1.0,1.0,2018-02-06
Omidyar Network And Shunwei Capital,41.5,1,2018-08-03,Healthcare,Private Equity,Delhi,0.5,2.0,2018-08-03
Ramaunknown Thummu,41.5,1,2025-02-10,Digital Avatars & Holography Ai/Vr,Pre-Series A,Hyderabad,0.25,4.0,2025-02-10
Fiscal,41.5,1,2020-01-27,Fintech,Debt,Mumbai,0.5,2.0,2020-01-27
Marc Jordan,41.5,1,2025-02-10,Digital Avatars & Holography Ai/Vr,Pre-Series A,Hyderabad,0.25,4.0,2025-02-10
Madhusudan Kela,41.5,1,2025-02-10,Digital Avatars & Holography Ai/Vr,Pre-Series A,Hyderabad,0.25,4.0,2025-02-10
Pushpak Credit,41.5,1,2020-01-27,Fintech,Debt,Mumbai,0.5,2.0,2020-01-27
Akash Bhanshali,41.5,1,2025-02-10,Digital Avatars & Holography Ai/Vr,Pre-Series A,Hyderabad,0.25,4.0,2025-02-10
Advantedge Partners,41.5,2,2016-12-26,"Consumer Internet, Ecommerce",Private Equity,Delhi,0.38,3.0,2016-12-26
Venkat Vallabhaneni,41.5,1,2017-06-02,Technology,Private Equity,Hyderabad,0.25,4.0,2017-06-02
Snow Leopard,41.5,1,2015-06-20,Auto Rickshaw Based,Private Equity,Chandigarh,0.5,2.0,2015-06-20
Kjs Group,41.5,1,2015-05-19,Lifestyle Ecommerce Portal,Private Equity,Gurgaon,1.0,1.0,2015-05-19
Infosys,41.5,2,2021-03-15,"Drone, Performance Optimization For Athletes","Unknown, Private Equity","Mumbai, Boston",0.75,1.5,2021-03-15
Symbiotics Group,41.5,1,2024-11-10,Fintech,Debt,Mumbai,1.0,1.0,2024-11-10
Startupxseed,41.5,2,2025-04-04,"Ai, Digital For Banking Sector",Seed,"Gurgaon, Delhi",0.62,2.5,2025-04-04
Dmg Information Asia Pacific,41.5,1,2015-07-01,Real Estate Rating & Analysis,Private Equity,Delhi,1.0,1.0,2015-07-01
Anushka Iyer And Prattyush Shahane,41.5,1,2022-05-03,Agritech,Angel,Mumbai,1.0,1.0,2022-05-03
Impanix Capital,41.5,1,2017-05-07,Consumer Internet,Private Equity,Delhi,1.0,1.0,2017-05-07
Pi Ventures And Stellaris Venture Partners,41.5,1,2022-04-04,Software,Seed,Delhi,1.0,1.0,2022-04-04
Shinji Kimura,41.5,1,2015-11-19,Alternate Mobile Monetization,Private Equity,Mumbai,0.14,7.0,2015-11-19
Titan Co Ltd,41.5,1,2017-11-09,Technology,Private Equity,Bangalore,0.5,2.0,2017-11-09
Usunknownbased,41.5,1,2025-02-20,Iot & Data Analytics,Series A,Noida,0.33,3.0,2025-02-20
Indian Family Offices,41.5,1,2025-02-20,Iot & Data Analytics,Series A,Noida,0.33,3.0,2025-02-20
Rtpunknownhc,41.5,1,2016-11-23,Technology,Private Equity,Bangalore,0.25,4.0,2016-11-23
Techstars Ventures,41.5,1,2016-11-23,Technology,Private Equity,Bangalore,0.25,4.0,2016-11-23
Wonder Ventures,41.5,1,2016-11-23,Technology,Private Equity,Bangalore,0.25,4.0,2016-11-23
Velo Partners,41.5,1,2021-08-06,Fintech,Pre-Series A,Bangalore,0.5,2.0,2021-08-06
Sundar Chanrai,41.5,1,2015-11-19,Alternate Mobile Monetization,Private Equity,Mumbai,0.14,7.0,2015-11-19
Singtel\\Xe2\\X80\\X99S Innov8,41.5,1,2015-11-19,Alternate Mobile Monetization,Private Equity,Mumbai,0.14,7.0,2015-11-19
Sunder Ramachandran,41.5,1,2025-04-28,Multibrand,Series A,Mumbai,0.5,2.0,2025-04-28
Segnel Venture,41.5,1,2015-11-19,Alternate Mobile Monetization,Private Equity,Mumbai,0.14,7.0,2015-11-19
K Ganesh,41.5,1,2015-11-19,Alternate Mobile Monetization,Private Equity,Mumbai,0.14,7.0,2015-11-19
Micelio,41.5,1,2022-01-16,Aviation & Aerospace,Pre-Series A,Chennai,0.5,2.0,2022-01-16
Exponentia Ventures,41.5,1,2022-01-12,Food,Seed,Mumbai,1.0,1.0,2022-01-12
Guild Capital,41.5,1,2021-12-22,Healthcare,Series A,Mumbai,0.5,2.0,2021-12-22
Aurum Proptech,41.5,1,2021-12-26,Real Estate,Unknown,Bangalore,1.0,1.0,2021-12-26
Smallcase,41.5,1,2021-11-05,Fintech,Unknown,Bangalore,1.0,1.0,2021-11-05
Silver Needle,41.5,1,2025-01-11,Deeptech Neuroscience,Pre-Series A,Bangalore,0.33,3.0,2025-01-11
Lightbox Ventures And Others,41.5,1,2016-09-26,Ecommerce,Private Equity,Bangalore,1.0,1.0,2016-09-26
Zerodha’S Rainmatter,41.5,1,2025-02-21,D2C Sexual Wellness Healthtech,Series A,Mumbai,0.2,5.0,2025-02-21
Siddhartha Sacheti (Jaipur Diamond),41.5,1,2025-02-21,D2C Sexual Wellness Healthtech,Series A,Mumbai,0.2,5.0,2025-02-21
Mithun Sacheti (Caratlane),41.5,1,2025-02-21,D2C Sexual Wellness Healthtech,Series A,Mumbai,0.2,5.0,2025-02-21
Claris Capital,41.5,1,2025-02-21,D2C Sexual Wellness Healthtech,Series A,Mumbai,0.2,5.0,2025-02-21
Ashish Kashyap,41.5,2,2021-07-08,"Other, Healthcare","Seed, Unknown","Nan, Bangalore",0.29,3.5,2021-07-08
Shaival Desai,41.5,2,2021-09-14,"Healthcare, Food","Other, Seed","Gurgaon, Pune",0.5,2.0,2021-09-14
Yugadi Capital,41.5,1,2025-05-07,Qsr,Other,Gurgaon,1.0,1.0,2025-05-07
Tata Group\\Xe2\\X80\\X99S Watch And Jewellery Retailing Firm,41.5,1,2017-11-09,Technology,Private Equity,Bangalore,0.5,2.0,2017-11-09
Globaz Technologies,41.5,1,2025-09-24,Advanced Hardware & Technology,Pre-Series A,Bangalore,1.0,1.0,2025-09-24
Samyakth Capital,41.5,1,2020-10-08,Fintech,Seed,Mumbai,0.5,2.0,2020-10-08
Elevar Equity.,41.5,1,2022-11-25,Healthcare,Series A,Bhubaneswar,1.0,1.0,2022-11-25
Bluehill Capital,41.5,1,2024-08-07,Healthcare,Seed,Bangalore,0.2,5.0,2024-08-07
Big Global Investments Jsc,41.5,1,2024-08-07,Healthcare,Seed,Bangalore,0.2,5.0,2024-08-07
Yournest Vc,41.5,1,2021-12-04,Automotive,Pre-Series A,Bangalore,1.0,1.0,2021-12-04
Z47 And Lightspeed,41.5,1,2025-04-08,Edtech,Pre-Series A,Bangalore,1.0,1.0,2025-04-08
Hyperplane Venture Capital,41.5,1,2021-01-23,Biotechnology,Pre-Series A,Delhi,1.0,1.0,2021-01-23
Bharat Inclusion Seed Fund,41.5,1,2021-03-13,Fintech,Series A,Bangalore,0.5,2.0,2021-03-13
Raju Reddy,41.5,1,2015-06-13,Data Driven Recruitment Recommendation,Private Equity,Bangalore,0.2,5.0,2015-06-13
Peak Xv'S Surge,41.5,1,2024-09-15,Villa And Apartment Management,Series A,Nan,0.33,3.0,2024-09-15
And Other Angel Investors,41.5,1,2024-09-15,Villa And Apartment Management,Series A,Nan,0.33,3.0,2024-09-15
Xponentia Capital Partners,41.5,1,2021-10-19,Consumer Goods,Unknown,Ahmedabad,1.0,1.0,2021-10-19
Indian Quotient,41.5,1,2015-03-19,Other,Private Equity,Nan,0.33,3.0,2015-03-19
Vikasa India Eif Fund,41.5,1,2025-10-28,Fintech,Seed,Nan,1.0,1.0,2025-10-28
Brazilian Vc Fund Confrapar,41.5,1,2020-01-07,Fintech,Unknown,Nan,1.0,1.0,2020-01-07
A Dutch Government Fund,41.5,1,2019-01-18,Fintech,Debt,Chennai,0.5,2.0,2019-01-18
India Quotient And Farid Ahsan,41.5,1,2022-05-03,Software,Seed,Gurgaon,1.0,1.0,2022-05-03
Massif,41.5,1,2019-01-18,Fintech,Debt,Chennai,0.5,2.0,2019-01-18
Rohto Pharmaceutical,41.5,1,2017-05-08,Ecommerce,Private Equity,Kolkata,1.0,1.0,2017-05-08
Baring Pe India,41.5,1,2022-02-22,Defense & Space,Pre-Series A,Bangalore,0.5,2.0,2022-02-22
Dsp Group Family Office,41.5,1,2025-10-24,Fintech,Seed,Nan,1.0,1.0,2025-10-24
Prime Vp,41.5,1,2021-07-21,Healthcare,Series A,Bangalore,1.0,1.0,2021-07-21
Samantha Prabhu,41.5,1,2024-10-20,Wellness,Seed,Mumbai,1.0,1.0,2024-10-20
And Ramakant Sharma,41.5,1,2018-07-17,Consumer Internet,Private Equity,Mumbai,0.25,4.0,2018-07-17
\\Xc2\\Xa0 Varaprasad Reddy,41.5,1,2015-03-01,Other,Private Equity,Nan,0.5,2.0,2015-03-01
Unitus Impact Livelihoods Fund,41.5,1,2015-12-26,B2B Ecommerce,Private Equity,Bangalore,0.5,2.0,2015-12-26
New Atlantic Ventures,41.5,1,2019-04-19,Transportation,Venture,Gurgaon,1.0,1.0,2019-04-19
Quotient,41.5,1,2018-09-04,Fintech,Private Equity,Mumbai,0.25,4.0,2018-09-04
Golden Sparrow Ventures,41.5,1,2024-08-07,Healthcare,Seed,Bangalore,0.2,5.0,2024-08-07
Pearl Investment Llc,41.5,1,2021-07-23,Edtech,Series A,Bangalore,1.0,1.0,2021-07-23
Season Two Ventures,41.5,2,2021-09-22,"Healthcare, Computer Software",Pre-Series A,Bangalore,0.42,2.5,2021-09-22
Christian Oestlien,41.5,1,2022-03-08,Software Development,Seed,Bangalore,0.5,2.0,2022-03-08
Aspada Advisors,41.5,1,2016-02-21,Consumer Internet,Private Equity,Mumbai,0.33,3.0,2016-02-21
Foxhog Ventures / Ideas Tih,41.5,1,2025-10-25,High > Ai Infrastructure,Seed,Nan,1.0,1.0,2025-10-25
Unitus Ventures.,41.5,2,2020-02-26,"Other, Fintech","Series A, Pre-Series A","Bangalore, Mumbai",0.62,2.5,2020-02-26
Garuda Aerospace,41.5,1,2025-03-28,Drone Manufacturing,Strategic Investment,Chennai,1.0,1.0,2025-03-28
Kotak Alterunknownte Asset Maunknowngers,41.5,1,2024-09-06,D2C Retail,Series A,Delhi,0.5,2.0,2024-09-06
1Digi Investment Maunknowngement,41.5,1,2022-02-01,Computer Software,Pre-Series A,Bangalore,1.0,1.0,2022-02-01
\\Xc2\\Xa0 Inventus Capital,41.5,1,2016-02-21,Consumer Internet,Private Equity,Mumbai,0.33,3.0,2016-02-21
Ask Pravi,41.5,1,2015-06-19,It / Customer Engagement Consulting,Private Equity,Mumbai,1.0,1.0,2015-06-19
Pacific Horizon,41.5,1,2020-04-27,Food,Unknown,Gurgaon,1.0,1.0,2020-04-27
Proparco,41.5,1,2024-09-28,Agritech,Unspecified Round,Mumbai,1.0,1.0,2024-09-28
Tata Capital Innovation Fund,41.5,1,2016-01-20,Consumer Internet,Private Equity,Mumbai,1.0,1.0,2016-01-20
Helion Ventures Partners,41.5,1,2017-10-21,Ecommerce,Private Equity,Bangalore,1.0,1.0,2017-10-21
Ideaspring Capital,41.09,6,2025-04-20,"Technology, Conversational Ai, Healthcare","Seed, Series A, Pre-Series A","Bangalore, Chennai, Kolkata",0.92,1.17,2025-04-20
Huddle Ventures,40.67,4,2025-07-01,"Ecommerce, Healthcare, Retail Luxury Goods And Jewellery","Seed, Pre-Seed","Noida, Gurgaon, Mumbai",0.47,4.0,2025-07-01
. Venture Catalysts And 9Unicorns Accelerator Fund,40.67,1,2022-07-24,Ai,Seed,Bangalore,1.0,1.0,2022-07-24
Justin Mateen,40.67,2,2021-12-06,"Social Commerce, Real Estate",Seed,"Delhi, Mumbai",0.67,2.0,2021-12-06
Dharmil Sheth And Siddharth Bhaskar Shah,40.67,1,2022-05-14,Edtech,Unknown,Mumbai,1.0,1.0,2022-05-14
Auxano Capital,40.67,3,2024-08-21,"Edtech, Retail, Digital For Banking Sector","Unknown, Pre-Series A, Seed","Delhi, Mumbai",0.47,3.67,2024-08-21
M Venture Partners,40.61,3,2025-09-27,"Luxury Goods & Jewelry, Farming, Ecommerce","Seed, Unknown","Gurgaon, Bangalore, Delhi",0.5,2.0,2025-09-27
Accel Partners And Qualcomm,40.59,1,2019-06-18,Ecommerce,Unknown,Gurgaon,0.5,2.0,2019-06-18
Seedplus,40.46,2,2016-10-11,"Technology, Ecommerce",Private Equity,"Bangalore, Noida",0.33,3.0,2016-10-11
New India Investment Corporation,40.26,1,2015-07-12,Payment,Private Equity,Bangalore,0.5,2.0,2015-07-12
Capricon Realty Private Limited (Thackersey Group),40.0,1,2025-01-11,Commercial Real Estate,Series A,Mumbai,1.0,1.0,2025-01-11
Blacksoil And Caspian Impact Investments,40.0,1,2025-05-06,Omnichannel Jewellery,Debt,Bangalore,1.0,1.0,2025-05-06
Up Government'S Fund,40.0,1,2024-08-11,Investment Fund,Other,Gurgaon,0.5,2.0,2024-08-11
South Park Commons,39.84,1,2025-07-01,Ai,Seed,Indore,0.2,5.0,2025-07-01
Helix Investments,39.84,1,2018-06-02,Technology,Private Equity,Mumbai,1.0,1.0,2018-06-02
No Label Ventures,39.84,1,2025-07-01,Ai,Seed,Indore,0.2,5.0,2025-07-01
Start Ventures,39.84,1,2025-07-01,Ai,Seed,Indore,0.2,5.0,2025-07-01
Zoomcar Inc,39.84,1,2020-01-01,Transport & Rentals,Unknown,Bangalore,1.0,1.0,2020-01-01
Dinesh J Hinduja,39.84,1,2020-04-10,Fintech,Series F,Bangalore,0.5,2.0,2020-04-10
Amazon Inc`,39.84,1,2020-04-10,Fintech,Series F,Bangalore,0.5,2.0,2020-04-10
Ankur Aggarwal And Vikas Choudhury,39.84,1,2022-05-03,Fintech,Seed,Bangalore,1.0,1.0,2022-05-03
Aneesh Reddy,39.35,4,2017-12-15,"Other, Ecommerce, Technology","Seed, Other, Private Equity","Bangalore, Nan, Gwalior",0.2,5.5,2017-12-15
. Chetan Nigam And Rahul Gambhir,39.14,1,2022-09-23,Fintech,Pre-Seed,Gurgaon,1.0,1.0,2022-09-23
Nederlandse Fiunknownncieringsunknownmaatschappij Voor Ontwikkelingslanden N.V.,39.01,1,2018-01-21,Fintech,Debt,Ahmedabad,1.0,1.0,2018-01-21
Mga Ventures,39.01,1,2025-09-20,Enterprise,Series A,Mumbai,0.5,2.0,2025-09-20
Kvanto Payment Services,39.01,1,2021-10-23,Information Technology &,Unknown,Mumbai,1.0,1.0,2021-10-23
Rameez Menon And Renu Satti,39.01,1,2022-08-28,Information Technology,Pre-Seed,Gurgaon,1.0,1.0,2022-08-28
Draper Dragon And Dragon Capital Group,39.01,1,2022-05-03,Crypto Currency,Unknown,Bangalore,1.0,1.0,2022-05-03
Deg,39.01,1,2020-11-10,Fintech,Unknown,Delhi,0.5,2.0,2020-11-10
Kfw Deg,39.01,1,2020-11-10,Fintech,Unknown,Delhi,0.5,2.0,2020-11-10
Trtl Vc,39.01,2,2024-08-13,"B2B Healthcare Financing, Fintech","Seed, Other",Delhi,0.27,4.0,2024-08-13
Sarva Capital,39.01,1,2016-03-15,Fintech,Private Equity,Chennai,1.0,1.0,2016-03-15
Brickwork,39.0,1,2024-08-05,Sports,Equity,Delhi,1.0,1.0,2024-08-05
Aspada Investment Advisors,38.59,2,2016-03-11,"Consumer Internet, Language Localization Cloud","Seed, Private Equity",Bangalore,0.5,2.0,2016-03-11
Tvs Motor Company,38.54,2,2020-10-12,"Ecommerce, Automation, Automobiles","Series B, Seed",Bangalore,1.0,1.0,2020-10-12
Sunil Kumar Singhvi,38.45,3,2025-02-20,"Saas, Beverage, Food","Seed, Unknown","Indore, Chennai",0.29,4.25,2025-02-20
Rohit Bansal And 9Unicorns Accelerator Fund,38.18,1,2022-05-14,Retail Technology,Unknown,Bangalore,1.0,1.0,2022-05-14
Imj Investment Partners,38.18,1,2017-04-20,Consumer Internet,Private Equity,Gurgaon,0.2,5.0,2017-04-20
Flair Writing Family Office,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Eagle Venture Fund,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Cyberagent Ventures,38.18,1,2017-04-20,Consumer Internet,Private Equity,Gurgaon,0.2,5.0,2017-04-20
Ag Ventures,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Accurize Syndicate,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Sourabh Jain,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Vedang Patel,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Founder Collective,38.18,1,2017-06-27,Technology,Private Equity,Bangalore,0.5,2.0,2017-06-27
Harsh Lal,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Hinduja Leyland Fiunknownnce And Intellegrow,38.18,1,2018-04-20,Fintech,Debt,Gurgaon,0.5,2.0,2018-04-20
Rohin Samtaney,38.18,1,2025-06-18,Ecommerce,Series A,Delhi,0.08,13.0,2025-06-18
Blueorchard Fiunknownnce Ltd,38.18,1,2018-04-20,Fintech,Debt,Gurgaon,0.5,2.0,2018-04-20
Strive,38.18,1,2022-02-28,Information Technology &,Unknown,Bangalore,0.5,2.0,2022-02-28
Better Capital And Rtp Globa,38.18,1,2022-05-26,Construction,Seed,Nan,1.0,1.0,2022-05-26
Aavishkar Capital,38.16,1,2020-04-26,Agritech,Unknown,Bangalore,1.0,1.0,2020-04-26
Peercapital,37.43,2,2025-07-03,"B2B Tyre, Ecommerce","Unspecified Round, Pre-Series A","Delhi, Bangalore",0.38,3.0,2025-07-03
Inflection Point Ventures (Ipv),37.41,4,2025-05-11,"Fintech, Healthcare, D2C Health Foods","Seed, Growth, Unknown","Bangalore, Delhi, Mumbai",0.62,2.5,2025-05-11
Bizreach,37.35,1,2017-04-06,Consumer Internet,Private Equity,Bangalore,0.17,6.0,2017-04-06
Saama Capital And Dsg Consumer Partners,37.35,1,2017-10-22,Consumer Internet,Private Equity,Gurgaon,1.0,1.0,2017-10-22
The Grover Trust,37.35,1,2017-06-18,Consumer Internet,Private Equity,Bangalore,0.33,3.0,2017-06-18
Including Piyush Jain,37.35,1,2024-12-15,Supply Fintech,Pre-Series A,Bangalore,0.33,3.0,2024-12-15
And Mintcap,37.35,1,2024-12-15,Supply Fintech,Pre-Series A,Bangalore,0.33,3.0,2024-12-15
Dhi Group Inc,37.35,1,2017-04-06,Consumer Internet,Private Equity,Bangalore,0.17,6.0,2017-04-06
Insitor Impact Asia Fund,37.35,2,2020-01-12,"Consumer Internet, Agritech","Private Equity, Seed","Mumbai, Nan",0.5,2.0,2020-01-12
Yash Sehgal,37.35,1,2022-11-20,Ecommerce,Series A,Bangalore,0.25,4.0,2022-11-20
Asia Pacific Internet Group,37.35,1,2015-01-09,Other,Private Equity,Nan,1.0,1.0,2015-01-09
Atrium Ventures,37.35,1,2025-02-09,Devicesasaservice Daas,Pre-Series A,Bangalore,0.17,6.0,2025-02-09
Vishwang Desai,37.35,1,2025-01-21,D2C Food,Series A,Mumbai,0.2,5.0,2025-01-21
Dileep Nath,37.35,1,2017-04-17,Logistics,Private Equity,Mumbai,0.33,3.0,2017-04-17
Vcunknowngrid,37.35,1,2025-01-21,D2C Food,Series A,Mumbai,0.2,5.0,2025-01-21
Shilpa Shetty,37.35,1,2025-01-21,D2C Food,Series A,Mumbai,0.2,5.0,2025-01-21
Gautam Chopra,37.35,1,2022-11-20,Ecommerce,Series A,Bangalore,0.25,4.0,2022-11-20
Abhishek Kumar,37.35,1,2022-11-20,Ecommerce,Series A,Bangalore,0.25,4.0,2022-11-20
Work10M,37.35,1,2020-12-04,"Other, Work Fulfillment","Series A, Unknown",Bangalore,0.38,3.0,2020-12-04
Jounknownthan Boutelle,37.35,1,2020-10-05,Technology,Seed,San Francisco,0.5,2.0,2020-10-05
Udaan,37.35,1,2021-11-20,Information Technology &,Unknown,Ahmedabad,0.33,3.0,2021-11-20
Varanium Capital Advisors And 500 Startups,37.35,1,2022-08-14,Information&Technology,Seed,Bangalore,1.0,1.0,2022-08-14
Touchstone Ventures,37.35,1,2025-02-09,Devicesasaservice Daas,Pre-Series A,Bangalore,0.17,6.0,2025-02-09
North Base Media,37.35,2,2020-04-01,"Digital Media, Technology","Series A, Private Equity","Gurgaon, Mumbai",0.57,4.0,2020-04-01
Upfront Ventures,37.35,1,2020-10-21,Fintech,Seed,New York,0.5,2.0,2020-10-21
Harvard Maunknowngement,37.35,1,2021-12-19,Fintech,Seed,Bangalore,0.5,2.0,2021-12-19
Wavemaker Partners,37.35,1,2021-07-24,"Ayurveda, Healthcare","Pre-Series A, Series A","Gurgaon, Delhi",0.42,2.5,2021-07-24
Weh,37.35,1,2021-09-26,Fintech,Pre-Series A,Bangalore,0.25,4.0,2021-09-26
Unknown Existing Investors As Well As The Tamarind Family Trust,37.35,1,2018-06-18,Technology,Private Equity,Mumbai,1.0,1.0,2018-06-18
Kuunknownl Kiunknownlekar,37.35,1,2022-11-20,Ecommerce,Series A,Bangalore,0.25,4.0,2022-11-20
Ivycap Ventures Advisors,37.35,2,2025-10-21,"Ecommerce, Media & Entertainment > Film & Tv Studios","Private Equity, Series B","Delhi, Nan",0.75,1.5,2025-10-21
Walkabout Ventures,37.35,1,2020-10-21,Fintech,Seed,New York,0.5,2.0,2020-10-21
Ameera Shah,37.33,4,2025-07-04,"Consumer Internet, Technology, Healthcare",Seed,"Bangalore, Delhi, Gurgaon",0.37,3.5,2025-07-04
Rajesh Sawhney,37.19,3,2025-01-13,"Food, Hotel Booking, Climate","Pre-Series A, Seed, Initial Funding","Noida, Bangalore",0.29,3.67,2025-01-13
Stem Ai,37.0,1,2025-04-11,Fintech,Unspecified Round,Delhi,0.25,4.0,2025-04-11
10X Founders,37.0,1,2025-04-11,Fintech,Unspecified Round,Delhi,0.25,4.0,2025-04-11
Leblon Capital,37.0,1,2025-04-11,Fintech,Unspecified Round,Delhi,0.25,4.0,2025-04-11
Marquee Investors,36.93,3,2021-06-20,"Cultural, Agritech, Ai Health","Unknown, Pre-Series A","Pune, Noida, Gurgaon",0.75,2.0,2021-06-20
Sunicon Ventures,36.9,3,2025-02-02,"Battery, Ai, Hospitality","Seed, Pre-Series A","Bangalore, Dover, Mumbai",0.36,3.0,2025-02-02
Ht Media Ltd,36.52,1,2016-05-24,Ecommerce,Private Equity,Delhi,1.0,1.0,2016-05-24
Marsshot Ventures,36.0,1,2025-01-17,Waste Management,Series A,Jaipur,0.14,7.0,2025-01-17
Vyom Wealth,36.0,1,2025-01-17,Waste Management,Series A,Jaipur,0.14,7.0,2025-01-17
Sn Capital,36.0,1,2025-01-17,Waste Management,Series A,Jaipur,0.14,7.0,2025-01-17
Chaunknownkya Opportunities Fund,36.0,1,2025-04-05,Agritech,Other,Gurgaon,1.0,1.0,2025-04-05
Equentis,35.94,2,2025-09-24,"Ecommerce, Ice Cream","Unknown, Angel","Cuttack, Mumbai",1.0,1.0,2025-09-24
Tano India,35.91,1,2020-06-25,Beauty,Unknown,Mumbai,0.33,3.0,2020-06-25
L’Occitane,35.91,1,2020-06-25,Beauty,Unknown,Mumbai,0.33,3.0,2020-06-25
Rajul Garg,35.77,4,2020-11-13,"Consumer Internet, Edtech","Seed, Private Equity","Bangalore, Delhi, Noida",0.32,3.5,2020-11-13
Supera Investments,35.76,1,2020-08-13,"Technology, Ecommerce",Unknown,Mumbai,1.0,1.0,2020-08-13
Micelio Fund,35.69,2,2021-11-25,"Ev, Automotive",Seed,"Bangalore, Hyderabad",0.5,2.0,2021-11-25
Sujeet Kumar And All In Capital,35.69,1,2022-09-06,Food,Seed,Bangalore,1.0,1.0,2022-09-06
Other Hnis,35.69,2,2017-02-01,"Asset Financing, Consumer Internet","Seed, Private Equity","Mumbai, Chennai",0.42,2.5,2017-02-01
Monta Vista Capital,35.69,1,2024-09-13,Ai,Seed,Nan,0.33,3.0,2024-09-13
Shadow Ventures,35.69,1,2024-09-13,Ai,Seed,Nan,0.33,3.0,2024-09-13
Golden Sparrow,35.28,2,2024-12-12,"Product Design, Photonic Quantum Technology","Series A, Seed",Bangalore,0.29,3.5,2024-12-12
Swastika,35.28,2,2020-12-27,"Logistics, Healthcare","Unknown, Seed","Delhi, Gurgaon",1.0,1.0,2020-12-27
Tomorrow Capital,35.19,3,2024-11-11,"Edtech, Fintech, Techenabled Fertility","Seed, Unknown, Pre-Series A","Mumbai, Gurgaon",1.0,1.0,2024-11-11
Raghav Bahl,35.07,2,2020-01-20,"Data Driven Publishing, Technology, Community Driven News/Views","Private Equity, Series A, Seed","Bangalore, Delhi",0.67,1.67,2020-01-20
Shuchi Kothari (Dsp Family Office),35.0,1,2025-02-18,Womens Wellness & Hygiene,Other,Mumbai,0.33,3.0,2025-02-18
Samir Singh (Colgate Palmolive),35.0,1,2025-02-18,Womens Wellness & Hygiene,Other,Mumbai,0.33,3.0,2025-02-18
Srinivasan Namala,35.0,2,2025-02-26,"Plantbased Nutrition D2C Wellness, Beer","Seed, Series A","Hyderabad, Delhi",0.6,3.0,2025-02-26
