Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
sambandh,20.75,20.75,1,Consumer Internet,Rourkela,Private Equity,2018,Base Of Pyramid Asia (Bopa) Pte Ltd,2018
wendor,20.75,20.75,1,Smart Vending,Delhi,Seed,2025,Elanpro,2025
oneto11,20.75,20.75,1,Sports,Noida,Seed,2022,"Maximus Capital, Gda Capital, Magnus Capital, Nft Technologies",2022
we360ai,20.75,16.6,2,Information Technology &,Bhopal,"Unknown, Seed","2022, 2025","Campus Fund, Gsf, Sucseed Ventures, Gsf",2025
paynear,20.75,20.75,1,Mobile Point Of Sale,Hyderabad,Private Equity,2015,Mitesh Majithia,2015
prolance,20.75,16.6,2,SaaS,Bangalore,"Seed, Pre-Series A",2022,"Force Ventures And Foundamental, Srini Anumolu, Karthik Bhat",2022
wobot intelligence,20.75,20.75,1,AI,Delhi,Pre-Series A,2020,Sequoia Capital,2020
lets try,20.75,20.75,1,D2C Snack,Delhi,Unspecified Round,2025,Swc Global,2025
chk,20.75,20.75,1,D2C Footwear,Bangalore,Unspecified Round,2025,"Accel, Bluestone, Individual Investors",2025
healthassure,20.75,20.75,1,Healthcare,Mumbai,Series A,2019,Blume Ventures,2019
celes care,20.75,12.45,2,Consumer Internet,Hyderabad,"Private Equity, Seed","2016, 2017","Ventureast, Endiya Partners, Eight Roads Ventures, Funknownprime Capital Partners, Endiya Partners",2017
edubridge,20.75,20.75,1,Consumer Internet,Mumbai,Private Equity,2016,"Insitor Impact Asia Fund, Acumen Fund",2016
1bridge,20.75,20.75,1,Consumer Goods,Bangalore,Unknown,2021,C4D Partners,2021
karnival,20.75,20.75,1,SaaS,Bangalore,Seed,2021,Http://100X.Vc/,2021
arth,20.75,20.75,1,Micro Lending,Lucknow,Seed,2022,Mit Alumni Angels And Kfw Deg,2022
fox capital,20.75,20.75,1,Fintech,Jaipur,Unknown,2020,Institutiounknownl Investors,2020
lissun,20.75,20.75,1,Healthcare,Gurgaon,Pre-Series A,2024,Rpsg Capital Ventures,2024
crowdfire formerly justunfollow,20.75,20.75,1,Other,Unknown,Private Equity,2015,Kalaari Capital,2015
