Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Blackbuck,Food Tech,"New York, Bengaluru","10,00,000",Series A,Tiger Global,2018,November
MilkBAsket,Food,New Delhi,"13,00,000",Series B,Mayfield Fund,2018,November
DriveU,Transport,Bengaluru,"10,00,000",Mezzanine,Stevens Creek Ventures,2018,November
CleanseCar,Services,Bengaluru,"5,00,000",Seed/ Angel Funding,Venture Catalysts,2018,November
Automation Anywhere,Automation,California,"30,00,00,000",Series B,SoftBank Vision Fund,2018,November
HealthifyMe,Health and Wellness,Bengaluru,"60,00,000",Series B (Extension),"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",2018,November
Genius Corner,Education,Noida,"2,78,000",Seed Funding,Individual investors,2018,November
Aavishkaar-Intellecap Group,Investment,Mumbai,"3,10,00,000",Equity Based Funding,Teachers Insurance and Annuity Association (TIAA),2018,November
Skillbox,Social Network,Gurugram,Undisclosed,Seed Funding,Individual investors,2018,November
Signzy,Financial Tech,Mumbai/Bengaluru,"34,00,000",Series A,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",2018,November
Engineer.ai,Software,India/US,"2,95,00,000",Series A,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",2018,November
InCred Finance,Finance,India,"4,20,00,000",Private Equity,"Paragon Partners, Individual Investors",2018,November
Roposo,Social Media,Delhi,"17,00,000",Series B,Bertelsmann India Investments,2018,November
Northmist,Fashion,Delhi,,Seed/ Angel Funding,Prashant Jaiswal,2018,October
Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"1,10,00,000",Seed/ Angel Funding,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",2018,October
Grover Zampa,Food,Mumbai,"82,00,000",Private Equity,Ravi Viswanathan,2018,October
Droom,Automobile,Gurgaon,"30,00,000",Series E,ZigExN,2018,October
Innov8,Real Estate,New Delhi,"40,00,000",Pre-Series A,Credence Family Office,2018,October
Blackbuck,Logistics Tech,Bengaluru,"1,46,80,000",Private Funding,Sequoia Capital India,2018,October
LetsTransport,Logistics Tech,Bengaluru,"1,20,00,000",Series C,Fosun International,2018,October
Netmeds,Consumer Internet,Chennai,"3,50,00,000",Private Equity,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",2018,September
Udaan,B2B Platform,Bengaluru,"22,50,00,000",Private Equity,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,2018,September
Daily hunt,Consumer Internet,Bengaluru,"63,90,000",Private Equity,Falcon Edge,2018,September
3HCare,Healthcare,Delhi,"10,00,000",Seed / Angel Funding,,2018,September
HappyGoEasy,Consumer Internet,Gurugram,,Private Equity,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",2018,September
Nykaa,Consumer Internet,Mumbai,"15,72,00,000",Private Equity,Lighthouse,2018,September
Mad Street Den,Technology,Chennai,,Private Equity,KDDI\\xc2\\xa0,2018,September
Dream11,Consumer Internet,Mumbai,"10,00,00,000",Private Equity,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",2018,September
MamaEarth,Healthcare,Gurugram,"40,00,000",Private Equity,Stellaris Ventures & Others,2018,September
AutoGrid,Technology,Bengaluru,"3,20,00,000",Private Equity,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",2018,September
Pharmeasy,Consumer Internet,Mumbai,"55,00,000",Debt Funding,InnoVen Capital,2018,September
Upwards,Fin-Tech,Mumbai,"50,00,000",Private Equity,"Shunwei Capital,Quotient, Mayfield & Others",2018,September
Kissht,Fin-Tech,Mumbai,"3,00,00,000",Private Equity,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",2018,September
dishq,Food-Tech,Bengaluru,"4,00,000",Seed/ Angel Funding,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",2018,August
HealthFin,Finance,Pune,,Seed/ Angel Funding,"Axilor, Sprout Venture Partners and others",2018,August
Samosa Labs,Consumer Internet,Hyderabad,"70,00,000",Private Equity,Xiaomi and Sequoia Capital India,2018,August
ZiffyHomes,Consumer Internet,Gurugram,"1,20,000",Private Equity,Y Combinator,2018,August
My OmNamo,Consumer Internet,Mumbai,"10,00,000",Seed/ Angel Funding,,2018,August
ShopX,Consumer Internet,Bengaluru,"3,50,00,000",Private Equity,Fung Strategic Holdings,2018,August
MakeMyTrip,Consumer Internet,Gurugram,"1,00,00,000",Private Equity,MakeMyTrip Limited,2018,August
Hansel io,Consumer Internet,Bengaluru,"40,00,000",Seed/ Angel Funding,Vertex Ventures,2018,August
Metro Bikes,Consumer Internet,Bengaluru,"1,22,00,000",Private Equity,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",2018,August
Phone Pe,Consumer Internet,Bengaluru,"6,60,00,000",Private Equity,Flipkart,2018,August
quizizz,Ed-Tech,Bengaluru,"30,00,000",Seed/ Angel Funding,"Nexus Venture Partners, Prime Venture Partners and Others",2018,August
Happy EMI,Fin-Tech,Bengaluru,"10,00,000",Seed/ Angel Funding,AJ Ventures and Jain International Trade Organisation (JITO),2018,August
