Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Month_Num,Date
convosight,Data Analytics,Hyderabad,33.2,Pre-Series A,"Ivycap Ventures, Sequoia Capital",2020,April,4,2020-04-01
fittr,Fitness,Pune,16.6,Unknown,"Sequoia Capital Surge, Better Capital",2020,April,4,2020-04-01
bira91,Beverage,Bangalore,166.0,Series C,"Sequoia Capital, Sofiunknown",2020,April,4,2020-04-01
daily ninja,Ecommerce,Haryana,2.9,Unknown,Big Basket,2020,April,4,2020-04-01
guvi geek network,Edtech,Chennai,6.52,Pre-Series A,Education Catalyst Fund,2020,April,4,2020-04-01
loadshare,Logistics,Bangalore,16.63,Series B,Cdc Group,2020,April,4,2020-04-01
vedantu,Edtech,Bangalore,56.44,Series C,Kb Global Platform Firm,2020,April,4,2020-04-01
indusface,It,Unknown,41.5,Unknown,Tata Capital Growth Fund Ii,2020,April,4,2020-04-01
dmi,Fintech,Delhi,1020.9,Unknown,Nxc Corporation,2020,April,4,2020-04-01
spintly,Iot,Goa,2.06,Pre-Series A,Saltwater Venture Sparks,2020,April,4,2020-04-01
bijak,Agritech,Gurgaon,99.6,Series A,Rtp Global,2020,April,4,2020-04-01
bugworks,Biopharma,Bangalore,62.25,Unknown,"University Of Tokyo Edge Capital, Global Brain Corporation",2020,April,4,2020-04-01
yap,Fintech,Chennai,37.35,Series A,Beenext,2020,April,4,2020-04-01
nobroker,Real Estate,Bangalore,249.0,Unknown,General Atlantic,2020,April,4,2020-04-01
box8,Food,Mumbai,33.2,Unknown,"Iifl Seed Ventures Fund, Menlo Park",2020,April,4,2020-04-01
capital float,Fintech,Bangalore,124.5,Unknown,"Ribbit Capital, Saif Partners, Sequoia Capital, Amazon",2020,April,4,2020-04-01
itilite,Travel & Saas,Bangalore,107.9,Series B,"Greenoaks Capital, Vy Capital. Matrix Partners India",2020,April,4,2020-04-01
aavenir,SaaS,Ahmedabad,16.6,Seed,Accel,2020,April,4,2020-04-01
yellow messenger,AI,Bangalore,166.0,Series B,"Lightspeed, Lightspeed",2020,April,4,2020-04-01
setu,Fintech,Unknown,118.35,Series A,"Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",2020,April,4,2020-04-01
rebel foods,Food,Unknown,415.0,Unknown,Coatue Maunknowngement,2020,April,4,2020-04-01
bankbazaar,Fintech,Chennai,31.54,Series D,"Amazon, Sequoia Capital, Walden Skt Venture Fund",2020,April,4,2020-04-01
porter,Logistics,Mumbai,152.47,Series D,Lightstone Global Funds,2020,April,4,2020-04-01
sugarbox,Technology,Mumbai,568.76,Unknown,Zee Entertainment Enterprises Limited,2020,April,4,2020-04-01
capital float,Fintech,Bangalore,39.84,Series F,"Amazon Inc`, Dinesh J Hinduja",2020,April,4,2020-04-01
amica,Fintech,Unknown,16.6,Unknown,"Hummingbird Ventures, Bedrock Capital",2020,April,4,2020-04-01
vedantu,Edtech,Bangalore,103.75,Series C,Legend Capital,2020,April,4,2020-04-01
fingerlix,Food,Unknown,15.22,Unknown,"Accel, Zephyr Peacock, Swiggy, Rb Investments.",2020,April,4,2020-04-01
zupee,Gaming,Unknown,66.4,Series A,Matrix Partners,2020,April,4,2020-04-01
lido learning,Edtech,Mumbai,62.25,Series B,Bace Capital,2020,April,4,2020-04-01
aye finance,Fintech,Gurgaon,197.96,Unknown,Unknown,2020,April,4,2020-04-01
swiggy,Food,Bangalore,356.9,Series A,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",2020,April,4,2020-04-01
zomato,Food,Gurgaon,41.5,Unknown,Pacific Horizon,2020,April,4,2020-04-01
rara delivery,Logistics,Unknown,6.64,Seed,"Der Shing Lim, 500 Startups",2020,April,4,2020-04-01
fingpay,Fintech,Mumbai,29.05,Series A,Ivycap Ventures,2020,April,4,2020-04-01
recko,SaaS,Bangalore,49.8,Series A,Vertex Ventures,2020,April,4,2020-04-01
furlenco,Ecommerce,Bangalore,83.0,Unknown,"Chowdry Associates, Lightbox",2020,April,4,2020-04-01
mera cashier,Fintech,Noida,1.25,Unknown,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",2020,April,4,2020-04-01
kitchens centre,Other,Delhi,4.15,Seed,Angellist India,2020,April,4,2020-04-01
camp k12,Edtech,Gurgaon,33.2,Seed,"Matrix Partners, Saif Partners",2020,April,4,2020-04-01
medgenome,Healthcare,Bangalore,456.5,Series D,Leapfrog Investments,2020,April,4,2020-04-01
ergos,Agritech,Bangalore,38.16,Unknown,Aavishkar Capital,2020,April,4,2020-04-01
nykaa,Ecommerce,Mumbai,109.04,Unknown,Steadview Capital,2020,April,4,2020-04-01
lido learning,Edtech,Mumbai,24.9,Unknown,"Pecus Capital, Madhur Deora",2020,March,3,2020-03-01
design x,Iot,Noida,1.66,Seed,Thinknext Llc,2020,March,3,2020-03-01
imstrong,Fitness,Bangalore,3.32,Seed,Rainmatter,2020,March,3,2020-03-01
craftsvilla,Technology,Mumbai,32.37,Unknown,Supera Investments,2020,March,3,2020-03-01
coindcx,Fintech,Unknown,24.9,Series A,"Polychain Capital, Bain Capital Ventures, Hdr Group",2020,March,3,2020-03-01
nunu tv,Media,Unknown,5.56,Unknown,Risers Accelerators,2020,March,3,2020-03-01
excess2sell,Ecommerce,Mumbai,8.3,Unknown,Gautham Madhavan,2020,March,3,2020-03-01
pitstop,Automobile,Bangalore,20.75,Series A,Tpgunknownbacked Group Landmark,2020,March,3,2020-03-01
univariety,Edtech,Hyderabad,9.13,Unknown,Info Edge,2020,March,3,2020-03-01
vivriti capital,Fintech,Chennai,415.0,Series B,Lgt Lightstone Aspada,2020,March,3,2020-03-01
agnikul,Spacetech,Chennai,26.13,Pre-Series A,Pi Ventures,2020,March,3,2020-03-01
smart coin,Fintech,Unknown,58.1,Series A,Lgt Lightstoneaspada,2020,March,3,2020-03-01
zunroof,Cleantech,Gurgaon,24.9,Series A,Godrej Investments,2020,March,3,2020-03-01
shop101,Social Ecommerce,Unknown,32.37,Series C,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",2020,March,3,2020-03-01
lal10,B2B,Uttar Pradesh,9.13,Unknown,Sorenson Impact,2020,March,3,2020-03-01
multi living,Real Estate,Mumbai,49.8,Unknown,Lodha Ventures,2020,March,3,2020-03-01
fampay,Fintech,Bangalore,39.01,Seed,"Y Combiunknowntor, Venture Highway, Sequoia India, Global Founders Capital",2020,March,3,2020-03-01
unboxrobotics labs,Automation,Bangalore,4.15,Seed,"Arali Ventures, Ciie.Co",2020,March,3,2020-03-01
karbon card,Fintech,Bangalore,16.6,Seed,"Kuunknownl Shah, Amrish Rau, Jitendra Gupta",2020,March,3,2020-03-01
innerchef,Food,Gurgaon,8.3,Unknown,Mistletoe,2020,March,3,2020-03-01
epigamia,Fmcg,Mumbai,0.26,Series C,Ka Enterprise,2020,March,3,2020-03-01
paper boat,Food,Bangalore,33.61,Unknown,"Advent Maunknowngement, A91 Emerging Fund, Trifecta Venture",2020,March,3,2020-03-01
salesken,Ai & Data Science,Bangalore,66.4,Series A,Sequoia India,2020,March,3,2020-03-01
arya,Agritech,Noida,49.8,Series B,Lgt Lightstone Aspada,2020,March,3,2020-03-01
leap finance,Fintech,Bangalore,45.65,Unknown,Sequoia India,2020,March,3,2020-03-01
tricog,Healthcare,Bangalore,87.15,Series B,"Utecunknownthe University Of Tokyo Edge Capital, Aflac Ventures, Llc, Dream Incubator, Teamfund",2020,March,3,2020-03-01
trell,Social Ecommerce,Bangalore,33.2,Pre-Series A,"Sequoia’S Surge, Fosun Rz",2020,March,3,2020-03-01
spaciya consultants,Real Estate,Noida,4.15,Pre-Series A,Alok Garg,2020,March,3,2020-03-01
bounce,Automotive And Rentals,Bangalore,53.95,Unknown,Innoven Capital,2020,March,3,2020-03-01
neeman,Ecommerce,Unknown,8.3,Pre-Series A,Anicut Angel Fund,2020,March,3,2020-03-01
chqbook,Fintech,Gurgaon,41.5,Series A,Aavishkaar Capital,2020,March,3,2020-03-01
smecorner,Fintech,Mumbai,249.0,Series B,Paragon Partners,2020,March,3,2020-03-01
spinny,Ecommerce,Haryana,362.71,Series B,"Nandan Nilekani, Sanjeev Aggarwal",2020,March,3,2020-03-01
vogo,Automotive,Bangalore,166.0,Series C,Lightstone Aspada,2020,February,2,2020-02-01
flick stree,Ai & Media,Mumbai,24.9,Series A,Samsung Venture Investment,2020,February,2,2020-02-01
josh talks,Media,Haryana,12.45,Pre-Series A,Media Development Investment Fund,2020,February,2,2020-02-01
railyatri,Travel,Noida,114.54,Unknown,"Nandan Nilekani, Samsung Venture Investment Corporation",2020,February,2,2020-02-01
ajnalens,Deeptech,Thane,12.45,Pre-Series A,"Maharashtra Defence, Aerospace Venture Fund (Mdavf)",2020,February,2,2020-02-01
rupeek,Fintech,Bangalore,249.0,Unknown,"Ggv Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel",2020,February,2,2020-02-01
invideo,Visual Media,Unknown,20.75,Unknown,Sequoia Capital’S Surge,2020,February,2,2020-02-01
avalonmeta,Edtech,Unknown,3.49,Unknown,Peerplays,2020,February,2,2020-02-01
near store,Ecommerce,Mumbai,2.49,Seed,Sauce.Vc,2020,February,2,2020-02-01
prayaan capital,Fintech,Chennai,9.96,Seed,Accion Venture Lab,2020,February,2,2020-02-01
sanfe,Hygiene,Delhi,9.13,Pre-Series A,"Sucseed Venture Partners, Birac, Elixir Pharma, Titan Capital",2020,February,2,2020-02-01
swiggy,Food,Bangalore,937.9,Series A,Prosus N.V,2020,February,2,2020-02-01
unacademy,Edtech,Bangalore,913.0,Series E,"Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",2020,February,2,2020-02-01
zvesta,Proptech,Gurgaon,45.65,Unknown,Hindustan Media Ventures,2020,February,2,2020-02-01
dunzo,Logistics,Bangalore,91.3,Unknown,Alteria Capital,2020,February,2,2020-02-01
digit insurance,Fintech,Bangalore,2.82,Unknown,"Virat Kohli, Anushka Sharma",2020,February,2,2020-02-01
yolo,Transport,Gurgaon,4.98,Seed,Unknown,2020,February,2,2020-02-01
smartvizx,Vr & Saas,Unknown,11.6,Pre-Series A,Rockstud Capital,2020,February,2,2020-02-01
carbon clean,Cleantech,Unknown,132.8,Unknown,"Wave Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",2020,February,2,2020-02-01
genius corner,Edtech,Noida,2.08,Unknown,"Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",2020,February,2,2020-02-01
planetspark,Edtech,Gurgaon,3.72,Unknown,"Indian Angel Network, Lead Angels, Hyderabad Angels",2020,February,2,2020-02-01
simsim,Social Commerce,Bangalore,66.4,Series B,"Accel, Shunwei Capital, Good Capital",2020,February,2,2020-02-01
shuttl,Transport,Delhi,66.2,Series C,Sig Global India Fund,2020,February,2,2020-02-01
oga,Fitness,Bangalore,2.74,Unknown,Inflection Point Ventures,2020,February,2,2020-02-01
big basket,Ecommerce,Bangalore,29.05,Unknown,Trifecta Capital,2020,February,2,2020-02-01
innoviti,Other,Bangalore,41.5,Unknown,Fmo,2020,February,2,2020-02-01
paytm,Fintech,Bangalore,46.48,Unknown,One97 Communications,2020,February,2,2020-02-01
yap,Fintech,Chennai,11.64,Unknown,"Amrish Rau, Kuunknownl Shah, Jitendra Gupta",2020,February,2,2020-02-01
clover,Agritech,Bangalore,45.65,Series A,"Omnivore, Accel, Mayfield",2020,February,2,2020-02-01
nova credit,Fintech,Unknown,415.0,Series B,"Kleiner Perkins, Caunknownpi Ventures, Index Ventures, Nyca Partners, General Catalyst.",2020,February,2,2020-02-01
furlenco,Ecommerce,Bangalore,18.26,Series C,Chowdry Associates,2020,February,2,2020-02-01
brickbolt,Other,Bangalore,12.45,Pre-Series A,Surge,2020,February,2,2020-02-01
moengage,Marketing,Bangalore,207.5,Series C,Eight Roads Ventures,2020,February,2,2020-02-01
classplus,Edtech,Unknown,20.75,Pre-Series A,"Blume Ventures, Sequoia Capital",2020,February,2,2020-02-01
chaayos,Beverages,Unknown,178.45,Unknown,Think Investment,2020,February,2,2020-02-01
pepperfry,Ecommerce,Mumbai,332.0,Series F,Pidilite Industries,2020,February,2,2020-02-01
firstcry,Ecommerce,Pune,2456.8,Series E,Softbank’S Vision Fund,2020,February,2,2020-02-01
waycool,Agritech,Chennai,265.6,Series C,Lightbox Ventures,2020,February,2,2020-02-01
workindia,Hr,Unknown,49.8,Unknown,Xiaomi,2020,February,2,2020-02-01
qyuki,Media,Mumbai,29.05,Unknown,Info Edge Venture Fund,2020,February,2,2020-02-01
leap,Agritech,Coimbatore,249.0,Series B,Neev Fund,2020,February,2,2020-02-01
picxy,Media,Hyderabad,2.08,Unknown,"Firstcheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishunknownn",2020,February,2,2020-02-01
krimanshi,Agritech,Jodhpur,0.17,Unknown,Aruunknownchal Pradesh Social Entrepreneurship Meet,2020,February,2,2020-02-01
kuku fm,Media,Mumbai,45.65,Series A,Vertex Ventures,2020,February,2,2020-02-01
supermoney,Fintech,Mumbai,8.3,Pre-Series A,Unitus Ventures.,2020,February,2,2020-02-01
fox capital,Fintech,Jaipur,20.75,Unknown,Institutiounknownl Investors,2020,February,2,2020-02-01
tribe theory,Accomodation,Bangalore,29.05,Unknown,Tim Draper,2020,February,2,2020-02-01
fleetx,SaaS,Unknown,11.64,Series A,Beenext,2020,February,2,2020-02-01
embibe,Edtech,Mumbai,104.73,Unknown,Reliance Industries Limited (Ril),2020,February,2,2020-02-01
entri,Edtech,Kochi,11.62,Seed,Good Capital,2020,February,2,2020-02-01
oye rickshaw,Emobility,Unknown,83.0,Series A,Chiratae Ventures,2020,February,2,2020-02-01
1mg,Healthcare,Gurgaon,82.17,Unknown,"Bill, Melinda Gates Foundation",2020,February,2,2020-02-01
adonmo,Adtech,Bangalore,24.9,Unknown,Ant Fiunknownncial,2020,January,1,2020-01-01
bharat pe,Fintech,Delhi,830.0,Unknown,Coatue Maunknowngement,2020,January,1,2020-01-01
vogo,Automotive,Bangalore,290.5,Series C,Lightstone Aspada,2020,January,1,2020-01-01
yolo,Transport,Gurgaon,4.98,Seed,Unknown,2020,January,1,2020-01-01
unotech,SaaS,Mumbai,16.6,Unknown,Manish Choksi,2020,January,1,2020-01-01
zetwerk,Technology,Bangalore,18.26,Unknown,Innoven Capital,2020,January,1,2020-01-01
wizklub,Edtech,Bangalore,8.15,Seed,Incubate Fund India,2020,January,1,2020-01-01
interviewbit,Edtech,Pune,1660.0,Series A,"Tiger Global Maunknowngement, Sequoia Capital, Singapore’S Economic Development Board (Ebd)",2020,January,1,2020-01-01
moneytap,Fintech,Unknown,582.54,Series B,"Aquiline Technology Growth (Atg), Rtp Global, Sequoia India",2020,January,1,2020-01-01
bizongo,Technology,Mumbai,249.0,Series C,Schroder Adveq,2020,January,1,2020-01-01
appsflyer,SaaS,Bangalore,1743.0,Series D,General Atlantic,2020,January,1,2020-01-01
digit insurance,Fintech,Bangalore,697.2,Unknown,"A91 Partners, Faering Capital, Tvs Capital",2020,January,1,2020-01-01
livspace,Interior Design,Bangalore,498.0,Series D,"Tahoe Investment Group, Mercer Investment",2020,January,1,2020-01-01
samosa singh,Food,Bangalore,22.41,Series A,She Capital,2020,January,1,2020-01-01
crysta,Healthcare,Delhi,11.65,Pre-Series A,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",2020,January,1,2020-01-01
bounce,Automotive And Rentals,Bangalore,871.5,Series D,"Accel, B Capital",2020,January,1,2020-01-01
park,Techonology,Unknown,91.3,Unknown,"Sequoia Capital, Matrix Partners",2020,January,1,2020-01-01
goodmylk,Dairy,Bangalore,3.32,Seed,"Ginni Interunknowntiounknownl, Elisa Khong, Sandeep Singh, Veginvest",2020,January,1,2020-01-01
skylo,Iot,Unknown,854.9,Series B,SoftBank,2020,January,1,2020-01-01
tea trunk,Beverage,Goa,1.83,Unknown,Angel Investors,2020,January,1,2020-01-01
zoomcar,Transport & Rentals,Bangalore,249.0,Series D,Sony Innovation Fund,2020,January,1,2020-01-01
mera cashier,Fintech,Noida,2.08,Seed,"Amit Singal, Manish Aggarwal",2020,January,1,2020-01-01
kristal ai,AI,Unknown,49.8,Series A,Chiratae Ventures,2020,January,1,2020-01-01
invento robotics,Ai Robotics,Unknown,2.33,Seed,"Windrose Capital, Iti Growth Opportunities Venture Fund",2020,January,1,2020-01-01
medicus,Healthcare,Mumbai,0.11,Unknown,Angel Investors,2020,January,1,2020-01-01
monech,Fintech,Mumbai,0.11,Seed,Angel Investors,2020,January,1,2020-01-01
teach us,Edtech,Unknown,0.11,Seed,Angel Investors,2020,January,1,2020-01-01
phenom people,Hr,Unknown,249.0,Series C,Westbridge Capital,2020,January,1,2020-01-01
extra edge,Edtech,Pune,5.81,Pre-Series A,"Sprout Venture Partners, Indian Angel Network",2020,January,1,2020-01-01
capital quotient,Fintech,Bangalore,4.98,Unknown,Unknown,2020,January,1,2020-01-01
karfa,Ecommerce,Delhi,0.21,Seed,Unknown,2020,January,1,2020-01-01
bounce,Automotive And Rentals,Bangalore,809.25,Series D,"Accel, B Capital",2020,January,1,2020-01-01
zinier,Automation,Bangalore,747.0,Series C,Iconiq Capital,2020,January,1,2020-01-01
proeves,Preschool Daycare,Delhi,4.21,Seed,1Crowd,2020,January,1,2020-01-01
ninjacart,Agritech,Bangalore,83.0,Series C,"Flipkart India, Singaporeunknownbased Gec3",2020,January,1,2020-01-01
technifybiz,Agritech,Unknown,16.6,Seed,"Omnivore, Insitor Impact Asia Fund",2020,January,1,2020-01-01
wysh,Econnect,Hyderabad,16.6,Series A,Kalaari Capital,2020,January,1,2020-01-01
keito,AI,Pune,1.33,Seed,Suma Soft Pvt Ltd,2020,January,1,2020-01-01
klub,Fintech,Unknown,16.6,Pre-Seed,Sequoia Surge,2020,January,1,2020-01-01
axio biosolutions,Medtech,Bangalore,43.16,Series B,Omidyar Network India,2020,January,1,2020-01-01
techbooze,Consultancy,Unknown,124.5,Series A,Space Capital,2020,January,1,2020-01-01
testbook,Edtech,Unknown,69.72,Series B,Iron Pillar,2020,January,1,2020-01-01
faballey,Ecommerce,Noida,9.13,Unknown,Trifecta Capital,2020,January,1,2020-01-01
haikujam,Other,Unknown,28.22,Unknown,"Lightbox. Social Capital, Dunce Capital",2020,January,1,2020-01-01
mamaearth,Ecommerce,Unknown,151.89,Series A,Sequoia India,2020,January,1,2020-01-01
rentomojo,Rental,Unknown,16.6,Unknown,Gmo Payment Gateway,2020,January,1,2020-01-01
zomato,Food,Unknown,1245.0,Unknown,Ant Fiunknownncial,2020,January,1,2020-01-01
byjus,Edtech,Unknown,1660.0,Unknown,Tiger Global,2020,January,1,2020-01-01
generico,Pharmacy,Mumbai,11.62,Unknown,Alteria Capital,2020,January,1,2020-01-01
highradius,SaaS,Hyderabad,1037.5,Series B,Iconiq Capital,2020,January,1,2020-01-01
chai kings,Beverage,Chennai,8.3,Unknown,The Chenunknowni Angels (Tca),2020,January,1,2020-01-01
rivigo,Logistics,Gurgaon,28.22,Series F,Trifecta Capital,2020,January,1,2020-01-01
shiksha,Edtech,Unknown,1.5,Unknown,Mumbai Angels Network,2020,January,1,2020-01-01
super surfaces,Deisgning,Hyderabad,4.15,Series A,Vishnu Reddy,2020,January,1,2020-01-01
quicko,Taxation,Ahmedabad,2.32,Unknown,"Zerodha Fintech Fund, Rainmatter",2020,January,1,2020-01-01
satin creditcare,Fintech,Gurgaon,124.5,Unknown,Austrian Bank,2020,January,1,2020-01-01
xpressbees,Logistics,Unknown,83.0,Unknown,Alibaba,2020,January,1,2020-01-01
wealth bucket,Fintech,Unknown,24.9,Unknown,"Northstar, Vinod Khatumal",2020,January,1,2020-01-01
gomechanic,Automobile Technology,Delhi,122.01,Series B,"Chiratae Ventures, Sequoia Capital, Orios Venture Partners",2020,January,1,2020-01-01
fashor,Fashion,Chennai,8.3,Pre-Series A,Sprout Venture Partners,2020,January,1,2020-01-01
leverage edu,Edtech,Delhi,12.45,Unknown,"Dsg Consumer Partners, Blume Ventures",2020,January,1,2020-01-01
purplle,Cosmetics,Mumbai,66.4,Unknown,Verlinvest,2020,January,1,2020-01-01
shuttl,Transport,Delhi,66.76,Series C,Sig Global India Fund Llp.,2020,January,1,2020-01-01
pando,Logitech,Chennai,74.7,Series A,Chiratae Ventures,2020,January,1,2020-01-01
ruangguru,Edtech,Mumbai,1245.0,Series C,General Atlantic,2020,January,1,2020-01-01
homelane,Interior Design,Chennai,249.0,Series D,"Evolvence India Fund (Eif), Pidilite Group, Fj Labs",2020,January,1,2020-01-01
nu genes,Agritech,Telangana,49.8,Unknown,Innovation In Food And Agriculture (Ifa),2020,January,1,2020-01-01
kratikal,Technology,Noida,8.3,Pre-Series A,"Gilda Vc, Art Venture, Rajeev Chitrabhanu.",2020,January,1,2020-01-01
lenskart,Ecommerce,Delhi,2282.5,Series G,SoftBank,2020,January,1,2020-01-01
appnomic,SaaS,Bangalore,182.6,Unknown,Avataar Ventures,2020,January,1,2020-01-01
jobsquare,Hr,Ahmedabad,1.17,Unknown,Titan Capital,2020,January,1,2020-01-01
livfin,Fintech,Delhi,41.5,Unknown,German Development Fiunknownnce Institution Deg,2020,January,1,2020-01-01
byjus,Edtech,Unknown,4482.0,Unknown,"South Africa’S Naspers Ventures, The Cpp Investment Board",2020,January,1,2020-01-01
zest money,Fintech,Bangalore,124.5,Series B,Goldman Sachs.,2020,January,1,2020-01-01
witblox,Edtech,Unknown,1.52,Unknown,Mumbai Angels Network,2020,January,1,2020-01-01
salaryfits,Fintech,Unknown,41.5,Unknown,Brazilian Vc Fund Confrapar,2020,January,1,2020-01-01
pristyn care,Healthcare,Unknown,99.6,Series B,"Sequoia India, Hummingbird Ventures, Greenoaks Capital, Angellist.",2020,January,1,2020-01-01
springboard,Edtech,Unknown,91.3,Other,Reach Capital,2020,January,1,2020-01-01
medlife,Pharmaceutical,Bangalore,128.65,Unknown,Wilson Global Opportunities Fund,2020,January,1,2020-01-01
seekify,SaaS,Delhi,12.45,Seed,Sequoia Capita,2020,January,1,2020-01-01
toffee insurance,Fintech,Haryana,45.65,Series A,Ivm Intersurer,2020,January,1,2020-01-01
fireflies ai,AI,Unknown,41.5,Unknown,Caunknownan Partners,2020,January,1,2020-01-01
hungerbox,Food,Bangalore,99.6,Series C,"Paytm, Asian Vc Fund Nptk, Sabre Partners, Neoplux.",2020,January,1,2020-01-01
bijak,Agritech,Unknown,20.75,Seed,"Omnivore And Omidyar Network India, Sequoia Capital",2020,January,1,2020-01-01
licious,Food,Bangalore,249.0,Series E,Vertex Growth Fund,2020,January,1,2020-01-01
trume,Iot,Unknown,1.16,Unknown,Rajan Kaistha,2020,January,1,2020-01-01
asteria aerospace,Robotics & Ai,Bangalore,1909.0,Unknown,Reliance Industries,2020,January,1,2020-01-01
rivigo,Logistics,Unknown,166.0,Series F,"Saif Partners India Vi Ltd, Spring Canter Investment Ltd",2020,January,1,2020-01-01
happyeasygo,Travel,Gurgaon,410.02,Other,"Korea Investment Partners (Kip), Samsung Venture Investment Corporation (Svic), Uob Venture, 10 Fund, Cvcapital, Zero2Ipo Ventures, M, S Partners",2020,January,1,2020-01-01
zetwerk,Manufacturing,Bangalore,265.6,Series B,"Lightspeed And Greenoaks Capital, Sequoia India, Accel And Kae Capital",2020,January,1,2020-01-01
observeai,AI,Bangalore,215.8,Series A,Scale Venture Partners,2020,January,1,2020-01-01
freshokartz,Ecommerce,Jaipur,1.25,Pre-Series A,Thinklab,2020,January,1,2020-01-01
lil goodness and scool meal,Food & Nutrition,Bangalore,3.32,Unknown,"Sajan Pillai, Muthu Krishunknownn",2020,January,1,2020-01-01
trell,Social Media,Bangalore,16.6,Pre-Series A,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2020,January,1,2020-01-01
vmate,Other,Unknown,830.0,Unknown,Alibaba,2020,January,1,2020-01-01
bombay shirt,Ecommerce,Mumbai,66.4,Unknown,Lightbox Ventures,2020,January,1,2020-01-01
slintel,SaaS,Unknown,12.45,Unknown,Stellaris Ventures,2020,January,1,2020-01-01
mygamemate,Esports,Bangalore,0.83,Unknown,Jindagi Live Angels,2020,January,1,2020-01-01
rein games,Technology,Noida,415.0,Pre-Series A,"Manipal Education And Medical Group (Memg) Family Office, Titan Capital",2020,January,1,2020-01-01
ecozen,Agritech,Pune,49.8,Series A,"Innovation In Food, Agriculture Fund (Ifa Fund)",2020,January,1,2020-01-01
box8,Food,Mumbai,996.0,Unknown,Trifecta Capital,2020,January,1,2020-01-01
awign enterprises,Other,Bangalore,33.2,Series A,"Work10M, Michael And Susan Dell Foundation, Eagle10, Unitus Ventures.",2020,January,1,2020-01-01
purplle,Cosmetics,Mumbai,249.0,Series C,Goldman Sachs,2020,January,1,2020-01-01
freightwalla,B2B,Mumbai,33.2,Series A,"Amplo, Fj Labs, Rogue One Capital",2020,January,1,2020-01-01
tapchief,Other,Bangalore,12.45,Pre-Series A,Blume Ventures,2020,January,1,2020-01-01
ejohri,Jewellery,Mumbai,8.3,Pre-Series A,Rajesh Raunknownvat,2020,January,1,2020-01-01
kredx,Other,Bangalore,215.8,Series B,Tiger Global Maunknowngement,2020,January,1,2020-01-01
mpaani,Other,Mumbai,45.65,Series A,"Ac Ventures, Henkel",2020,January,1,2020-01-01
origo,Agritech,Gurgaon,56.44,Unknown,"Oikocredit, Caspian Sme Impact Fund Iv, Triodos Investment Maunknowngement",2020,January,1,2020-01-01
wishadish,Food &,Delhi,49.8,Unknown,Unknown,2020,January,1,2020-01-01
ecom express,Logistics,Gurgaon,298.8,Unknown,Cdc Group,2020,January,1,2020-01-01
stanza living,Accomodation,Delhi,47.31,Unknown,Alteria Capital,2020,January,1,2020-01-01
pibeam,Automotive,Chennai,415.0,Unknown,Gail (India) Ltd,2020,January,1,2020-01-01
euler motors,Automotive,Delhi,16.6,Unknown,"Blume Ventures, Emergent Ventures",2020,January,1,2020-01-01
moms,Ecommerce,Delhi,41.5,Series B,"Saama Capital, Dsg Consumer Partners",2020,January,1,2020-01-01
lawyered,Legal,Delhi,0.83,Unknown,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",2020,January,1,2020-01-01
cuemath,Edtech,Bangalore,45.65,Unknown,"Manta Ray Ventures Limited, Google’S Capital G, Sequoia India.",2020,January,1,2020-01-01
licious,Food,Bangalore,207.5,Series D,Vertex Ventures,2020,January,1,2020-01-01
niveshcom,Mutual Funds,Noida,4.98,Unknown,Windrose Capital,2020,January,1,2020-01-01
zebu,Cybersecurity,Unknown,33.2,Seed,Unknown,2020,January,1,2020-01-01
smart institute,Edtech,Surat,12.45,Unknown,Hni Investors,2020,January,1,2020-01-01
car dekho,Automobile,Jaipur,581.0,Series D,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",2020,January,1,2020-01-01
shadowfax,Logistics,Bangalore,498.0,Series D,"Flipkart, Eight Roads Ventures, Ngp Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bankunknownbacked Ifc",2020,January,1,2020-01-01
credr,Automobile,Mumbai,49.8,Unknown,"Omidyar Network, Eight Roads Ventures, Growthstory, Angellist",2020,January,1,2020-01-01
phable,Healthcare,Unknown,1.83,Unknown,"Letsventure, 91 Springboard, Ikp Knowledge, Angel Investors, Abinbevunknownserge Devos, Wouter Peeters.",2020,January,1,2020-01-01
sarva,Yoga & Wellness,Chennai,23.24,Unknown,"Venture Fund, Fireside Ventures.",2020,January,1,2020-01-01
