Headquarters,Sector,Avg_6m_Funding,Avg_6m_Rounds,Avg_6m_Median_Size,Avg_12m_Funding,Avg_12m_Rounds,Avg_12m_Median_Size,Total_Funding,Total_Rounds,Avg_6m_Funding_Missing,Avg_6m_Rounds_Missing,Avg_6m_Median_Size_Missing,Avg_12m_Funding_Missing,Avg_12m_Rounds_Missing,Avg_12m_Median_Size_Missing
Bhubneswar,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,190.9,1.0,1,1,1,1,1,1
Bihar,Agritech,2.73,1.0,2.73,2.73,1.0,2.73,1983.11,2.0,0,0,0,0,0,0
Boston,Others,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Burnsville,Others,0.0,0.0,0.0,0.0,0.0,0.0,149.4,1.0,1,1,1,1,1,1
Chandigarh,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,174.3,1.0,1,1,1,1,1,1
Chandigarh,Artificial Intelligence,1.96,1.5,1.26,1.96,1.5,1.26,23.54,3.0,0,0,0,0,0,0
Chandigarh,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Chandigarh,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Chandigarh,Enterprise / Saas,0.83,1.0,0.83,0.83,1.0,0.83,7.47,2.0,0,0,0,0,0,0
Chandigarh,Healthtech,175.96,1.5,131.56,175.96,1.5,131.56,179.62,3.0,0,0,0,0,0,0
Chandigarh,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Chandigarh,Media / Entertainment / Gaming,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Chandigarh,Mobility / Automotive / Ev,83.0,1.5,51.88,83.0,1.5,51.88,356.9,3.0,0,0,0,0,0,0
Chandigarh,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Chembur,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.65,1.0,1,1,1,1,1,1
Chennai,Agritech,497.49,5.5,87.76,582.69,6.12,90.62,925.96,11.0,0,0,0,0,0,0
Chennai,Analytics / Big Data,4.15,1.0,4.15,4.15,1.0,4.15,12.45,2.0,0,0,0,0,0,0
Chennai,Artificial Intelligence,25.11,2.5,7.26,25.11,2.5,7.26,189.24,6.0,0,0,0,0,0,0
Chennai,Climate / Cleantech / Energy,16.6,1.0,16.6,16.6,1.0,16.6,29.05,3.0,0,0,0,0,0,0
Chennai,Consumer Goods / D2C,1.25,1.0,1.25,1.25,1.0,1.25,9.55,2.0,0,0,0,0,0,0
Chennai,Consumer Internet,580.58,6.5,41.75,1001.54,10.61,34.58,2046.55,23.0,0,0,0,0,0,0
Chennai,Cybersecurity,8.3,1.0,8.3,8.3,1.0,8.3,11.3,2.0,0,0,0,0,0,0
Chennai,Deeptech / Hardware,41.91,1.5,23.13,41.91,1.5,23.13,76.58,3.0,0,0,0,0,0,0
Chennai,Ecommerce / Retail,214.27,5.18,26.03,234.56,6.55,10.87,508.89,13.0,0,0,0,0,0,0
Chennai,Edtech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Chennai,Enterprise / Saas,921.66,9.18,27.21,1560.58,16.97,23.52,6213.96,68.0,0,0,0,0,0,0
Chennai,Fintech,2256.73,8.38,125.99,3783.02,14.66,98.49,11145.86,45.0,0,0,0,0,0,0
Chennai,Foodtech,778.96,5.1,9.4,803.85,6.4,9.09,3626.72,12.0,0,0,0,0,0,0
Chennai,Healthtech,1293.79,4.71,116.56,1364.93,5.0,117.06,1858.38,9.0,0,0,0,0,0,0
Chennai,Legaltech,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Chennai,Logistics / Supply Chain,178.45,1.5,96.49,178.45,1.5,96.49,338.64,3.0,0,0,0,0,0,0
Chennai,Mobility / Automotive / Ev,571.67,4.6,146.91,571.67,4.6,146.91,700.37,8.0,0,0,0,0,0,0
Chennai,Others,203.43,5.77,22.09,273.85,8.77,22.75,723.26,16.0,0,0,0,0,0,0
Chennai,Real Estate / Proptech,257.85,2.0,129.2,257.85,2.0,129.2,272.6,4.0,0,0,0,0,0,0
Chennai,Spacetech,41.5,1.0,41.5,41.5,1.0,41.5,141.5,2.0,0,0,0,0,0,0
Chennai,Travel / Hospitality,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1,1,1,1,1,1
Chicago,Enterprise / Saas,81.34,1.0,81.34,81.34,1.0,81.34,2085.79,2.0,0,0,0,0,0,0
Chicago,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Cochin,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,3.32,2.0,1,1,1,1,1,1
Cochin,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Cochin,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Coimbatore,Agritech,249.0,1.0,249.0,249.0,1.0,249.0,250.04,2.0,0,0,0,0,0,0
Coimbatore,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Coimbatore,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,3.73,1.0,1,1,1,1,1,1
Coimbatore,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,2.55,1.0,1,1,1,1,1,1
Coimbatore,Foodtech,16.6,1.0,16.6,16.6,1.0,16.6,20.75,2.0,0,0,0,0,0,0
Coimbatore,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,52.29,1.0,1,1,1,1,1,1
Coimbatore,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,9.96,1.0,1,1,1,1,1,1
Coimbatore,Others,6.64,1.5,3.84,6.64,1.5,3.84,119.94,3.0,0,0,0,0,0,0
Coimbatore,Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,9.13,1.0,1,1,1,1,1,1
Cumberland Furnace,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,124.5,1.0,1,1,1,1,1,1
Cuttack,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,14.94,1.0,1,1,1,1,1,1
Dallas,Others,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Dehradun,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,14.11,1.0,1,1,1,1,1,1
Dehradun,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1,1,1,1,1,1
Dehradun,Others,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Delaware,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,97.11,1.0,1,1,1,1,1,1
Delaware,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Delhi And Mumbai,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,1,1,1,1,1
Delhi Cambridge,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,14.11,1.0,1,1,1,1,1,1
Delhi,Agritech,299.71,3.0,24.18,299.71,3.0,24.18,646.39,6.0,0,0,0,0,0,0
Delhi,Artificial Intelligence,81.22,4.71,11.44,84.07,5.0,11.15,170.15,9.0,0,0,0,0,0,0
Delhi,Climate / Cleantech / Energy,454.84,4.43,45.35,454.96,4.57,42.69,741.6,9.0,0,0,0,0,0,0
Delhi,Consumer Goods / D2C,75.11,4.2,21.48,75.11,4.2,21.48,137.8,8.0,0,0,0,0,0,0
Delhi,Consumer Internet,776.7,15.31,16.09,1515.35,29.41,14.2,5339.5,106.0,0,0,0,0,0,0
Delhi,Deeptech / Hardware,51.36,1.5,38.13,51.36,1.5,38.13,62.87,3.0,0,0,0,0,0,0
Delhi,Ecommerce / Retail,2573.37,10.23,24.52,5120.78,19.13,22.44,20365.46,90.0,0,0,0,0,0,0
Delhi,Edtech,207.19,3.0,27.15,207.19,3.0,27.15,494.32,6.0,0,0,0,0,0,0
Delhi,Enterprise / Saas,954.85,10.87,32.65,1862.63,20.9,22.11,10404.62,119.0,0,0,0,0,0,0
Delhi,Fintech,3170.58,9.84,40.13,6051.48,18.27,35.33,20178.74,66.0,0,0,0,0,0,0
Delhi,Foodtech,716.52,5.92,38.21,919.38,10.83,12.3,4357.57,39.0,0,0,0,0,0,0
Delhi,Healthtech,523.33,8.1,21.5,993.02,14.9,20.09,3648.43,59.0,0,0,0,0,0,0
Delhi,Hrtech,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.0,1,1,1,1,1,1
Delhi,Legaltech,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Delhi,Logistics / Supply Chain,966.66,5.79,185.17,1662.47,8.57,189.91,2468.17,18.0,0,0,0,0,0,0
Delhi,Marketing / Adtech,0.0,0.0,0.0,0.0,0.0,0.0,4.98,1.0,1,1,1,1,1,1
Delhi,Media / Entertainment / Gaming,152.33,2.0,48.08,152.33,2.0,48.08,264.1,4.0,0,0,0,0,0,0
Delhi,Mobility / Automotive / Ev,482.34,6.2,59.37,598.21,7.3,67.44,1659.75,16.0,0,0,0,0,0,0
Delhi,Others,945.37,9.0,48.07,1831.36,16.24,17.32,6439.02,65.0,0,0,0,0,0,0
Delhi,Real Estate / Proptech,42.95,1.5,31.85,42.95,1.5,31.85,77.6,3.0,0,0,0,0,0,0
Delhi,Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Delhi,Travel / Hospitality,855.4,3.8,260.52,855.4,3.8,260.52,939.15,7.0,0,0,0,0,0,0
Dewas,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,23.22,1.0,1,1,1,1,1,1
Dhingsara,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1,1,1,1,1,1
Dover,Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Dover,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,9.13,1.0,1,1,1,1,1,1
Dubai,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1.0,1,1,1,1,1,1
Ernakulam,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,1,1,1,1,1,1
Eximpe Is Managing Sellers,Others,0.0,0.0,0.0,0.0,0.0,0.0,12.3,1.0,1,1,1,1,1,1
Faridabad,Artificial Intelligence,62.25,1.0,62.25,62.25,1.0,62.25,67.85,2.0,0,0,0,0,0,0
Faridabad,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,788.5,1.0,1,1,1,1,1,1
Faridabad,Ecommerce / Retail,1917.3,1.0,1917.3,1917.3,1.0,1917.3,9381.49,2.0,0,0,0,0,0,0
Faridabad,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,41.5,1.0,1,1,1,1,1,1
Faridabad,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,23.7,1.0,1,1,1,1,1,1
Faridabad,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,174.3,1.0,1,1,1,1,1,1
Faridabad,Others,1826.0,1.0,1826.0,1826.0,1.0,1826.0,9524.25,2.0,0,0,0,0,0,0
Food Beverages,Others,0.0,0.0,0.0,0.0,0.0,0.0,3.83,1.0,1,1,1,1,1,1
France,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,91.3,1.0,1,1,1,1,1,1
Gandhinagar,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.0,1,1,1,1,1,1
Gaya,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,49.8,1.0,1,1,1,1,1,1
Ghaziabad,Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,33.2,1.0,1,1,1,1,1,1
Ghaziabad,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,1,1,1,1,1,1
Gift,Fintech,0.0,0.0,0.0,0.0,0.0,0.0,224.1,1.0,1,1,1,1,1,1
Goa,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.0,1,1,1,1,1,1
Goa,Enterprise / Saas,15.05,2.5,7.0,15.05,2.5,7.0,26.15,5.0,0,0,0,0,0,0
Goa,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.0,1,1,1,1,1,1
Goa,Healthtech,11.21,1.0,11.21,11.21,1.0,11.21,986.46,2.0,0,0,0,0,0,0
Goa,Logistics / Supply Chain,0.0,0.0,0.0,0.0,0.0,0.0,1.49,1.0,1,1,1,1,1,1
Goa,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.0,1,1,1,1,1,1
Goa,Others,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.0,1,1,1,1,1,1
Greater Noida,Others,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,1,1,1,1,1,1
Gujarat,Climate / Cleantech / Energy,29.05,1.0,29.05,29.05,1.0,29.05,77.69,2.0,0,0,0,0,0,0
Gujarat,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,12.62,1.0,1,1,1,1,1,1
Gujarat,Enterprise / Saas,0.0,0.0,0.0,0.0,0.0,0.0,6.64,1.0,1,1,1,1,1,1
Gujarat,Fintech,64.74,1.5,32.99,64.74,1.5,32.99,160.19,3.0,0,0,0,0,0,0
Gujarat,Foodtech,0.0,0.0,0.0,0.0,0.0,0.0,215.8,2.0,1,1,1,1,1,1
Gujarat,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
Gujarat,Mobility / Automotive / Ev,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1.0,1,1,1,1,1,1
Gurgaon,Agritech,434.43,5.31,66.7,566.47,7.85,60.73,1167.29,15.0,0,0,0,0,0,0
Gurgaon,Analytics / Big Data,9.96,1.0,9.96,9.96,1.0,9.96,709.96,2.0,0,0,0,0,0,0
Gurgaon,Artificial Intelligence,697.21,5.86,144.44,1179.86,8.36,144.68,1942.0,20.0,0,0,0,0,0,0
Gurgaon,Climate / Cleantech / Energy,10.66,2.0,2.66,10.66,2.0,2.66,352.35,6.0,0,0,0,0,0,0
Gurgaon,Consumer Goods / D2C,190.88,4.89,26.53,234.16,5.56,26.71,516.64,11.0,0,0,0,0,0,0
Gurgaon,Consumer Internet,2347.93,14.27,48.49,4188.31,27.15,38.59,18869.52,101.0,0,0,0,0,0,0
Gurgaon,Ecommerce / Retail,1503.51,9.11,67.27,2836.86,16.63,61.3,12666.41,85.0,0,0,0,0,0,0
Gurgaon,Edtech,8.3,1.0,8.3,8.3,1.0,8.3,573.53,2.0,0,0,0,0,0,0
Gurgaon,Enterprise / Saas,1746.0,11.24,32.71,3367.71,21.11,27.88,18532.71,124.0,0,0,0,0,0,0
Gurgaon,Fintech,1628.24,10.2,65.69,3124.86,18.83,60.72,12905.42,83.0,0,0,0,0,0,0
Gurgaon,Foodtech,3475.93,7.7,96.7,5482.2,13.83,102.02,18868.21,43.0,0,0,0,0,0,0
Gurgaon,Healthtech,3087.86,8.76,51.47,5721.51,16.24,27.09,22578.33,65.0,0,0,0,0,0,0
Gurgaon,Hrtech,16.43,2.0,9.13,16.43,2.0,9.13,45.98,4.0,0,0,0,0,0,0
Gurgaon,Legaltech,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1.0,1,1,1,1,1,1
Gurgaon,Logistics / Supply Chain,1852.77,7.38,98.59,2690.39,12.14,102.03,7146.24,30.0,0,0,0,0,0,0
Gurgaon,Marketing / Adtech,13.28,1.5,9.75,13.28,1.5,9.75,600.92,4.0,0,0,0,0,0,0
Gurgaon,Media / Entertainment / Gaming,7.75,2.0,3.6,7.75,2.0,3.6,28.22,4.0,0,0,0,0,0,0
Gurgaon,Mobility / Automotive / Ev,3455.5,6.81,188.87,4735.04,10.75,38.61,9510.52,22.0,0,0,0,0,0,0
Gurgaon,Others,760.34,8.55,52.89,1243.54,15.28,35.64,4834.55,47.0,0,0,0,0,0,0
Gurgaon,Real Estate / Proptech,181.99,3.0,33.2,181.99,3.0,33.2,274.85,6.0,0,0,0,0,0,0
Gurgaon,Spacetech,0.0,0.0,0.0,0.0,0.0,0.0,4.15,1.0,1,1,1,1,1,1
Gurgaon,Travel / Hospitality,3979.02,4.0,425.46,3979.02,4.0,425.46,6078.09,8.0,0,0,0,0,0,0
Guwahati,Others,0.0,0.0,0.0,0.0,0.0,0.0,809.83,1.0,1,1,1,1,1,1
Gwalior,Consumer Internet,3.32,1.0,3.32,3.32,1.0,3.32,7.47,2.0,0,0,0,0,0,0
Haryana,Agritech,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.0,1,1,1,1,1,1
Haryana,Artificial Intelligence,207.5,1.0,207.5,207.5,1.0,207.5,273.9,2.0,0,0,0,0,0,0
Haryana,Climate / Cleantech / Energy,0.0,0.0,0.0,0.0,0.0,0.0,226.0,1.0,1,1,1,1,1,1
Haryana,Consumer Goods / D2C,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.0,1,1,1,1,1,1
Haryana,Consumer Internet,0.0,0.0,0.0,0.0,0.0,0.0,49.3,2.0,1,1,1,1,1,1
Haryana,Deeptech / Hardware,0.0,0.0,0.0,0.0,0.0,0.0,11.29,1.0,1,1,1,1,1,1
Haryana,Ecommerce / Retail,917.98,2.0,302.74,917.98,2.0,302.74,2061.38,5.0,0,0,0,0,0,0
Haryana,Edtech,0.0,0.0,0.0,0.0,0.0,0.0,132.8,1.0,1,1,1,1,1,1
Haryana,Enterprise / Saas,321.04,2.5,101.9,321.04,2.5,101.9,642.59,5.0,0,0,0,0,0,0
Haryana,Fintech,151.48,1.5,107.9,151.48,1.5,107.9,203.35,3.0,0,0,0,0,0,0
Haryana,Foodtech,1344.6,2.0,672.3,1344.6,2.0,672.3,1552.1,3.0,0,0,0,0,0,0
Haryana,Healthtech,0.0,0.0,0.0,0.0,0.0,0.0,12.45,1.0,1,1,1,1,1,1
